"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"syntrophin complex (GO:0016013)","1/14",0.0344477141698712,0.961625035982186,0,0,31.298273155416,105.422368949113,"SNTG2"
"DNA-directed RNA polymerase III complex (GO:0005666)","1/17",0.0416766547912335,0.961625035982186,0,0,25.4260204081633,80.799167280865,"POLR3G"
"clathrin vesicle coat (GO:0030125)","1/42",0.0998907694703361,0.961625035982186,0,0,9.90990542558487,22.8292310643337,"KCNQ5"
"intermediate filament (GO:0005882)","1/68",0.156755649080656,0.961625035982186,0,0,6.05635089856838,11.2228243619718,"GFAP"
"spindle pole body (GO:0005816)","1/71",0.16308595979881,0.961625035982186,0,0,5.79591836734694,10.5107696169887,"KLHL4"
"microtubule organizing center part (GO:0044450)","1/71",0.16308595979881,0.961625035982186,0,0,5.79591836734694,10.5107696169887,"KLHL4"
"Cul3-RING ubiquitin ligase complex (GO:0031463)","1/73",0.167280269123171,0.961625035982186,0,0,5.6343537414966,10.0747012408884,"KLHL4"
"interphase microtubule organizing center (GO:0031021)","1/74",0.169369691826634,0.961625035982186,0,0,5.55689124965054,9.86721301833061,"KLHL4"
"Golgi lumen (GO:0005796)","1/98",0.218002513748404,0.961625035982186,0,0,4.17694087944456,6.36251970320458,"DEFA1"
"trans-Golgi network transport vesicle lumen (GO:0098564)","1/108",0.237432406982674,0.961625035982186,0,0,3.78466526797635,5.44186534675464,"DEFA1"
"Golgi stack lumen (GO:0034469)","1/119",0.258259013032378,0.961625035982186,0,0,3.4299550328606,4.64344661396654,"DEFA1"
"post-anaphase microtubule array (GO:1990295)","1/130",0.278527890347267,0.961625035982186,0,0,3.13573801613669,4.00821660462478,"KLHL4"
"preprophase band (GO:0009574)","1/130",0.278527890347267,0.961625035982186,0,0,3.13573801613669,4.00821660462478,"KLHL4"
"manchette (GO:0002177)","1/133",0.283960903877272,0.961625035982186,0,0,3.06400742115028,3.85733627834156,"KLHL4"
"cortical microtubule cytoskeleton (GO:0030981)","1/142",0.3000204969827,0.961625035982186,0,0,2.86712983065567,3.45175045757094,"KLHL4"
"intermediate filament cytoskeleton (GO:0045111)","1/156",0.324302961975654,0.961625035982186,0,0,2.60631994733377,2.93491729206467,"GFAP"
"lysosomal glycocalyx (GO:0090123)","1/168",0.344457946244357,0.961625035982186,0,0,2.41757301723084,2.57660887054472,"GFAP"
"lysosome (GO:0005764)","1/168",0.344457946244357,0.961625035982186,0,0,2.41757301723084,2.57660887054472,"GFAP"
"primary lysosome (GO:0005766)","1/168",0.344457946244357,0.961625035982186,0,0,2.41757301723084,2.57660887054472,"GFAP"
"UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase complex (GO:0070622)","1/168",0.344457946244357,0.961625035982186,0,0,2.41757301723084,2.57660887054472,"GFAP"
"megasome (GO:0043246)","1/168",0.344457946244357,0.961625035982186,0,0,2.41757301723084,2.57660887054472,"GFAP"
