"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"carnitine transmembrane transporter activity (GO:0015226)","1/5",0.0124387771927725,0.126720420794676,0,0,101.765306122449,446.437935140061,"SLC25A20"
"1-phosphatidylinositol-3-kinase regulator activity (GO:0046935)","1/6",0.0149082847993736,0.126720420794676,0,0,81.4081632653061,342.389562344484,"PIK3R3"
"anion transmembrane transporter activity (GO:0008509)","1/10",0.0247259488172581,0.138415558282412,0,0,45.2176870748299,167.301012082339,"SLC4A10"
"Rab GTPase binding (GO:0017137)","2/118",0.0351769550093682,0.138415558282412,0,0,7.1242816091954,23.8475644827565,"TBC1D3K;TBC1D3G"
"inorganic anion exchanger activity (GO:0005452)","1/19",0.0464664552952436,0.138415558282412,0,0,22.5986394557823,69.3557808280063,"SLC4A10"
"inward rectifier potassium channel activity (GO:0005242)","1/20",0.0488525499820278,0.138415558282412,0,0,21.4081632653061,64.6301466936404,"KCNQ5"
"phosphotyrosine residue binding (GO:0001784)","1/28",0.0677318256109869,0.160562187685627,0,0,15.0589569160998,40.5417104352724,"PIK3R3"
"RNA polymerase II activating transcription factor binding (GO:0001102)","1/35",0.0839495853612938,0.160562187685627,0,0,11.9543817527011,29.6174450357809,"BEX1"
"1-phosphatidylinositol-3-kinase activity (GO:0016303)","1/43",0.102145774279416,0.160562187685627,0,0,9.6734693877551,22.0686112387857,"PIK3R3"
"voltage-gated potassium channel activity (GO:0005249)","1/45",0.106639187352935,0.160562187685627,0,0,9.23283858998145,20.665901611884,"KCNQ5"
"GTPase activator activity (GO:0005096)","2/224",0.107931830920414,0.160562187685627,0,0,3.7027027027027,8.2431620580209,"TBC1D3K;TBC1D3G"
"metallopeptidase activity (GO:0008237)","1/48",0.113338014836913,0.160562187685627,0,0,8.64220581849761,18.8173716664144,"ADAMTS6"
"PDZ domain binding (GO:0030165)","1/62",0.143953936469556,0.188247455383265,0,0,6.65406490465038,12.8973205926637,"SNTG2"
"structural constituent of cytoskeleton (GO:0005200)","1/83",0.187944761535793,0.228218639007749,0,0,4.94474863115978,8.26567731981137,"GFAP"
"actin filament binding (GO:0051015)","1/110",0.241261218690496,0.273429381182562,0,0,3.71484740685265,5.28204879592619,"FSCN2"
"actin binding (GO:0003779)","1/125",0.269382960523102,0.286219395555795,0,0,3.26300197498354,4.2798227837863,"FSCN2"
"ubiquitin-protein transferase activity (GO:0004842)","1/318",0.551738121051659,0.551738121051659,0,0,1.26395416210648,0.751650490309061,"KLHL4"
