"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1-phosphatidylinositol-3-kinase regulator activity (GO:0046935)","1/6",0.0149082847993736,0.149492542095838,0,0,81.4081632653061,342.389562344484,"PIK3R3"
"acyl carnitine transmembrane transporter activity (GO:0015227)","1/7",0.017371741450284,0.149492542095838,0,0,67.8367346938775,274.936210768444,"SLC25A20"
"inorganic anion transmembrane transporter activity (GO:0015103)","1/10",0.0247259488172581,0.149492542095838,0,0,45.2176870748299,167.301012082339,"SLC4A10"
"anion:cation symporter activity (GO:0015296)","1/10",0.0247259488172581,0.149492542095838,0,0,45.2176870748299,167.301012082339,"SLC4A10"
"arsenate ion transmembrane transporter activity (GO:1901683)","1/10",0.0247259488172581,0.149492542095838,0,0,45.2176870748299,167.301012082339,"SLC4A10"
"salt transmembrane transporter activity (GO:1901702)","1/13",0.032026213248763,0.149492542095838,0,0,33.9081632653061,116.684789992962,"SLC4A10"
"selenite:proton symporter activity (GO:0097079)","1/13",0.032026213248763,0.149492542095838,0,0,33.9081632653061,116.684789992962,"SLC4A10"
"carnitine:acyl carnitine antiporter activity (GO:0005476)","1/15",0.0368632785936063,0.149492542095838,0,0,29.0612244897959,95.9177159613371,"SLC25A20"
"anion transmembrane transporter activity (GO:0008509)","1/16",0.0392729207344652,0.149492542095838,0,0,27.1224489795918,87.8013353011642,"SLC4A10"
"Rab GTPase binding (GO:0017137)","2/126",0.0396295625933463,0.149492542095838,0,0,6.6619623655914,21.5060130637939,"TBC1D3K;TBC1D3G"
"inorganic anion exchanger activity (GO:0005452)","1/20",0.0488525499820278,0.149492542095838,0,0,21.4081632653061,64.6301466936404,"SLC4A10"
"G-protein activated inward rectifier potassium channel activity (GO:0015467)","1/20",0.0488525499820278,0.149492542095838,0,0,21.4081632653061,64.6301466936404,"KCNQ5"
"anion channel activity (GO:0005253)","1/21",0.0512327930672156,0.149492542095838,0,0,20.3367346938776,60.4280744540867,"SLC4A10"
"ATP-activated inward rectifier potassium channel activity (GO:0015272)","1/22",0.0536071985992548,0.149492542095838,0,0,19.3673469387755,56.6702499978695,"KCNQ5"
"ATPase-coupled anion transmembrane transporter activity (GO:0043225)","1/24",0.05833855301301,0.149492542095838,0,0,17.681455190772,50.2417155506286,"SLC4A10"
"anion:anion antiporter activity (GO:0015301)","1/24",0.05833855301301,0.149492542095838,0,0,17.681455190772,50.2417155506286,"SLC4A10"
"phosphotyrosine residue binding (GO:0001784)","1/29",0.0700657588372089,0.159594228462531,0,0,14.5204081632653,38.5999069065122,"PIK3R3"
"galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity (GO:0015018)","1/29",0.0700657588372089,0.159594228462531,0,0,14.5204081632653,38.5999069065122,"B3GAT1"
"organic anion transmembrane transporter activity (GO:0008514)","1/31",0.0747164600026276,0.161230255795144,0,0,13.5510204081633,35.1520903887112,"SLC4A10"
"1-phosphatidylinositol-3-kinase activity (GO:0016303)","1/43",0.102145774279416,0.179088954477009,0,0,9.6734693877551,22.0686112387857,"PIK3R3"
