"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1-phosphatidylinositol-3-kinase regulator activity (GO:0046935)","1/6",0.0149082847993736,0.116142231356941,0,0,81.4081632653061,342.389562344484,"PIK3R3"
"L-ornithine transmembrane transporter activity (GO:0000064)","1/6",0.0149082847993736,0.116142231356941,0,0,81.4081632653061,342.389562344484,"SLC25A20"
"carnitine transmembrane transporter activity (GO:0015226)","1/6",0.0149082847993736,0.116142231356941,0,0,81.4081632653061,342.389562344484,"SLC25A20"
"amino-acid betaine transmembrane transporter activity (GO:0015199)","1/6",0.0149082847993736,0.116142231356941,0,0,81.4081632653061,342.389562344484,"SLC25A20"
"quaternary ammonium group transmembrane transporter activity (GO:0015651)","1/7",0.017371741450284,0.116142231356941,0,0,67.8367346938775,274.936210768444,"SLC25A20"
"phosphatidylinositol 3-kinase regulator activity (GO:0035014)","1/8",0.0198291614511851,0.116142231356941,0,0,58.1428571428571,227.954980151296,"PIK3R3"
"sodium:bicarbonate symporter activity (GO:0008510)","1/8",0.0198291614511851,0.116142231356941,0,0,58.1428571428571,227.954980151296,"SLC4A10"
"antiporter activity (GO:0015297)","1/17",0.0416766547912335,0.191025002188807,0,0,25.4260204081633,80.799167280865,"SLC25A20"
"Rab GTPase binding (GO:0017137)","2/130",0.0419323175536406,0.191025002188807,0,0,6.45247395833333,20.4653016352662,"TBC1D3K;TBC1D3G"
"bicarbonate transmembrane transporter activity (GO:0015106)","1/22",0.0536071985992548,0.202466647047826,0,0,19.3673469387755,56.6702499978695,"SLC4A10"
"inorganic anion exchanger activity (GO:0005452)","1/28",0.0677318256109869,0.202466647047826,0,0,15.0589569160998,40.5417104352724,"SLC4A10"
"delayed rectifier potassium channel activity (GO:0005251)","1/29",0.0700657588372089,0.202466647047826,0,0,14.5204081632653,38.5999069065122,"KCNQ5"
"phosphotyrosine residue binding (GO:0001784)","1/29",0.0700657588372089,0.202466647047826,0,0,14.5204081632653,38.5999069065122,"PIK3R3"
"Ras GTPase binding (GO:0017016)","2/184",0.0773958262599824,0.202466647047826,0,0,4.52564102564103,11.5803117399732,"TBC1D3K;TBC1D3G"
"glucuronosyltransferase activity (GO:0015020)","1/33",0.0793443657059371,0.202466647047826,0,0,12.702806122449,32.1883751655927,"B3GAT1"
"protein phosphorylated amino acid binding (GO:0045309)","1/34",0.0816498044624026,0.202466647047826,0,0,12.317254174397,30.8586121657323,"PIK3R3"
"ion transmembrane transporter activity (GO:0015075)","1/35",0.0839495853612938,0.202466647047826,0,0,11.9543817527011,29.6174450357809,"SLC4A10"
"anion:cation symporter activity (GO:0015296)","1/43",0.102145774279416,0.213890955035031,0,0,9.6734693877551,22.0686112387857,"SLC4A10"
"1-phosphatidylinositol-3-kinase activity (GO:0016303)","1/43",0.102145774279416,0.213890955035031,0,0,9.6734693877551,22.0686112387857,"PIK3R3"
"RNA polymerase II activating transcription factor binding (GO:0001102)","1/47",0.111110560303655,0.213890955035031,0,0,8.83052351375333,19.4026870705364,"BEX1"
"inorganic anion transmembrane transporter activity (GO:0015103)","1/48",0.113338014836913,0.213890955035031,0,0,8.64220581849761,18.8173716664144,"SLC4A10"
"L-amino acid transmembrane transporter activity (GO:0015179)","1/49",0.115559999022241,0.213890955035031,0,0,8.46173469387755,18.2601307935979,"SLC25A20"
"phosphatidylinositol kinase activity (GO:0052742)","1/51",0.119987608922091,0.213890955035031,0,0,8.12244897959184,17.2225711551973,"PIK3R3"
"GTPase activator activity (GO:0005096)","2/249",0.128401113001527,0.219351901377608,0,0,3.32371794871795,6.82225089631468,"TBC1D3K;TBC1D3G"
"PDZ domain binding (GO:0030165)","1/62",0.143953936469556,0.221620055596789,0,0,6.65406490465038,12.8973205926637,"SNTG2"
