"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"GTEx Blood 20-29 vs 60-69 Up","4/250",0.00349720414443198,0.307753964710014,0,0,6.96500530222694,39.3926174068015,"ZNF683;FGFBP2;B3GAT1;DEFA1"
"GTEx Blood 20-29 vs 30-39 Up","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"ZNF683;FGFBP2;B3GAT1"
"GTEx BloodVessel 20-29 vs 30-39 Up","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"ZNF683;LRRN3;SLC4A10"
"GTEx AdrenalGland 20-29 vs 50-59 Down","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"TMC1;BEX1;SLC4A10"
"GTEx Muscle 20-29 vs 40-49 Down","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"TMC1;SLC4A10"
"GTEx Esophagus 20-29 vs 70-79 Up","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"FGFBP2;GFAP"
"GTEx Spleen 20-29 vs 40-49 Down","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"ZNF683;LRRN3"
"GTEx Uterus 20-29 vs 50-59 Up","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"FGFBP2;KCNQ5"
"GTEx Muscle 20-29 vs 30-39 Down","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"TMC1;GFAP"
"GTEx Spleen 20-29 vs 60-69 Down","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"ZNF683;LRRN3"
"GTEx AdrenalGland 20-29 vs 60-69 Up","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"ZNF683;FGFBP2"
"GTEx Vagina 20-29 vs 50-59 Down","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"TMC1;KCNQ5"
"GTEx Nerve 20-29 vs 60-69 Up","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"BEX1;GFAP"
"GTEx Lung 20-29 vs 30-39 Down","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"ODF3;GFAP"
"GTEx Ovary 20-29 vs 60-69 Up","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"KCNQ5;GFAP"
"GTEx Pancreas 20-29 vs 70-79 Up","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"B3GAT1;GFAP"
"GTEx Skin 20-29 vs 70-79 Down","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"BEX1;ADAMTS6"
"GTEx Muscle 20-29 vs 70-79 Up","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"FGFBP2;KLHL4"
"GTEx Blood 20-29 vs 50-59 Down","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"LRRN3;CD248"
"GTEx Uterus 20-29 vs 40-49 Down","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"ZNF683"
"GTEx Spleen 20-29 vs 30-39 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"DEFA1"
"GTEx Skin 20-29 vs 50-59 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"KLHL4"
"GTEx Heart 20-29 vs 60-69 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"FGFBP2"
"GTEx Kidney 20-29 vs 30-39 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"SLC4A10"
"GTEx Colon 20-29 vs 70-79 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"FGFBP2"
"GTEx Spleen 20-29 vs 50-59 Down","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"LRRN3"
"GTEx Liver 20-29 vs 70-79 Down","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"GRAMD4"
"GTEx Pituitary 20-29 vs 30-39 Down","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"GFAP"
"GTEx SalivaryGland 20-29 vs 50-59 Down","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"ADAMTS6"
"GTEx Liver 20-29 vs 60-69 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"LRRN3"
"GTEx Lung 20-29 vs 60-69 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"MPPED2"
"GTEx Muscle 20-29 vs 30-39 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"VMO1"
"GTEx Lung 20-29 vs 70-79 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"MPPED2"
"GTEx Blood 20-29 vs 30-39 Down","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"GFAP"
"GTEx Ovary 20-29 vs 30-39 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"KCNQ5"
"GTEx Vagina 20-29 vs 40-49 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"KLHL4"
"GTEx AdrenalGland 20-29 vs 60-69 Down","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"TMC1"
"GTEx Prostate 20-29 vs 70-79 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"LRRN3"
"GTEx Thyroid 20-29 vs 60-69 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"ZNF683"
"GTEx Stomach 20-29 vs 40-49 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"B3GAT1"
"GTEx Uterus 20-29 vs 60-69 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"FGFBP2"
"GTEx Pancreas 20-29 vs 30-39 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"ZNF683"
"GTEx Stomach 20-29 vs 50-59 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"B3GAT1"
"GTEx AdrenalGland 20-29 vs 70-79 Down","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"TBC1D3K"
"GTEx Esophagus 20-29 vs 50-59 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"GFAP"
"GTEx AdrenalGland 20-29 vs 50-59 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"FGFBP2"
"GTEx Esophagus 20-29 vs 40-49 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"GFAP"
"GTEx AdrenalGland 20-29 vs 40-49 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"FGFBP2"
"GTEx AdrenalGland 20-29 vs 40-49 Down","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"GIMAP3P"
"GTEx Testis 20-29 vs 50-59 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"TBC1D3K"
"GTEx Stomach 20-29 vs 60-69 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"B3GAT1"
"GTEx Lung 20-29 vs 50-59 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"MPPED2"
"GTEx Prostate 20-29 vs 50-59 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"GFAP"
"GTEx AdiposeTissue 20-29 vs 60-69 Down","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"GPT2"
"GTEx Lung 20-29 vs 40-49 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"MPPED2"
"GTEx Pancreas 20-29 vs 60-69 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"ZNF683"
"GTEx Nerve 20-29 vs 70-79 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"BEX1"
"GTEx AdiposeTissue 20-29 vs 70-79 Down","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"GPT2"
"GTEx Lung 20-29 vs 30-39 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"MPPED2"
"GTEx Heart 20-29 vs 40-49 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"FGFBP2"
"GTEx Ovary 20-29 vs 70-79 Down","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"GIMAP3P"
"GTEx Pituitary 20-29 vs 60-69 Down","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"TMC1"
"GTEx Brain 20-29 vs 70-79 Up","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"GFAP"
"GTEx Brain 20-29 vs 70-79 Down","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"SLC4A10"
"GTEx AdrenalGland 20-29 vs 30-39 Down","1/250",0.467256114895877,0.467256114895877,0,0,1.61470371281043,1.22859212104529,"TMC1"
