"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"GTEX-S4UY-1226-SM-4AD51 uterus female 40-49 years","4/201",0.00158864714282717,0.999996454434951,0,0,8.71904656808652,56.1931432654134,"FGFBP2;LRRN3;KCNQ5;GFAP"
"GTEX-SE5C-1126-SM-4BRWZ vagina female 40-49 years","5/453",0.00534597694037733,0.999996454434951,0,0,4.83680555555556,25.3033176658695,"MED14OS;BEX1;LRRN3;KLHL4;GFAP"
"GTEX-N7MT-0326-SM-48TDP esophagus female 60-69 years","4/330",0.00923269165006209,0.999996454434951,0,0,5.23446252333956,24.5234812791353,"MED14OS;FGFBP2;CBX3P2;SLC25A20"
"GTEX-TKQ1-0226-SM-33HB5 breast male 30-39 years","5/577",0.0143010733574292,0.999996454434951,0,0,3.76418026418026,15.9880571145409,"VMO1;RNU1-1;BEX1;B3GAT1;KCNQ5"
"GTEX-Q2AH-0626-SM-48TZJ blood vessel male 40-49 years","2/74",0.0147525184670076,0.999996454434951,0,0,11.5034722222222,48.502566947861,"RNU1-1;BEX1"
"GTEX-RM2N-0826-SM-48FD3 stomach male 50-59 years","4/392",0.0164756216727893,0.999996454434951,0,0,4.38413267593008,18.0006940211124,"MED14OS;FGFBP2;LRRN3;GFAP"
"GTEX-SUCS-1826-SM-32PM1 adipose tissue male 70-79 years","3/216",0.0167785010572714,0.999996454434951,0,0,5.91459394665868,24.176830822166,"RNU1-1;KCNQ5;FSCN2"
"GTEX-WWYW-0826-SM-3NB2X thyroid female 50-59 years","3/220",0.0176100876918449,0.999996454434951,0,0,5.80439258750858,23.4455864912873,"RNU1-1;CBX3P2;SLC25A20"
"GTEX-V1D1-0226-SM-4JBHG adrenal gland male 50-59 years","4/445",0.0249069225596614,0.999996454434951,0,0,3.84679089026915,14.2046965847907,"MED14OS;SNTG2;FGFBP2;KCNQ5"
"GTEX-XQ8I-1526-SM-4BOOH esophagus male 50-59 years","4/451",0.025999282529327,0.999996454434951,0,0,3.79398891158448,13.8468694909389,"CBX3P2;BEX1;KLHL4;GFAP"
"GTEX-Q734-0726-SM-48TZP ovary female 40-49 years","3/273",0.0307878131544063,0.999996454434951,0,0,4.65248226950355,16.1935988775536,"SNTG2;KCNQ5;GFAP"
"GTEX-NPJ8-0226-SM-48TBN adipose tissue male 40-49 years","3/297",0.0380724806808945,0.999996454434951,0,0,4.26747720364742,13.9472401937198,"RNU1-1;BEX1;KCNQ5"
"GTEX-XPT6-2226-SM-4B66R blood vessel male 20-29 years","6/1025",0.0415985673611745,0.999996454434951,0,0,2.5333660451423,8.05531754194162,"SNTG2;GPT2;B3GAT1;POLR3G;KLHL4;GRAMD4"
"GTEX-WFJO-0826-SM-4LVM5 esophagus male 30-39 years","4/528",0.0426018304518658,0.999996454434951,0,0,3.22369731164952,10.1735311384127,"RNU1-1;FGFBP2;BEX1;GFAP"
"GTEX-QDVN-1126-SM-48TZ7 esophagus male 50-59 years","2/132",0.0431022856735813,0.999996454434951,0,0,6.3525641025641,19.9736002445273,"MED14OS;FSCN2"
"GTEX-QLQW-0226-SM-447BJ adrenal gland male 30-39 years","3/320",0.0458099384745289,0.999996454434951,0,0,3.95321833680113,12.1887770963657,"FGFBP2;B3GAT1;KCNQ5"
"GTEX-XV7Q-1726-SM-4BRUU adipose tissue female 40-49 years","2/138",0.0466847958252425,0.999996454434951,0,0,6.07046568627451,18.6019510223216,"CBX3P2;FSCN2"
"GTEX-WFJO-1926-SM-3GILA adipose tissue male 30-39 years","3/323",0.0468728629064742,0.999996454434951,0,0,3.9155585106383,11.9828478745964,"RNU1-1;BEX1;KCNQ5"
"GTEX-XQ8I-0526-SM-4BOPS adipose tissue male 50-59 years","2/139",0.0472922793944308,0.999996454434951,0,0,6.02585158150852,18.3873330672393,"B3GAT1;KCNQ5"
"GTEX-P4QT-2026-SM-3NMCJ uterus female 50-59 years","2/140",0.0479026862337683,0.999996454434951,0,0,5.98188405797101,18.1764553705159,"LRRN3;KCNQ5"
"GTEX-SUCS-0726-SM-4DM7J esophagus male 70-79 years","4/565",0.0523094668315057,0.999996454434951,0,0,3.00534759358289,8.86751223390637,"FGFBP2;BEX1;SLC25A20;GFAP"
"GTEX-R55E-2526-SM-2TC6H brain male 20-29 years","4/570",0.0537075977706239,0.999996454434951,0,0,2.97803041941927,8.70835894081336,"MED14OS;FGFBP2;SLC25A20;ADAMTS6"
"GTEX-Q734-0126-SM-48U1E adrenal gland female 40-49 years","3/343",0.0542697515919074,0.999996454434951,0,0,3.68147684605757,10.727044043622,"FGFBP2;CBX3P2;KCNQ5"
"GTEX-P78B-2526-SM-3P5ZY uterus female 40-49 years","2/153",0.0560960059757508,0.999996454434951,0,0,5.46330022075055,15.7380779389942,"LRRN3;KCNQ5"
"GTEX-QESD-0008-SM-447B2 skin male 20-29 years","7/1395",0.0571778187951021,0.999996454434951,0,0,2.17703237048455,6.22977240456442,"TMEM37;RNU1-1;FGFBP2;MPPED2;B3GAT1;PIK3R3;KLHL4"
"GTEX-SNMC-0526-SM-4DM69 esophagus male 20-29 years","4/583",0.0574384412581779,0.999996454434951,0,0,2.90921378688894,8.31174449672893,"BEX1;LRRN3;B3GAT1;GFAP"
"GTEX-NPJ8-2526-SM-2HML8 thyroid male 40-49 years","2/157",0.058709917979055,0.999996454434951,0,0,5.32123655913978,15.0864857701522,"CBX3P2;ADAMTS6"
"GTEX-S7SF-0926-SM-4AD4M esophagus female 20-29 years","3/359",0.0605691367791507,0.999996454434951,0,0,3.51314845804447,9.85076221340196,"FGFBP2;LRRN3;GFAP"
"GTEX-S4P3-1126-SM-4AD52 vagina female 50-59 years","2/161",0.0613656526664216,0.999996454434951,0,0,5.18632075471698,14.4745285424369,"FGFBP2;GFAP"
"GTEX-POMQ-1426-SM-3P61D ovary female 20-29 years","2/162",0.0620359971863136,0.999996454434951,0,0,5.15364583333333,14.327343946786,"KCNQ5;SLC25A20"
"GTEX-XPVG-2626-SM-4B669 skin male 50-59 years","3/375",0.067198557095169,0.999996454434951,0,0,3.35929993136582,9.07045751392647,"LRRN3;SLC25A20;KLHL4"
"GTEX-SE5C-1226-SM-4BRWV esophagus female 40-49 years","3/375",0.067198557095169,0.999996454434951,0,0,3.35929993136582,9.07045751392647,"BEX1;SLC25A20;GFAP"
"GTEX-XXEK-0326-SM-4BRVV esophagus male 50-59 years","6/1157",0.0673346469447994,0.999996454434951,0,0,2.22719374456994,6.0091477031639,"RNU1-1;BEX1;LRRN3;SLC25A20;KLHL4;GFAP"
"GTEX-RVPU-1526-SM-47JXQ blood vessel male 50-59 years","2/171",0.0681810821272572,0.999996454434951,0,0,4.87697238658777,13.0975392043088,"GPT2;GFAP"
"GTEX-QDVN-1226-SM-48TZ5 stomach male 50-59 years","2/171",0.0681810821272572,0.999996454434951,0,0,4.87697238658777,13.0975392043088,"LRRN3;KCNQ5"
"GTEX-XK95-1026-SM-4GIDV esophagus male 40-49 years","4/620",0.0688073908167588,0.999996454434951,0,0,2.72924901185771,7.30468245656623,"MED14OS;CBX3P2;BEX1;SLC25A20"
"GTEX-S4P3-1526-SM-3K2AV adipose tissue female 50-59 years","3/381",0.0697677490315496,0.999996454434951,0,0,3.30496453900709,8.799743799293,"RNU1-1;KCNQ5;FSCN2"
"GTEX-U3ZN-1626-SM-4DXTZ cervix uteri female 30-39 years","5/888",0.0699656597115777,0.999996454434951,0,0,2.39927016484208,6.38146057925159,"RNU1-1;FGFBP2;BEX1;LRRN3;KLHL4"
"GTEX-U8XE-0826-SM-4E3J1 breast male 30-39 years","4/625",0.0704280188399859,0.999996454434951,0,0,2.70657424910733,7.18098563201628,"RNU1-1;KCNQ5;FSCN2;KLHL4"
"GTEX-PSDG-0526-SM-2S1OH blood vessel male 50-59 years","6/1171",0.0705174057990191,0.999996454434951,0,0,2.19879047990636,5.83096303836831,"SNTG2;FGFBP2;GPT2;B3GAT1;POLR3G;KLHL4"
"GTEX-OXRP-0926-SM-48TC1 esophagus female 60-69 years","7/1469",0.0714485705543319,0.999996454434951,0,0,2.05860083351891,5.43218931608777,"RNU1-1;CBX3P2;LRRN3;SLC25A20;KLHL4;ADAMTS6;GFAP"
"GTEX-RU1J-0126-SM-2TF6Y lung female 20-29 years","2/177",0.0723859658020668,0.999996454434951,0,0,4.70833333333333,12.362872542539,"MED14OS;CBX3P2"
"GTEX-PLZ6-0008-SM-48TD5 skin male 30-39 years","9/2118",0.077137536415939,0.999996454434951,0,0,1.8569545154911,4.75782435501504,"TMEM37;SNTG2;RNU1-1;FGFBP2;MPPED2;B3GAT1;PIK3R3;FSCN2;GRAMD4"
"GTEX-PWCY-1426-SM-48TCT uterus female 20-29 years","2/185",0.078120393358315,0.999996454434951,0,0,4.50068306010929,11.4745100841243,"LRRN3;KCNQ5"
