"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"GTEX-S4UY-0226-SM-3K2AP adipose tissue female 40-49 years","6/682",0.00682623230528142,0.999989531856185,0,0,3.88797740720818,19.3892748883561,"TMEM37;SNTG2;FGFBP2;CACHD1;PIK3R3;CD248"
"GTEX-XLM4-0011-R9A-SM-4AT45 brain male 60-69 years","5/582",0.0147958491550867,0.999989531856185,0,0,3.73059888311188,15.718537417415,"TMC1;B3GAT1;POLR3G;KLHL4;GFAP"
"GTEX-SNOS-1426-SM-32PLY adipose tissue male 40-49 years","5/666",0.0249023027203975,0.999989531856185,0,0,3.24239367961002,11.9734951715212,"TMEM37;SNTG2;CACHD1;PIK3R3;CD248"
"GTEX-QMR6-0011-R1A-SM-32PKW brain male 50-59 years","8/1528",0.0345561427744096,0.999989531856185,0,0,2.30952380952381,7.77194012449403,"MED14OS;CBX3P2;BEX1;B3GAT1;SLC4A10;POLR3G;KLHL4;GFAP"
"GTEX-UTHO-0011-R4A-SM-3GIJP brain male 60-69 years","6/1030",0.0424347635146156,0.999989531856185,0,0,2.52033025568182,7.96370768105082,"MED14OS;BEX1;B3GAT1;SLC4A10;KLHL4;GFAP"
"GTEX-T6MN-0011-R4A-SM-32QPG brain male 50-59 years","8/1594",0.0427776801015524,0.999989531856185,0,0,2.20548850057047,6.95112369205299,"MED14OS;BEX1;LRRN3;B3GAT1;SLC4A10;CACHD1;KLHL4;GFAP"
"GTEX-XV7Q-2626-SM-4BRVA adipose tissue female 40-49 years","5/797",0.0481060827675397,0.999989531856185,0,0,2.68771043771044,8.1554451601552,"VMO1;TMEM37;FGFBP2;CACHD1;PIK3R3"
"GTEX-WFJO-1926-SM-3GILA adipose tissue male 30-39 years","5/809",0.0507150077203757,0.999989531856185,0,0,2.64593698175788,7.88894949049596,"TMEM37;FGFBP2;LRRN3;CACHD1;CD248"
"GTEX-O5YV-0226-SM-48TBY adipose tissue female 60-69 years","5/810",0.0509361606260071,0.999989531856185,0,0,2.64251207729469,7.86723987431728,"TMEM37;FGFBP2;GPT2;CACHD1;PIK3R3"
"GTEX-S7SE-0011-R6A-SM-2XCD9 brain male 50-59 years","10/2303",0.0561604567061033,0.999989531856185,0,0,1.92509812472743,5.5434016494148,"TMC1;BEX1;LRRN3;MPPED2;B3GAT1;SLC4A10;CACHD1;KCNQ5;KLHL4;GFAP"
"GTEX-QMRM-1726-SM-2S1QG adipose tissue male 50-59 years","5/849",0.0600114971124724,0.999989531856185,0,0,2.51527119536598,7.07600901017483,"MED14OS;TMEM37;CBX3P2;CACHD1;PIK3R3"
"GTEX-Q2AG-0011-R9A-SM-2HMJ6 brain female 40-49 years","4/592",0.0601020266581255,0.999989531856185,0,0,2.86335403726708,8.05092609529046,"TMC1;B3GAT1;KLHL4;GFAP"
"GTEX-T6MN-0011-R9A-SM-32QOZ brain male 50-59 years","5/855",0.0614857417820389,0.999989531856185,0,0,2.49673202614379,6.96326071438372,"TMC1;B3GAT1;POLR3G;KLHL4;GFAP"
