"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Thyroid Male 50-59 Up","2/100",0.0259489619459531,0.214668685189248,0,0,8.44047619047619,30.8214426622313,"MPPED2;FSCN2"
"Thyroid Male 60-69 Up","2/100",0.0259489619459531,0.214668685189248,0,0,8.44047619047619,30.8214426622313,"MPPED2;FSCN2"
"Thyroid Male 70-79 Up","2/100",0.0259489619459531,0.214668685189248,0,0,8.44047619047619,30.8214426622313,"MPPED2;FSCN2"
"Adrenal Gland Male 30-39 Up","2/100",0.0259489619459531,0.214668685189248,0,0,8.44047619047619,30.8214426622313,"LRRN3;KLHL4"
"Thyroid Male 30-39 Up","2/100",0.0259489619459531,0.214668685189248,0,0,8.44047619047619,30.8214426622313,"MPPED2;FSCN2"
"Thyroid Female 40-49 Up","2/100",0.0259489619459531,0.214668685189248,0,0,8.44047619047619,30.8214426622313,"MPPED2;FSCN2"
"Thyroid Female 60-69 Up","2/100",0.0259489619459531,0.214668685189248,0,0,8.44047619047619,30.8214426622313,"MPPED2;FSCN2"
"Thyroid Female 70-79 Up","2/100",0.0259489619459531,0.214668685189248,0,0,8.44047619047619,30.8214426622313,"MPPED2;FSCN2"
"Thyroid Female 50-59 Up","2/100",0.0259489619459531,0.214668685189248,0,0,8.44047619047619,30.8214426622313,"MPPED2;FSCN2"
"Thyroid Male 20-29 Up","2/100",0.0259489619459531,0.214668685189248,0,0,8.44047619047619,30.8214426622313,"MPPED2;FSCN2"
"Thyroid Male 40-49 Up","2/100",0.0259489619459531,0.214668685189248,0,0,8.44047619047619,30.8214426622313,"MPPED2;FSCN2"
"Artery - Coronary Male 40-49 Up","1/83",0.187944761535793,0.221926911560385,0,0,4.94474863115978,8.26567731981137,"VMO1"
"Brain - Cortex Male 40-49 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"B3GAT1"
"Adipose - Subcutaneous Female 60-69 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"CD248"
"Brain - Frontal Cortex (BA9) Female 40-49 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"SLC4A10"
"Brain - Amygdala Male 60-69 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"B3GAT1"
"Brain - Spinal Cord (Cervical C-1) Male 60-69 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GFAP"
"Cells - Cultured Fibroblasts Female 30-39 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"ADAMTS6"
"Thyroid Female 30-39 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"FSCN2"
"Pituitary Female 40-49 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"VMO1"
"Brain - Substantia Nigra Female 50-59 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GFAP"
"Adrenal Gland Male 50-59 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"KLHL4"
"Brain - Substantia Nigra Male 50-59 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GFAP"
"Brain - Hippocampus Male 60-69 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"B3GAT1"
"Brain - Hypothalamus Female 50-59 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GFAP"
"Thyroid Female 20-29 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"FSCN2"
"Adrenal Gland Female 20-29 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"KLHL4"
"Cells - Cultured Fibroblasts Female 20-29 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"ADAMTS6"
"Nerve - Tibial Female 20-29 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"FGFBP2"
"Nerve - Tibial Female 30-39 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"FGFBP2"
"Adrenal Gland Female 30-39 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"KLHL4"
"Nerve - Tibial Male 50-59 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"FGFBP2"
"Brain - Spinal Cord (Cervical C-1) Female 40-49 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GFAP"
"Adipose - Subcutaneous Male 70-79 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"CD248"
"Adipose - Subcutaneous Female 20-29 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"CD248"
"Liver Male 20-29 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"Brain - Spinal Cord (Cervical C-1) Male 70-79 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GFAP"
"Breast - Mammary Tissue Male 70-79 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"SNTG2"
"Brain - Substantia Nigra Female 60-69 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GFAP"
"Cells - Cultured Fibroblasts Female 40-49 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"ADAMTS6"
"Brain - Hypothalamus Female 60-69 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GFAP"
"Brain - Hippocampus Female 40-49 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"B3GAT1"
"Brain - Spinal Cord (Cervical C-1) Female 60-69 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GFAP"
"Cells - Cultured Fibroblasts Male 60-69 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"ADAMTS6"
"Adipose - Subcutaneous Female 40-49 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"CD248"
"Brain - Frontal Cortex (BA9) Male 40-49 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"SLC4A10"
"Adrenal Gland Male 60-69 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"KLHL4"
"Brain - Amygdala Male 40-49 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"B3GAT1"
"Brain - Spinal Cord (Cervical C-1) Male 40-49 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GFAP"
"Adrenal Gland Female 60-69 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"KLHL4"
"Nerve - Tibial Female 40-49 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"FGFBP2"
"Adrenal Gland Female 40-49 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"KLHL4"
"Nerve - Tibial Male 30-39 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"FGFBP2"
"Brain - Substantia Nigra Male 60-69 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GFAP"
"Brain - Hippocampus Female 60-69 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"B3GAT1"
"Brain - Hippocampus Female 50-59 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"B3GAT1"
"Adipose - Subcutaneous Female 70-79 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"CD248"
"Brain - Amygdala Female 50-59 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"B3GAT1"
"Brain - Spinal Cord (Cervical C-1) Female 50-59 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GFAP"
"Pituitary Female 60-69 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"VMO1"
"Nerve - Tibial Female 50-59 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"FGFBP2"
"Pituitary Female 70-79 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"VMO1"
"Cells - Cultured Fibroblasts Female 50-59 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"ADAMTS6"
"Brain - Frontal Cortex (BA9) Male 20-29 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"SLC4A10"
"Brain - Spinal Cord (Cervical C-1) Male 20-29 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GFAP"
"Brain - Hippocampus Male 20-29 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"B3GAT1"
"Pituitary Female 50-59 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"VMO1"
"Adrenal Gland Female 50-59 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"KLHL4"
"Cells - Cultured Fibroblasts Female 70-79 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"ADAMTS6"
"Cells - Cultured Fibroblasts Male 50-59 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"ADAMTS6"
"Cells - Cultured Fibroblasts Male 70-79 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"ADAMTS6"
"Adipose - Subcutaneous Female 50-59 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"CD248"
"Brain - Anterior Cingulate Cortex (BA24) Female 20-29 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"SLC4A10"
"Brain - Cortex Female 20-29 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"B3GAT1"
"Adrenal Gland Male 20-29 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"KLHL4"
"Brain - Amygdala Female 40-49 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"B3GAT1"
"Brain - Frontal Cortex (BA9) Male 50-59 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"SLC4A10"
"Brain - Hippocampus Male 30-39 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"B3GAT1"
"Brain - Spinal Cord (Cervical C-1) Male 50-59 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GFAP"
"Brain - Hippocampus Male 50-59 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"B3GAT1"
"Cells - Cultured Fibroblasts Male 40-49 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"ADAMTS6"
"Brain - Hippocampus Male 40-49 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"B3GAT1"
"Brain - Anterior Cingulate Cortex (BA24) Male 40-49 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"SLC4A10"
"Nerve - Tibial Male 20-29 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"FGFBP2"
"Pancreas Male 70-79 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"FSCN2"
"Brain - Amygdala Male 50-59 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"B3GAT1"
"Adipose - Subcutaneous Male 40-49 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"CD248"
"Nerve - Tibial Male 40-49 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"FGFBP2"
"Brain - Amygdala Male 20-29 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"B3GAT1"
"Brain - Hypothalamus Male 20-29 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"SLC4A10"
"Adrenal Gland Male 40-49 Up","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"KLHL4"
