"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Response To Cognitive-Behavioural Therapy In Anxiety Disorder","2/10",0.000272123093426778,0.0604113267407448,0,0,103.864583333333,852.650958556786,"TMC1;SLC4A10"
"Smoking Status (Standard GWA)","2/27",0.00206572935455435,0.140248989731961,0,0,33.2083333333333,205.302946563678,"SLC4A10;OGFRP1"
"NAD-dependent Protein Deacetylase Sirtuin-3, Mitochondrial Levels","1/5",0.0124387771927725,0.140248989731961,0,0,101.765306122449,446.437935140061,"ODF3"
"Killer Cell Immunoglobulin-Like Receptor 2DL4 Levels","1/5",0.0124387771927725,0.140248989731961,0,0,101.765306122449,446.437935140061,"ODF3"
"40S Ribosomal Protein S3 Levels","1/5",0.0124387771927725,0.140248989731961,0,0,101.765306122449,446.437935140061,"ODF3"
"40S Ribosomal Protein S4, X Isoform Levels","1/5",0.0124387771927725,0.140248989731961,0,0,101.765306122449,446.437935140061,"ODF3"
"Ceramide (D18:2/20:0) Levels","1/5",0.0124387771927725,0.140248989731961,0,0,101.765306122449,446.437935140061,"GRAMD4"
"Inosine-5-monophosphate Dehydrogenase 1 Levels","1/5",0.0124387771927725,0.140248989731961,0,0,101.765306122449,446.437935140061,"ODF3"
"Inosine-5-monophosphate Dehydrogenase 2 Levels","1/5",0.0124387771927725,0.140248989731961,0,0,101.765306122449,446.437935140061,"ODF3"
"Ceramide (D18:1/20:0) Levels","1/5",0.0124387771927725,0.140248989731961,0,0,101.765306122449,446.437935140061,"GRAMD4"
"Bipolar Disorder And Schizophrenia","2/73",0.014376533555206,0.140248989731961,0,0,11.6660798122066,49.4893539893362,"OGFRP1;ADAMTS6"
"Parenchymal Hematoma In Thrombolytic-Treated Acute Ischaemic Stroke","1/6",0.0149082847993736,0.140248989731961,0,0,81.4081632653061,342.389562344484,"SNTG2"
"Frontal Pole Volume","1/6",0.0149082847993736,0.140248989731961,0,0,81.4081632653061,342.389562344484,"KCNQ5"
"Osteosarcoma","1/6",0.0149082847993736,0.140248989731961,0,0,81.4081632653061,342.389562344484,"ADAMTS6"
"Smoking Status (Weighted GWA)","1/6",0.0149082847993736,0.140248989731961,0,0,81.4081632653061,342.389562344484,"OGFRP1"
"Crohn's Disease (Time To Progression)","1/6",0.0149082847993736,0.140248989731961,0,0,81.4081632653061,342.389562344484,"ADAMTS6"
"Regular Attendance At A Pub Or Social Club","1/6",0.0149082847993736,0.140248989731961,0,0,81.4081632653061,342.389562344484,"SLC4A10"
"Thrombin-activatable Fibrinolysis Inhibitor Levels","1/6",0.0149082847993736,0.140248989731961,0,0,81.4081632653061,342.389562344484,"SNTG2"
"LDL Levels X SSRI Defined Daily Dose Interaction In Schizophrenia Or Bipolar Disorder","1/6",0.0149082847993736,0.140248989731961,0,0,81.4081632653061,342.389562344484,"ADAMTS6"
