"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Spina Bifida Cystica","1/8",0.0198291614511851,0.488525499820278,0,0,58.1428571428571,227.954980151296,"GFAP"
"Autism Spectrum Disorder","2/104",0.0279010087799889,0.488525499820278,0,0,8.1078431372549,29.0187200271453,"SNTG2;LRRN3"
"Chorioretinal Atrophy","1/13",0.032026213248763,0.488525499820278,0,0,33.9081632653061,116.684789992962,"FSCN2"
"Sudden Episodic Apnea","1/14",0.0344477141698712,0.488525499820278,0,0,31.298273155416,105.422368949113,"SLC25A20"
"Trigeminal Neuralgia","1/17",0.0416766547912335,0.488525499820278,0,0,25.4260204081633,80.799167280865,"GFAP"
"Posterolateral Diaphragmatic Hernia","1/19",0.0464664552952436,0.488525499820278,0,0,22.5986394557823,69.3557808280063,"KCNQ5"
"Morgagni Diaphragmatic Hernia","1/19",0.0464664552952436,0.488525499820278,0,0,22.5986394557823,69.3557808280063,"KCNQ5"
"Benign Prostatic Hyperplasia","1/20",0.0488525499820278,0.488525499820278,0,0,21.4081632653061,64.6301466936404,"ODF3"
"Lewy Body Disease","1/27",0.0653921522588676,0.560526070697671,0,0,15.6389324960754,42.6528898315632,"GFAP"
"Amyotrophic Lateral Sclerosis With Dementia","1/29",0.0700657588372089,0.560526070697671,0,0,14.5204081632653,38.5999069065122,"GFAP"
"Ventricular Tachycardia","1/38",0.0908151166313485,0.584402813658182,0,0,10.9834528405957,26.3485293003408,"SLC25A20"
"Ventricular Hypertrophy","1/43",0.102145774279416,0.584402813658182,0,0,9.6734693877551,22.0686112387857,"SLC25A20"
"Cognitive Disorder","1/47",0.111110560303655,0.584402813658182,0,0,8.83052351375333,19.4026870705364,"SLC4A10"
"Epilepsy","2/244",0.124234782371999,0.584402813658182,0,0,3.39325068870523,7.07690288830453,"SLC4A10;GFAP"
"Nervous System Disorder","1/53",0.124393494912872,0.584402813658182,0,0,7.80926216640502,16.2768872389608,"GFAP"
"Atrioventricular Block","1/55",0.128777761392217,0.584402813658182,0,0,7.51927437641723,15.412009607623,"SLC25A20"
"Osteosarcoma","1/57",0.133140512285209,0.584402813658182,0,0,7.25,14.6185391319657,"ADAMTS6"
"Epileptic Encephalopathy","2/268",0.144524632836399,0.584402813658182,0,0,3.08333333333333,5.96410805921408,"GPT2;SLC25A20"
"Prostate Cancer, Hereditary","1/63",0.146100703414545,0.584402813658182,0,0,6.54641211323239,12.5917562502396,"B3GAT1"
"Spina Bifida","1/63",0.146100703414545,0.584402813658182,0,0,6.54641211323239,12.5917562502396,"GFAP"
"Non-Syndromic Intellectual Disability","1/74",0.169369691826634,0.633277856371452,0,0,5.55689124965054,9.86721301833061,"KCNQ5"
"Febrile Seizures","1/77",0.17560718091187,0.633277856371452,0,0,5.33673469387755,9.28328044629381,"GPT2"
"Lateral Sclerosis","1/81",0.183852475499192,0.633277856371452,0,0,5.06887755102041,8.58476054135848,"GFAP"
"Nonsyndromic Deafness","1/84",0.189983356911436,0.633277856371452,0,0,4.88492746496189,8.1129793990771,"TMC1"
"Non-Alcoholic Fatty Liver Disease","1/91",0.204113762093119,0.640327560120087,0,0,4.50340136054422,7.15625505110662,"B3GAT1"
"Amyotrophic Lateral Sclerosis","1/93",0.208106457039028,0.640327560120087,0,0,4.40505767524401,6.91464333784472,"GFAP"
"Congenital Diaphragmatic Hernia","1/98",0.218002513748404,0.645933374069344,0,0,4.17694087944456,6.36251970320458,"KCNQ5"
"Non-Syndromic Sensorineural Deafness","1/107",0.235510907008418,0.670809802005797,0,0,3.82056218713901,5.52452548143668,"TMC1"
"Keratoconus","1/111",0.243168553227101,0.670809802005797,0,0,3.6808905380334,5.20478084558139,"FSCN2"
"Spastic Paraplegia","1/119",0.258259013032378,0.688690701419675,0,0,3.4299550328606,4.64344661396654,"GPT2"
"Chromophobe Carcinoma","1/129",0.27670792410592,0.697116646538328,0,0,3.16039540816327,4.06045312240468,"VMO1"
"Deafness","1/133",0.283960903877272,0.697116646538328,0,0,3.06400742115028,3.85733627834156,"TMC1"
"Papillary Renal Carcinoma","1/135",0.287560616697061,0.697116646538328,0,0,3.01797136765154,3.76136290453997,"VMO1"
"Schizophrenia","5/1471",0.305818790481729,0.709783376079109,0,0,1.40093982113082,1.65978102144519,"LRRN3;B3GAT1;SLC4A10;CACHD1;GFAP"
