"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"18086899-Table4","1/7",0.017371741450284,0.669619991687927,0,0,67.8367346938775,274.936210768444,"B3GAT1"
"17209051-Table3","1/8",0.0198291614511851,0.669619991687927,0,0,58.1428571428571,227.954980151296,"POLR3G"
"15149732-table1","1/9",0.0222805591236868,0.669619991687927,0,0,50.8724489795918,193.520869933163,"BEX1"
"19861896-Table3","1/10",0.0247259488172581,0.669619991687927,0,0,45.2176870748299,167.301012082339,"GFAP"
"15779089-Table1","1/14",0.0344477141698712,0.669619991687927,0,0,31.298273155416,105.422368949113,"GFAP"
"15149732-table4","1/15",0.0368632785936063,0.669619991687927,0,0,29.0612244897959,95.9177159613371,"BEX1"
"15073113-Table2","1/19",0.0464664552952436,0.669619991687927,0,0,22.5986394557823,69.3557808280063,"BEX1"
"12036940-Table3","1/19",0.0464664552952436,0.669619991687927,0,0,22.5986394557823,69.3557808280063,"SLC25A20"
"12873988-Table1","1/20",0.0488525499820278,0.669619991687927,0,0,21.4081632653061,64.6301466936404,"DEFA1"
"20078854-TableS6a","1/21",0.0512327930672156,0.669619991687927,0,0,20.3367346938776,60.4280744540867,"DEFA1"
"16964388-SuppTable1","2/146",0.0516255263806262,0.669619991687927,0,0,5.73090277777778,16.9849002483351,"BEX1;PIK3R3"
"17161497-SuppTable1","2/148",0.0528890622383651,0.669619991687927,0,0,5.65182648401827,16.6138758503213,"LRRN3;FSCN2"
"14555994-Table1","1/23",0.0559757805878795,0.669619991687927,0,0,18.4860853432282,53.2923554931915,"TMEM37"
"15980968-Table3b","2/154",0.0567455048100272,0.669619991687927,0,0,5.42708333333333,15.5712726420437,"PIK3R3;GFAP"
"15545975-Table1","2/182",0.0759532712589317,0.669619991687927,0,0,4.57638888888889,11.7962692332634,"TMEM37;BEX1"
"19880498-TableS4","1/32",0.0770332554327669,0.669619991687927,0,0,13.1132323897301,33.6160080774025,"KCNQ5"
"12086872-Table11b","1/34",0.0816498044624026,0.669619991687927,0,0,12.317254174397,30.8586121657323,"MPPED2"
"12446012-Table3","1/36",0.0862437219743076,0.669619991687927,0,0,11.6122448979592,28.4567120450411,"GFAP"
"12036940-Table2","1/37",0.0885322278902677,0.669619991687927,0,0,11.2891156462585,27.3692036867235,"SLC25A20"
"19489030-SuppTable7","2/201",0.0899990393946085,0.669619991687927,0,0,4.13546901172529,9.95802858622237,"POLR3G;ADAMTS6"
"19118092-Table4","1/42",0.0998907694703361,0.669619991687927,0,0,9.90990542558487,22.8292310643337,"TMEM37"
"18637760-SuppTable4","1/44",0.104395242464778,0.669619991687927,0,0,9.44803037494067,21.3484970941598,"LRRN3"
"17150101-TableS1i","1/45",0.106639187352935,0.669619991687927,0,0,9.23283858998145,20.665901611884,"PIK3R3"
"18480837-SuppTable2","1/45",0.106639187352935,0.669619991687927,0,0,9.23283858998145,20.665901611884,"SLC4A10"
"19861896-Table1","1/48",0.113338014836913,0.669619991687927,0,0,8.64220581849761,18.8173716664144,"GFAP"
"17096850-Table2","1/50",0.117776526004041,0.669619991687927,0,0,8.28862973760933,17.7290996615035,"PIK3R3"
"17430594-table2","1/51",0.119987608922091,0.669619991687927,0,0,8.12244897959184,17.2225711551973,"B3GAT1"
"17409455-TableS3","1/53",0.124393494912872,0.669619991687927,0,0,7.80926216640502,16.2768872389608,"SLC25A20"
"11834723-Table1a","1/54",0.126588324068776,0.669619991687927,0,0,7.66153253754332,15.8349703751844,"SLC25A20"
"18310505-Table1","1/55",0.128777761392217,0.669619991687927,0,0,7.51927437641723,15.412009607623,"BEX1"
"16168083-Table2","1/56",0.130961819814475,0.669619991687927,0,0,7.3821892393321,15.0068793354093,"MPPED2"
"19395651-TableS2b","1/57",0.133140512285209,0.669619991687927,0,0,7.25,14.6185391319657,"CACHD1"
"19523942-Table2","1/58",0.135313851739813,0.669619991687927,0,0,7.12244897959184,14.246025949065,"GFAP"
