"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Gys1 KO mouse GSE2198 sample 2457","4/322",0.00848810693257745,0.670015603906811,0,0,5.36833470057424,25.602067470141,"TMEM37;BEX1;GPT2;SLC25A20"
"Prmt1 KD mouse GSE47214 sample 1707","5/534",0.0105018484179147,0.670015603906811,0,0,4.07918504515858,18.5855992093364,"LRRN3;MPPED2;B3GAT1;SLC4A10;GFAP"
"RRP1B OE human GSE53979 sample 821","4/366",0.0131100782448827,0.670015603906811,0,0,4.70526062935383,20.3943593957387,"CACHD1;PIK3R3;POLR3G;KLHL4"
"YAP1 OE human GSE50490 sample 1436","3/204",0.0144197704909057,0.670015603906811,0,0,6.27151476659257,26.5859235772233,"RNU1-3;RNU1-1;POLR3G"
"Cebpg KO mouse GSE47777 sample 3104","3/214",0.0163712299817739,0.670015603906811,0,0,5.97126147020268,24.5551990872099,"GPT2;CD248;ADAMTS6"
"Creb1 DN mouse GSE17478 sample 2158","3/219",0.0174000582463563,0.670015603906811,0,0,5.83156028368794,23.6252936071475,"BEX1;GPT2;MPPED2"
"NPTX1 KD human GSE34551 sample 1674","3/237",0.0213988828247723,0.670015603906811,0,0,5.37806873977087,20.6755365388741,"LRRN3;MPPED2;CD248"
"SERPINI1 Mutation - G392E mutant human GSE46230 sample 1033","3/254",0.0256013613905159,0.670015603906811,0,0,5.00949393913707,18.3603450768611,"RNU1-3;RNVU1-18;CACHD1"
"Nr2e3 Ectopic expression - (NRL null retinas expressing NR2E3) mouse GSE5338 sample 2384","4/454",0.0265562056785148,0.670015603906811,0,0,3.76811594202899,13.6725778840274,"LRRN3;SLC4A10;PIK3R3;KLHL4"
"Tgfbr2 KO mouse GSE46150 sample 309","3/260",0.0271834437181377,0.670015603906811,0,0,4.89105058365759,17.632957208338,"BEX1;PIK3R3;ADAMTS6"
"Gys1 KO mouse GSE2198 sample 2458","3/268",0.0293729751704351,0.670015603906811,0,0,4.74146928944199,16.7263875174311,"TMEM37;BEX1;GPT2"
"TBK1 druginhibition human GSE53658 sample 1958","3/274",0.0310750535699627,0.670015603906811,0,0,4.63507890398053,16.0899807718391,"RNU1-3;RNU1-1;RNVU1-18"
"Tgfb2 KD mouse GSE22989 sample 378","3/283",0.033724141954856,0.670015603906811,0,0,4.48404255319149,15.1988475129681,"MPPED2;KLHL4;ADAMTS6"
"IKBKB transient expression of constitutively active IKK&Icirc;&sup2;(E human GSE20115 sample 2442","2/118",0.0351769550093682,0.670015603906811,0,0,7.1242816091954,23.8475644827565,"FGFBP2;CD248"
"LOXL2 DEPLETION human GSE35600 sample 115","3/299",0.0387161435169752,0.670015603906811,0,0,4.23821161587119,13.7805392236034,"POLR3G;KCNQ5;ADAMTS6"
"Gfi1b OE mouse GSE33709 sample 772","3/301",0.0393653955150989,0.670015603906811,0,0,4.20933885477652,13.6166561308037,"LRRN3;GPT2;SLC25A20"
"TGM2 KD human GSE23702 sample 743","3/301",0.0393653955150989,0.670015603906811,0,0,4.20933885477652,13.6166561308037,"SLC4A10;PIK3R3;SLC25A20"
"NFKB1 KD human GSE65363 sample 1558","3/303",0.0400202262983049,0.670015603906811,0,0,4.18085106382979,13.4555268725362,"BEX1;LRRN3;POLR3G"
"TET2 DEPLETION human GSE51901 sample 2988","3/303",0.0400202262983049,0.670015603906811,0,0,4.18085106382979,13.4555268725362,"LRRN3;MPPED2;KLHL4"
"Trp53inp2 OE mouse GSE54917 sample 303","3/304",0.0403497304039582,0.670015603906811,0,0,4.16674913409203,13.3759754250305,"TMEM37;MPPED2;CD248"
"PTPRC C77G mut human GSE31209 sample 1056","3/305",0.0406806251685393,0.670015603906811,0,0,4.15274059461744,13.2970892539595,"ZNF683;B3GAT1;CD248"
"H6pd KO mouse GSE10347 sample 629","3/307",0.0413465811083513,0.670015603906811,0,0,4.125,13.1412828636865,"TMEM37;GPT2;MPPED2"
"Rpe65 KO mouse GSE3249 sample 2711","3/309",0.0420180828041023,0.670015603906811,0,0,4.09762202753442,12.9880490098283,"SNTG2;FSCN2;KLHL4"
"LAMP3 KD human GSE29009 sample 1538","3/310",0.0423559096851942,0.670015603906811,0,0,4.08406680989674,12.9123788993021,"RNU1-3;RNU1-1;RNVU1-18"
"Fgfr1 drugactivation mouse GSE32316 sample 1928","3/325",0.0475882879545183,0.670015603906811,0,0,3.89084181313599,11.8482693145788,"MPPED2;PIK3R3;GRAMD4"
"Clpp KO mouse GSE40207 sample 407","3/326",0.0479480379268232,0.670015603906811,0,0,3.87859824780976,11.7817750879622,"TMEM37;MPPED2;SLC4A10"
"H3F3A Mutation (G34R -  mutation of key residues in histone H3.3) human GSE34824 sample 1228","3/328",0.0486716039595096,0.670015603906811,0,0,3.85433715220949,11.6503488088084,"BEX1;CACHD1;GFAP"
"LAMP3 KD human GSE29009 sample 1541","3/328",0.0486716039595096,0.670015603906811,0,0,3.85433715220949,11.6503488088084,"RNU1-3;RNU1-1;RNVU1-18"
"Nrl KO mouse GSE4051 sample 2726","3/350",0.0569845423320422,0.670015603906811,0,0,3.6059231099393,10.3308804095882,"BEX1;LRRN3;PIK3R3"
"TGM2 KD human GSE23702 sample 742","3/366",0.0634294445358772,0.670015603906811,0,0,3.44417091612449,9.49842789122377,"PIK3R3;SLC25A20;GRAMD4"
"Esr2 KO mouse GSE9371 sample 2431","3/372",0.0659308310999551,0.670015603906811,0,0,3.38713025428127,9.21011218299617,"SNTG2;BEX1;GRAMD4"
"Nrl Deficiency mouse GSE4051 sample 263","3/373",0.0663521503284664,0.670015603906811,0,0,3.37780333525014,9.16323432508186,"BEX1;PIK3R3;KLHL4"
"Rnf2 KD mouse GSE33659 sample 2201","3/374",0.0667747264598332,0.670015603906811,0,0,3.36852669610598,9.11668378263765,"GPT2;MPPED2;GRAMD4"
"PAX5 OE human GSE44244 sample 575","2/177",0.0723859658020668,0.670015603906811,0,0,4.70833333333333,12.362872542539,"KCNQ5;KLHL4"
"Foxp3 Deficiency mouse GSE35543 sample 3037","3/388",0.072821398360266,0.670015603906811,0,0,3.24371373307544,8.49770423964133,"BEX1;PIK3R3;ADAMTS6"
"MIR122 KO mouse GSE31453 sample 2408","2/181",0.0752353133817488,0.670015603906811,0,0,4.60218808193668,11.9064798632878,"SNTG2;POLR3G"
"CD44 KD human GSE20914 sample 2612","2/181",0.0752353133817488,0.670015603906811,0,0,4.60218808193668,11.9064798632878,"FGFBP2;B3GAT1"
"Src overexpression mouse GSE37428 sample 2014","3/410",0.0828034720457903,0.670015603906811,0,0,3.06492759684249,7.63560902328955,"BEX1;MPPED2;PIK3R3"
"Pcgf6 KD mouse GSE56126 sample 1340","2/203",0.0915200219539462,0.670015603906811,0,0,4.09390547263682,9.78933657835959,"KLHL4;ADAMTS6"
"TYROBP KD human GSE33503 sample 1066","2/208",0.0953557356955228,0.670015603906811,0,0,3.99352750809061,9.38535191121288,"POLR3G;KCNQ5"
"Pdk1 knockout mouse GSE26290 sample 1907","2/214",0.100019348409027,0.670015603906811,0,0,3.87932389937107,8.93172286673583,"GPT2;SLC4A10"
"Mkl2 KO mouse GSE38316 sample 1761","3/457",0.105972948039162,0.670015603906811,0,0,2.7410254006936,6.15242728855082,"GPT2;KLHL4;ADAMTS6"
"Prmt8 KD mouse GSE47214 sample 1708","3/460",0.107531983228124,0.670015603906811,0,0,2.72261278458029,6.07133654703608,"B3GAT1;SLC4A10;GFAP"
"SIN3A KD human GSE35696 sample 826","3/463",0.109100161312196,0.670015603906811,0,0,2.70444033302498,5.99165755900796,"BEX1;MPPED2;GRAMD4"
"Arid3a KD mouse GSE56853 sample 1337","2/228",0.111143315879615,0.670015603906811,0,0,3.63643067846608,7.98900101954825,"GPT2;CACHD1"
"SYK druginhibition human GSE43510 sample 2070","2/232",0.114380144609987,0.670015603906811,0,0,3.57246376811594,7.74591517150219,"GPT2;GRAMD4"
"Ppara KO mouse GSE6864 sample 1373","2/234",0.116007813175353,0.670015603906811,0,0,3.54130747126437,7.62832240344101,"TMEM37;SLC25A20"
"PSMB9 KO human GSE23702 sample 1567","2/236",0.117641519622071,0.670015603906811,0,0,3.51068376068376,7.51326082513572,"GPT2;KCNQ5"
"WNT1 OE human GSE26656 sample 2355","2/238",0.119281166276902,0.670015603906811,0,0,3.4805790960452,7.40065728725666,"GRAMD4;ADAMTS6"
"Psap KO mouse GSE8307 sample 2484","2/239",0.120103186865032,0.670015603906811,0,0,3.46571729957806,7.34525516010828,"BEX1;SLC4A10"
"Iltifb KO mouse GSE65472 sample 2663","2/242",0.122577893374113,0.670015603906811,0,0,3.421875,7.18254500793885,"TMEM37;SLC25A20"
"PFKL OE human GSE38680 sample 102","2/242",0.122577893374113,0.670015603906811,0,0,3.421875,7.18254500793885,"GPT2;KCNQ5"
"Esr1 KO mouse GSE9371 sample 2430","2/244",0.124234782371999,0.670015603906811,0,0,3.39325068870523,7.07690288830453,"BEX1;SLC4A10"
