"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"VDR OE human GSE5145 sample 2944","5/292",0.000793552982965274,0.630874621457393,0,0,7.61246612466125,54.3453214348309,"LRRN3;CACHD1;PIK3R3;CD248;GRAMD4"
"SMC3 KD human GSE38252 sample 2222","4/298",0.00649453527694802,0.672650436769703,0,0,5.81366459627329,29.282232016427,"RNU1-3;RNU1-1;RNVU1-18;GRAMD4"
"FGFR3 druginhibition human GSE52452 sample 1881","3/161",0.007608098362527,0.672650436769703,0,0,7.99569081605171,39.0073136649681,"MPPED2;PIK3R3;KLHL4"
"Hspb8 KO mouse GSE24489 sample 2996","4/319",0.00821942100257567,0.672650436769703,0,0,5.42028985507246,26.0241965326684,"BEX1;PIK3R3;POLR3G;CD248"
"SMC3 KD human GSE38252 sample 2862","4/325",0.00876251146999965,0.672650436769703,0,0,5.31735067045916,25.1897402612652,"RNU1-3;RNU1-1;RNVU1-18;GRAMD4"
"Neurod1 Conditional KO under Crx promoter mouse GSE35396 sample 3092","4/329",0.00913736342690349,0.672650436769703,0,0,5.25083612040134,24.654688758258,"BEX1;LRRN3;SLC4A10;GFAP"
"Satb1 KO mouse GSE44107 sample 1504","3/221",0.0178215403858025,0.672650436769703,0,0,5.77747413624829,23.2678955525318,"TMEM37;KCNQ5;KLHL4"
"Bcl11b KO mouse GSE9330 sample 28","4/429",0.0221329461459506,0.672650436769703,0,0,3.99488491048593,15.2232600086525,"LRRN3;MPPED2;SLC4A10;PIK3R3"
"Ppargc1a Deficiency mouse GSE52550 sample 337","3/261",0.0274521329320867,0.672650436769703,0,0,4.87184562097971,17.5158021566683,"BEX1;MPPED2;KCNQ5"
"Ncoa3 KD mouse GSE50017 sample 1712","3/270",0.0299346348770652,0.672650436769703,0,0,4.70547453980397,16.5102825577232,"CACHD1;KLHL4;ADAMTS6"
"LRRK2 dominant negative mutation - G2019S heterozygous human GSE33298 sample 1742","3/271",0.0302176031237121,0.672650436769703,0,0,4.68767862813592,16.4037374516666,"BEX1;MPPED2;KLHL4"
"Prkaca KO mouse GSE2413 sample 939","3/274",0.0310750535699627,0.672650436769703,0,0,4.63507890398053,16.0899807718391,"BEX1;GPT2;POLR3G"
"Prkaca KO mouse GSE2413 sample 938","3/285",0.0343284171521733,0.672650436769703,0,0,4.45178813942961,15.010458134348,"BEX1;GPT2;POLR3G"
"Egln3 KO mouse GSE55693 sample 2320","3/290",0.0358638179195304,0.672650436769703,0,0,4.37311883757135,14.5538547192371,"VMO1;MPPED2;ADAMTS6"
"CHEK1 KD human GSE54267 sample 698","3/291",0.0361751262710111,0.672650436769703,0,0,4.35771276595745,14.4649199223923,"RNU1-3;RNVU1-18;ADAMTS6"
"Ogt KD mouse GSE39321 sample 1453","3/299",0.0387161435169752,0.672650436769703,0,0,4.23821161587119,13.7805392236034,"CACHD1;PIK3R3;SLC25A20"
"CASP2 KD human GSE61388 sample 2841","3/299",0.0387161435169752,0.672650436769703,0,0,4.23821161587119,13.7805392236034,"ODF3;PIK3R3;CD248"
"Gfi1b OE mouse GSE33709 sample 452","3/300",0.0390400715124679,0.672650436769703,0,0,4.22372662798195,13.6982494892257,"LRRN3;GPT2;SLC25A20"
"Mok knockout mouse GSE15729 sample 2011","3/302",0.0396921142190313,0.672650436769703,0,0,4.19504732085676,13.5357512021428,"TMEM37;BEX1;POLR3G"
"RNF40 KD human GSE38173 sample 1380","3/307",0.0413465811083513,0.672650436769703,0,0,4.125,13.1412828636865,"RNU1-3;RNU1-1;GPT2"
