"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"R01GM031335","3/6",2.92460341889839e-07,6.72658786346629e-05,0,0,424.404255319149,6385.13518311832,"RNU1-3;RNU1-1;RNVU1-18"
"R01GM031073","3/9",1.22187481257861e-06,0.00014051560344654,0,0,212.170212765957,2888.72378713808,"RNU1-3;RNU1-1;RNVU1-18"
"T32NS041219","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"DEFA1"
"R01HD004365","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"DEFA1"
"R01MH066998","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"GFAP"
"R01NS052831","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"GFAP"
"R01DE015517","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"DEFA1"
"R01NS022475","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"GFAP"
"R01EY009331","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"GFAP"
"R01DK051463","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"PIK3R3"
"R01CA058449","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"PIK3R3"
"N01AI050028","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"DEFA1"
"P01AI016252","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"DEFA1"
"R01AM010486","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"DEFA1"
"R01AI027026","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"DEFA1"
"R01AI040248","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"DEFA1"
"R25GM061347","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"RNU1-1"
"Z01AI000855","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"B3GAT1"
"R21DA029428","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"GFAP"
"R03DC004752","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"BEX1"
"R01GM054787","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"DEFA1"
"T32GM008037","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"DEFA1"
"ZIAAI005021","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"B3GAT1"
"R01HD020521","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"DEFA1"
"R01HL089564","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"KCNQ5"
"T34GM008037","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"DEFA1"
"R01DC003112","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"BEX1"
"R01AI043698","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"DEFA1"
"R35CA039809","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"DEFA1"
"R21AI060438","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"DEFA1"
"Z01AI005021","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"B3GAT1"
"R01DA025100","1/3",0.00748155237341628,0.0458307402551626,0,0,203.551020408163,996.446357764973,"GFAP"
"R01MH074359","1/4",0.00996320440329623,0.0458307402551626,0,0,135.69387755102,625.393613888524,"GFAP"
"R01NS049175","1/4",0.00996320440329623,0.0458307402551626,0,0,135.69387755102,625.393613888524,"GFAP"
"R01GM026091","1/4",0.00996320440329623,0.0458307402551626,0,0,135.69387755102,625.393613888524,"FSCN2"
"P01HD003352","1/4",0.00996320440329623,0.0458307402551626,0,0,135.69387755102,625.393613888524,"GFAP"
"R01DK076039","1/4",0.00996320440329623,0.0458307402551626,0,0,135.69387755102,625.393613888524,"DEFA1"
"P50NS017752","1/4",0.00996320440329623,0.0458307402551626,0,0,135.69387755102,625.393613888524,"SLC25A20"
"R01NS036282","1/4",0.00996320440329623,0.0458307402551626,0,0,135.69387755102,625.393613888524,"KLHL4"
"TL1RR024126","1/4",0.00996320440329623,0.0458307402551626,0,0,135.69387755102,625.393613888524,"SLC4A10"
"R01MH061578","1/4",0.00996320440329623,0.0458307402551626,0,0,135.69387755102,625.393613888524,"GFAP"
"Z01AI005015","1/4",0.00996320440329623,0.0458307402551626,0,0,135.69387755102,625.393613888524,"B3GAT1"
