"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"HD-specific Set Of Genes (Cluster 9) PMID28499347","2/25",0.00177122121301273,0.999884434361958,0,0,36.0996376811594,228.730409618747,"SLC4A10;KCNQ5"
"Genes Down-Regulated In Expression In HD180i.5 NSCs From HD Patient Vs NSCs From Healthy Controls GSE37517","12/2106",0.00485081585446524,0.999884434361958,0,0,2.69280651485447,14.3489113359019,"RNU1-3;SNTG2;RNU1-1;FGFBP2;BEX1;RNVU1-18;MPPED2;B3GAT1;CACHD1;POLR3G;KLHL4;ADAMTS6"
"Genes Up-Regulated In OPCs Of zQ175DN Vs WT PMID32681824","2/49",0.00668289703036885,0.999884434361958,0,0,17.6445035460993,88.3672679136724,"MPPED2;KCNQ5"
"Genes Down-Regulated In NPCs After HTT Knock Down GSE118088","5/511",0.00878744878135338,0.999884434361958,0,0,4.26965305226175,20.2143771313133,"VMO1;BEX1;B3GAT1;KLHL4;ADAMTS6"
"Genes Down-Regulated In Human Asymptomatic HD BA9 Vs Control GSE129473","1/5",0.0124387771927725,0.999884434361958,0,0,101.765306122449,446.437935140061,"POLR3G"
"Genes Up-Regulated In Inferior Olive Of 5 Week Old ATXN1[82Q] Vs WT GSE122099","2/69",0.0129153730394233,0.999884434361958,0,0,12.3650497512438,53.7797680023181,"SLC4A10;GFAP"
"Genes Up-Regulated In The Astrocytes Of zQ175 KI Mice Vs WT At 6 Month Old GSE124846","3/198",0.0133164615943839,0.999884434361958,0,0,6.46644844517185,27.927001997452,"LRRN3;CACHD1;ADAMTS6"
"PMID:20976225, PMID:19228925] NK-specific Genes PMID15789058,","2/77",0.0159057771109684,0.999884434361958,0,0,11.0416666666667,45.7243465537679,"FGFBP2;B3GAT1"
"Genes Changed In Inferior Olive Of 5 Week Old ATXN1[82Q] Vs WT GSE122099","2/77",0.0159057771109684,0.999884434361958,0,0,11.0416666666667,45.7243465537679,"SLC4A10;GFAP"
"Genes Up-Regulated In Expression In Striatum Of R6/2 HD Mice GSE62210","2/81",0.0175016586979589,0.999884434361958,0,0,10.4804852320675,42.3983798022788,"LRRN3;ADAMTS6"
