"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"HD-specific Set Of Genes (Cluster 9) PMID28499347","2/26",0.00191576500585328,0.99995323147493,0,0,34.59375,216.475173392812,"SLC4A10;KCNQ5"
"Genes Up-Regulated In OPCs Of zQ175DN Vs WT PMID32681824","2/47",0.00616259351355971,0.99995323147493,0,0,18.4305555555556,93.7978442903707,"MPPED2;KCNQ5"
"Genes Down-Regulated In NPCs After HTT Knock Down GSE118088","5/507",0.00851061442328706,0.99995323147493,0,0,4.3045595396193,20.5174296742789,"VMO1;BEX1;B3GAT1;KLHL4;ADAMTS6"
"Genes Up-Regulated In Inferior Olive Of 5 Week Old ATXN1[82Q] Vs WT GSE122099","2/65",0.0115237618661232,0.99995323147493,0,0,13.1527777777778,58.7053734368926,"SLC4A10;GFAP"
"Genes Down-Regulated In Myotonic Dystrophy 2 Markers In Human Quadriceps Muscles GSE47968","6/778",0.0125901062412598,0.99995323147493,0,0,3.38754121526142,14.8199643346555,"TMEM37;MPPED2;KCNQ5;GRAMD4;ADAMTS6;GFAP"
"Genes Changed In Inferior Olive Of 5 Week Old ATXN1[82Q] Vs WT GSE122099","2/73",0.014376533555206,0.99995323147493,0,0,11.6660798122066,49.4893539893362,"SLC4A10;GFAP"
"Genes Up-Regulated In The Astrocytes Of zQ175 KI Mice Vs WT At 6 Month Old GSE124846","3/215",0.0165741561046106,0.99995323147493,0,0,5.942794058611,24.3649246989329,"LRRN3;CACHD1;ADAMTS6"
"Neuron Gene Module M13 From Human Brain PMID20616000","2/94",0.0231314233527167,0.99995323147493,0,0,8.99365942028986,33.8751872133159,"BEX1;MPPED2"
"Genes Changed In NPCs After HTT Knock Down GSE118088","5/665",0.0247611286045722,0.99995323147493,0,0,3.24747474747475,12.0107212173273,"VMO1;BEX1;B3GAT1;KLHL4;ADAMTS6"
"Genes Up-Regulated In Expression In Striatum Of R6/2 HD Mice GSE62210","2/106",0.0288986461861609,0.99995323147493,0,0,7.95112179487179,28.1784618081057,"LRRN3;ADAMTS6"
