"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"L-Carnitine (HMDB00062)","1/12",0.0295987615689071,0.207728543480337,0,0,36.9925788497217,130.214719406514,"SLC25A20"
"L-Alanine (HMDB00161)","1/17",0.0416766547912335,0.207728543480337,0,0,25.4260204081633,80.799167280865,"GPT2"
"Hydrogen carbonate (HMDB00595)","1/20",0.0488525499820278,0.207728543480337,0,0,21.4081632653061,64.6301466936404,"SLC4A10"
"UGA (HMDB00935)","1/29",0.0700657588372089,0.207728543480337,0,0,14.5204081632653,38.5999069065122,"B3GAT1"
"Oxoglutaric acid (HMDB00208)","1/38",0.0908151166313485,0.207728543480337,0,0,10.9834528405957,26.3485293003408,"GPT2"
"CTP (HMDB00082)","1/39",0.0930924017046572,0.207728543480337,0,0,10.6938775510204,25.3890053323137,"POLR3G"
"UTP (HMDB00285)","1/41",0.0976302146847682,0.207728543480337,0,0,10.1581632653061,23.6336602002892,"POLR3G"
"Famotidine (HMDB01919)","1/44",0.104395242464778,0.207728543480337,0,0,9.44803037494067,21.3484970941598,"GPT2"
"Pyruvic acid (HMDB00243)","1/47",0.111110560303655,0.207728543480337,0,0,8.83052351375333,19.4026870705364,"GPT2"
"Potassium (HMDB00586)","1/52",0.122193260870786,0.207728543480337,0,0,7.96278511404562,16.7389797330337,"KCNQ5"
"L-Glutamic acid (HMDB00148)","1/58",0.135313851739813,0.209121407234257,0,0,7.12244897959184,14.246025949065,"GPT2"
"Pyridoxal 5'-phosphate (HMDB01491)","1/66",0.152509397975627,0.216054980465471,0,0,6.24332810047096,11.7407599163322,"GPT2"
"Uridine 5'-diphosphate (HMDB00295)","1/107",0.235510907008418,0.290638282398403,0,0,3.82056218713901,5.52452548143668,"B3GAT1"
"Chlorine (HMDB00492)","1/109",0.239349173739861,0.290638282398403,0,0,3.74943310657596,5.36105874493243,"SLC4A10"
"Manganese (HMDB01333)","1/193",0.384573659590848,0.410260165359598,0,0,2.10012755102041,2.0069237558479,"B3GAT1"
"Sodium (HMDB00588)","1/194",0.386127214456092,0.410260165359598,0,0,2.08914031934017,1.98800167857261,"SLC4A10"
"Guanosine triphosphate (HMDB01273)","1/460",0.688037650255285,0.688037650255285,0,0,0.866613311991463,0.324036872621179,"POLR3G"
