"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Nk Cd56Bright (id:468)","2/98",0.0249948795228369,0.237010524600759,0,0,8.6171875,31.7895310662435,"ZNF683;FGFBP2"
"Exc L5-6 Themis Smyd1 (L6 It Car3) (id:227)","2/98",0.0249948795228369,0.237010524600759,0,0,8.6171875,31.7895310662435,"LRRN3;B3GAT1"
"Exc L3 Lamp5 Carm1P1 (id:200)","2/99",0.0254700751762328,0.237010524600759,0,0,8.52792096219931,31.2996107672048,"MPPED2;B3GAT1"
"Resident Memory Cd8 T Cell (id:540)","2/100",0.0259489619459531,0.237010524600759,0,0,8.44047619047619,30.8214426622313,"ZNF683;FGFBP2"
"Exc L5 Themis Rgpd6 (id:217)","2/101",0.0264315192050236,0.237010524600759,0,0,8.35479797979798,30.3546359095748,"LRRN3;CD248"
"Exc L5-6 Fezf2 Or1L8 (id:225)","2/102",0.026917726401911,0.237010524600759,0,0,8.27083333333333,29.898816321571,"ZNF683;FGFBP2"
"Cd8+ T Single Positive (id:111)","2/123",0.0379356146383277,0.237010524600759,0,0,6.82816804407713,22.3408434087686,"ZNF683;LRRN3"
"Pro B Progenitor (id:519)","1/93",0.208106457039028,0.237010524600759,0,0,4.40505767524401,6.91464333784472,"DEFA1"
"Mid Erythroid (id:422)","1/94",0.210095436800202,0.237010524600759,0,0,4.35747202106649,6.79849904676328,"DEFA1"
"Ionocyte (id:349)","1/95",0.21207952058325,0.237010524600759,0,0,4.31089882761615,6.68531593969729,"VMO1"
"Lung Megakaryocyte (id:365)","1/95",0.21207952058325,0.237010524600759,0,0,4.31089882761615,6.68531593969729,"DEFA1"
"Melanocyte (id:406)","1/95",0.21207952058325,0.237010524600759,0,0,4.31089882761615,6.68531593969729,"GFAP"
"Promyelocyte (id:521)","1/96",0.214058720124535,0.237010524600759,0,0,4.26530612244898,6.57499032398412,"DEFA1"
"Inh L5-6 Sst Isx (id:333)","1/96",0.214058720124535,0.237010524600759,0,0,4.26530612244898,6.57499032398412,"B3GAT1"
"Inh L1-3 Vip Chrna2 (id:288)","1/97",0.216033047281136,0.237010524600759,0,0,4.22066326530612,6.46742313757927,"GPT2"
"Late Erythroid (id:362)","1/97",0.216033047281136,0.237010524600759,0,0,4.22066326530612,6.46742313757927,"DEFA1"
"Exc L2-3 Rorb Ptpn3 (id:198)","1/97",0.216033047281136,0.237010524600759,0,0,4.22066326530612,6.46742313757927,"GFAP"
"Oligo L5-6 Opalin Ldlrap1 (id:480)","1/98",0.218002513748404,0.237010524600759,0,0,4.17694087944456,6.36251970320458,"GFAP"
"Bronchial Smooth Muscle Cell (id:76)","1/98",0.218002513748404,0.237010524600759,0,0,4.17694087944456,6.36251970320458,"CD248"
"Smooth Muscle Cells (id:557)","1/98",0.218002513748404,0.237010524600759,0,0,4.17694087944456,6.36251970320458,"CD248"
"Distal Convoluted Tubule Cell (id:166)","1/98",0.218002513748404,0.237010524600759,0,0,4.17694087944456,6.36251970320458,"B3GAT1"
"Exc L2 Linc00507 Atp7B (id:194)","1/98",0.218002513748404,0.237010524600759,0,0,4.17694087944456,6.36251970320458,"SLC4A10"
"Macula Densa Cell (id:390)","1/98",0.218002513748404,0.237010524600759,0,0,4.17694087944456,6.36251970320458,"B3GAT1"
"Airway Smooth Muscle (id:41)","1/99",0.2199671313012,0.237010524600759,0,0,4.13411078717201,6.26018948804807,"CD248"
"Inh L1 Pax6 Chrfam7A (id:271)","1/99",0.2199671313012,0.237010524600759,0,0,4.13411078717201,6.26018948804807,"B3GAT1"
"Oligo L3-6 Opalin Enpp6 (id:479)","1/99",0.2199671313012,0.237010524600759,0,0,4.13411078717201,6.26018948804807,"GFAP"
"Inh L1-6 Sst Npy (Sset Chodl) (id:299)","1/99",0.2199671313012,0.237010524600759,0,0,4.13411078717201,6.26018948804807,"BEX1"
"Smooth Muscle Cell (id:552)","1/99",0.2199671313012,0.237010524600759,0,0,4.13411078717201,6.26018948804807,"CD248"
"T Cytotoxic Cell (id:584)","1/99",0.2199671313012,0.237010524600759,0,0,4.13411078717201,6.26018948804807,"ZNF683"
"Erythroid (id:190)","1/99",0.2199671313012,0.237010524600759,0,0,4.13411078717201,6.26018948804807,"DEFA1"
"Lymphocyte (id:380)","1/99",0.2199671313012,0.237010524600759,0,0,4.13411078717201,6.26018948804807,"ZNF683"
"Megakaryocyte (Mk) (id:405)","1/99",0.2199671313012,0.237010524600759,0,0,4.13411078717201,6.26018948804807,"DEFA1"
"Adipocyte (id:35)","1/100",0.221926911560385,0.237010524600759,0,0,4.09214594928881,6.16034588762116,"GPT2"
"Myofibroblast (id:436)","1/100",0.221926911560385,0.237010524600759,0,0,4.09214594928881,6.16034588762116,"CD248"
"Natural Killer Cell (id:449)","1/100",0.221926911560385,0.237010524600759,0,0,4.09214594928881,6.16034588762116,"ZNF683"
"Astro L1-6 Fgfr3 Plcg1 (id:52)","1/100",0.221926911560385,0.237010524600759,0,0,4.09214594928881,6.16034588762116,"CD248"
"Peritubular Capillary Endothelial Cell (id:500)","1/100",0.221926911560385,0.237010524600759,0,0,4.09214594928881,6.16034588762116,"ADAMTS6"
"Cd56 Bright Natural Killer (id:100)","1/100",0.221926911560385,0.237010524600759,0,0,4.09214594928881,6.16034588762116,"ZNF683"
"Descending Vasa Recta Endothelial Cell (id:165)","1/100",0.221926911560385,0.237010524600759,0,0,4.09214594928881,6.16034588762116,"ADAMTS6"
"Inh L5-6 Sst Klhl1 (id:334)","1/100",0.221926911560385,0.237010524600759,0,0,4.09214594928881,6.16034588762116,"B3GAT1"
"Lymphatic Vessel Smooth Muscle Cell (id:378)","1/100",0.221926911560385,0.237010524600759,0,0,4.09214594928881,6.16034588762116,"CD248"
"Exc L5 Fezf2 Nrep-As1 (id:211)","1/100",0.221926911560385,0.237010524600759,0,0,4.09214594928881,6.16034588762116,"CD248"
"Fibroblast (id:237)","1/101",0.223881866241205,0.237010524600759,0,0,4.05102040816327,6.06290601418737,"CD248"
"Natural Killer (id:448)","1/101",0.223881866241205,0.237010524600759,0,0,4.05102040816327,6.06290601418737,"ZNF683"
"Inh L1-3 Vip Fndc1 (id:289)","1/101",0.223881866241205,0.237010524600759,0,0,4.05102040816327,6.06290601418737,"B3GAT1"
"Cd8+ T Cell Central Memory (id:108)","1/101",0.223881866241205,0.237010524600759,0,0,4.05102040816327,6.06290601418737,"ZNF683"
"Inh L5-6 Lamp5 Crabp1 (id:322)","1/101",0.223881866241205,0.237010524600759,0,0,4.05102040816327,6.06290601418737,"CD248"
"Inh L5-6 Sst C4Orf26 (id:330)","1/101",0.223881866241205,0.237010524600759,0,0,4.05102040816327,6.06290601418737,"CD248"
"Mature Natural Killer (id:401)","1/101",0.223881866241205,0.237010524600759,0,0,4.05102040816327,6.06290601418737,"ZNF683"
"Exc L5 Themis Vill (id:219)","1/101",0.223881866241205,0.237010524600759,0,0,4.05102040816327,6.06290601418737,"CACHD1"
"Afferent Arteriole Endothelial Cell (id:39)","1/102",0.225832006978328,0.237010524600759,0,0,4.01070923418872,5.96779050603106,"ADAMTS6"
"Cd8 T Cell Effector Memory Cd45Ra (id:104)","1/102",0.225832006978328,0.237010524600759,0,0,4.01070923418872,5.96779050603106,"ZNF683"
"Inh L5-6 Pvalb Kcnip2 (id:325)","1/102",0.225832006978328,0.237010524600759,0,0,4.01070923418872,5.96779050603106,"MPPED2"
"Myelocyte (id:431)","1/103",0.22777734539855,0.237010524600759,0,0,3.97118847539016,5.87492334394335,"DEFA1"
"Gamma/Delta T Cells (id:248)","1/103",0.22777734539855,0.237010524600759,0,0,3.97118847539016,5.87492334394335,"ZNF683"
"Eosinophil (id:185)","1/103",0.22777734539855,0.237010524600759,0,0,3.97118847539016,5.87492334394335,"DEFA1"
"Lymphatic Endothelial Cell Of Medulla Ceiling (id:372)","1/103",0.22777734539855,0.237010524600759,0,0,3.97118847539016,5.87492334394335,"CD248"
"Memory Cd8+ T Cell (id:413)","1/103",0.22777734539855,0.237010524600759,0,0,3.97118847539016,5.87492334394335,"ZNF683"
"Follicular Dendritic Cell (id:246)","1/104",0.229717893074581,0.237010524600759,0,0,3.93243510996632,5.78423168094792,"CD248"
"Hemopoietic Stem Cell (Hsc) (id:261)","1/104",0.229717893074581,0.237010524600759,0,0,3.93243510996632,5.78423168094792,"BEX1"
"Nkt Cell (id:473)","1/104",0.229717893074581,0.237010524600759,0,0,3.93243510996632,5.78423168094792,"ZNF683"
"Basophil (id:66)","1/104",0.229717893074581,0.237010524600759,0,0,3.93243510996632,5.78423168094792,"DEFA1"
"Mature Cd8 T Cell (id:400)","1/104",0.229717893074581,0.237010524600759,0,0,3.93243510996632,5.78423168094792,"ZNF683"
"Cortical Thymic Epithelial Cell (id:139)","1/107",0.235510907008418,0.239190764930425,0,0,3.82056218713901,5.52452548143668,"TMEM37"
"Medullary Thymic Epithelial Cell (id:404)","1/163",0.336132666087276,0.336132666087276,0,0,2.49281934996221,2.71779469441579,"BEX1"
