"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Immature NK T cell - Thoracic Thymus","3/104",0.00224188587985045,0.230321913310933,0,0,12.5441331367179,76.5247046664134,"ZNF683;FGFBP2;LRRN3"
"Obsolete Muller cell - Eye","2/100",0.0259489619459531,0.230321913310933,0,0,8.44047619047619,30.8214426622313,"B3GAT1;GFAP"
"Diffuse Bipolar 2 cell - Eye","2/101",0.0264315192050236,0.230321913310933,0,0,8.35479797979798,30.3546359095748,"B3GAT1;GFAP"
"Retinal Rod cell - Eye","2/101",0.0264315192050236,0.230321913310933,0,0,8.35479797979798,30.3546359095748,"SLC4A10;GFAP"
"Inh L5-6 SST PIK3CD - Brain","2/102",0.026917726401911,0.230321913310933,0,0,8.27083333333333,29.898816321571,"LRRN3;MPPED2"
"Endothelial cells - Small Intestine","2/102",0.026917726401911,0.230321913310933,0,0,8.27083333333333,29.898816321571,"GPT2;CD248"
"endoethlial - Small Intestine","2/102",0.026917726401911,0.230321913310933,0,0,8.27083333333333,29.898816321571,"GPT2;CD248"
"Effector Memory CD8-positive, Alpha-Beta T Cell, Terminally differentiated - Blood","2/102",0.026917726401911,0.230321913310933,0,0,8.27083333333333,29.898816321571,"ZNF683;FGFBP2"
"Mature CD8 T cell - Blood","2/102",0.026917726401911,0.230321913310933,0,0,8.27083333333333,29.898816321571,"ZNF683;FGFBP2"
"Mature Natural Killer cell - Blood","2/102",0.026917726401911,0.230321913310933,0,0,8.27083333333333,29.898816321571,"ZNF683;FGFBP2"
"Inh L1-2 SST CCNJL - Brain","2/103",0.0274075630593293,0.230321913310933,0,0,8.18853135313531,29.4536255008379,"B3GAT1;SLC4A10"
"CD16-negative, CD56-bright Natural Killer cell - Blood","2/103",0.0274075630593293,0.230321913310933,0,0,8.18853135313531,29.4536255008379,"ZNF683;FGFBP2"
"Inh L1-2 VIP PTGER3 - Brain","2/103",0.0274075630593293,0.230321913310933,0,0,8.18853135313531,29.4536255008379,"B3GAT1;CACHD1"
"Inh L1-3 VIP FNDC1 - Brain","2/103",0.0274075630593293,0.230321913310933,0,0,8.18853135313531,29.4536255008379,"MPPED2;B3GAT1"
"Exc L3-5 RORB LAMA4 - Brain","2/105",0.0283980432384044,0.230321913310933,0,0,8.0287216828479,28.5937706975534,"MPPED2;B3GAT1"
"CD8 T Cell memory - Blood","2/105",0.0283980432384044,0.230321913310933,0,0,8.0287216828479,28.5937706975534,"ZNF683;FGFBP2"
"Hematopoietic Stem cell - Bone Marrow","2/106",0.0288986461861609,0.230321913310933,0,0,7.95112179487179,28.1784618081057,"BEX1;CACHD1"
"CD4-positive, Alpha-Beta Cytotoxic T cell - Thoracic Thymus","2/107",0.029402797443949,0.230321913310933,0,0,7.875,27.7724904818237,"ZNF683;FGFBP2"
"Periepithelial fibroblast - Prostate Gland","1/100",0.221926911560385,0.240630709334688,0,0,4.09214594928881,6.16034588762116,"CD248"
"Interstitial fibroblast - Prostate Gland","1/100",0.221926911560385,0.240630709334688,0,0,4.09214594928881,6.16034588762116,"CD248"
"fibroblast - Small Intestine","1/100",0.221926911560385,0.240630709334688,0,0,4.09214594928881,6.16034588762116,"CD248"
"fibroblasts - Small Intestine","1/100",0.221926911560385,0.240630709334688,0,0,4.09214594928881,6.16034588762116,"CD248"
"Matrix Fibroblast 1/(Lipofibroblast) - Respiratory System","1/100",0.221926911560385,0.240630709334688,0,0,4.09214594928881,6.16034588762116,"CD248"
"T cell - Respiratory System","1/100",0.221926911560385,0.240630709334688,0,0,4.09214594928881,6.16034588762116,"ZNF683"
"Endocrine-Paracrine Cell Of Prostate gland - Prostate Gland","1/101",0.223881866241205,0.240630709334688,0,0,4.05102040816327,6.06290601418737,"B3GAT1"
"Endocrine Lineage cell - Small Intestine","1/101",0.223881866241205,0.240630709334688,0,0,4.05102040816327,6.06290601418737,"CD248"
"macrophage - Small Intestine","1/101",0.223881866241205,0.240630709334688,0,0,4.05102040816327,6.06290601418737,"DEFA1"
"endocrine - Small Intestine","1/101",0.223881866241205,0.240630709334688,0,0,4.05102040816327,6.06290601418737,"CD248"
"macrophages - Small Intestine","1/101",0.223881866241205,0.240630709334688,0,0,4.05102040816327,6.06290601418737,"DEFA1"
"Splenic White Pulp macrophage - Spleen","1/101",0.223881866241205,0.240630709334688,0,0,4.05102040816327,6.06290601418737,"TMEM37"
"Splenic Marginal Zone macrophage - Spleen","1/101",0.223881866241205,0.240630709334688,0,0,4.05102040816327,6.06290601418737,"TMEM37"
"Activated Stellate cell - Pancreas","1/101",0.223881866241205,0.240630709334688,0,0,4.05102040816327,6.06290601418737,"CD248"
"Quiescent Stellate cell - Pancreas","1/101",0.223881866241205,0.240630709334688,0,0,4.05102040816327,6.06290601418737,"CD248"
"Retinal Pigment Epithelial cell - Eye","1/101",0.223881866241205,0.240630709334688,0,0,4.05102040816327,6.06290601418737,"GFAP"
"Kidney Collecting Duct Epithelial cell - Kidney","1/101",0.223881866241205,0.240630709334688,0,0,4.05102040816327,6.06290601418737,"MPPED2"
"CD16-negative, CD56-bright Natural Killer cell - Respiratory System","1/101",0.223881866241205,0.240630709334688,0,0,4.05102040816327,6.06290601418737,"ZNF683"
"T cell - Kidney","1/101",0.223881866241205,0.240630709334688,0,0,4.05102040816327,6.06290601418737,"ZNF683"
"Melanocyte Of skin - Skin","1/101",0.223881866241205,0.240630709334688,0,0,4.05102040816327,6.06290601418737,"FGFBP2"
"myelocyte - Bone Marrow","1/101",0.223881866241205,0.240630709334688,0,0,4.05102040816327,6.06290601418737,"DEFA1"
"Inh L1-5 VIP PHLDB3 - Brain","1/102",0.225832006978328,0.240630709334688,0,0,4.01070923418872,5.96779050603106,"CACHD1"
"Paneth Cell Of Epithelium Proper Of Small intestine - Small Intestine","1/102",0.225832006978328,0.240630709334688,0,0,4.01070923418872,5.96779050603106,"TMEM37"
"Duodenal Goblet cell - Small Intestine","1/102",0.225832006978328,0.240630709334688,0,0,4.01070923418872,5.96779050603106,"TMEM37"
"absorptive - Small Intestine","1/102",0.225832006978328,0.240630709334688,0,0,4.01070923418872,5.96779050603106,"TMEM37"
"Inh L5-6 SST ISX - Brain","1/102",0.225832006978328,0.240630709334688,0,0,4.01070923418872,5.96779050603106,"SLC4A10"
"Paneth - Small Intestine","1/102",0.225832006978328,0.240630709334688,0,0,4.01070923418872,5.96779050603106,"TMEM37"
"Jejunal Goblet cell - Small Intestine","1/102",0.225832006978328,0.240630709334688,0,0,4.01070923418872,5.96779050603106,"TMEM37"
"Inh L3 PVALB SAMD13 - Brain","1/102",0.225832006978328,0.240630709334688,0,0,4.01070923418872,5.96779050603106,"CACHD1"
"goblet - Small Intestine","1/102",0.225832006978328,0.240630709334688,0,0,4.01070923418872,5.96779050603106,"TMEM37"
"Exc L2 LINC00507 ATP7B - Brain","1/102",0.225832006978328,0.240630709334688,0,0,4.01070923418872,5.96779050603106,"SLC4A10"
"Portal fibroblast - Liver","1/102",0.225832006978328,0.240630709334688,0,0,4.01070923418872,5.96779050603106,"CD248"
"Exc L3 RORB OTOGL - Brain","1/102",0.225832006978328,0.240630709334688,0,0,4.01070923418872,5.96779050603106,"LRRN3"
"Exc L5-6 THEMIS SMYD1 (L6 IT Car3) - Brain","1/102",0.225832006978328,0.240630709334688,0,0,4.01070923418872,5.96779050603106,"SLC4A10"
"osteocyte - Knee","1/102",0.225832006978328,0.240630709334688,0,0,4.01070923418872,5.96779050603106,"CD248"
