"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Leukemia promyelocytic-HL-60","1/62",0.143953936469556,0.853194141451842,0,0,6.65406490465038,12.8973205926637,"POLR3G"
"TestisSeminiferousTubule","1/69",0.158870948881139,0.853194141451842,0,0,5.96698679471789,10.9772451176002,"PIK3R3"
"Spinalcord","1/105",0.231653661546854,0.853194141451842,0,0,3.89442700156986,5.69564568108454,"GFAP"
"Cerebellum","1/108",0.237432406982674,0.853194141451842,0,0,3.78466526797635,5.44186534675464,"PIK3R3"
"Adipocyte","1/181",0.365627787236742,0.853194141451842,0,0,2.24149659863946,2.25525812761591,"CD248"
"TestisIntersitial","2/568",0.417293970555454,0.853194141451842,0,0,1.42697290930506,1.24712343715536,"ZNF683;PIK3R3"
"small intestine","1/220",0.425197438825499,0.853194141451842,0,0,1.83869164103998,1.57245213627394,"SLC25A20"
"Prostate","1/249",0.465904044572037,0.853194141451842,0,0,1.62129690585912,1.23830698299537,"MPPED2"
"CardiacMyocytes","1/273",0.497444185998806,0.853194141451842,0,0,1.47644057623049,1.03095699242274,"POLR3G"
"TestisGermCell","1/314",0.547154598671814,0.853194141451842,0,0,1.28036773814957,0.772092329453907,"ZNF683"
"Fetalbrain","1/325",0.559650129228813,0.853194141451842,0,0,1.23620559334845,0.717547451549197,"LRRN3"
"Thyroid","1/388",0.624968059018707,0.853194141451842,0,0,1.03164056320202,0.48492753270841,"MPPED2"
"Heart","1/415",0.649961777555595,0.853194141451842,0,0,0.963028689736764,0.414912938619128,"VMO1"
"CD8+ Tcells","1/602",0.783467444255716,0.853194141451842,0,0,0.657034194709498,0.160333275105013,"LRRN3"
"SuperiorCervicalGanglion","1/602",0.783467444255716,0.853194141451842,0,0,0.657034194709498,0.160333275105013,"ADAMTS6"
"Liver","1/618",0.792230227466449,0.853194141451842,0,0,0.639466807792809,0.148933890233794,"SLC25A20"
"pineal night","1/674",0.820248508893314,0.853194141451842,0,0,0.584558935015314,0.115829140020005,"BEX1"
"pineal day","1/694",0.829328708549526,0.853194141451842,0,0,0.567099567099567,0.106126270264951,"BEX1"
"CD56+ NKCells","1/752",0.853194141451842,0.853194141451842,0,0,0.521726133862333,0.0828334977585744,"SLC25A20"
