"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Chorioretinal atrophy (HP:0000533)","1/11",0.0271653448579924,0.144383325916699,0,0,40.6938775510204,146.734521000359,"FSCN2"
"Atrioventricular block (HP:0001678)","1/12",0.0295987615689071,0.144383325916699,0,0,36.9925788497217,130.214719406514,"SLC25A20"
"Ventricular tachycardia (HP:0004756)","1/16",0.0392729207344652,0.144383325916699,0,0,27.1224489795918,87.8013353011642,"SLC25A20"
"Increased CSF protein (HP:0002922)","1/17",0.0416766547912335,0.144383325916699,0,0,25.4260204081633,80.799167280865,"GFAP"
"Rhabdomyolysis (HP:0003201)","1/17",0.0416766547912335,0.144383325916699,0,0,25.4260204081633,80.799167280865,"SLC25A20"
"Heart block (HP:0012722)","1/18",0.0440744949316927,0.144383325916699,0,0,23.9291716686675,74.7038591145848,"SLC25A20"
"Bony spicule pigmentary retinopathy (HP:0007737)","1/19",0.0464664552952436,0.144383325916699,0,0,22.5986394557823,69.3557808280063,"FSCN2"
"Abnormal atrioventricular conduction (HP:0005150)","1/19",0.0464664552952436,0.144383325916699,0,0,22.5986394557823,69.3557808280063,"SLC25A20"
"Bradycardia (HP:0001662)","1/20",0.0488525499820278,0.144383325916699,0,0,21.4081632653061,64.6301466936404,"SLC25A20"
"Progressive macrocephaly (HP:0004481)","1/21",0.0512327930672156,0.144383325916699,0,0,20.3367346938776,60.4280744540867,"GFAP"
"Attenuation of retinal blood vessels (HP:0007843)","1/21",0.0512327930672156,0.144383325916699,0,0,20.3367346938776,60.4280744540867,"FSCN2"
"Abnormality of dicarboxylic acid metabolism (HP:0010995)","1/31",0.0747164600026276,0.167097211325221,0,0,13.5510204081633,35.1520903887112,"SLC25A20"
"Dicarboxylic aciduria (HP:0003215)","1/31",0.0747164600026276,0.167097211325221,0,0,13.5510204081633,35.1520903887112,"SLC25A20"
"Hyperammonemia (HP:0001987)","1/34",0.0816498044624026,0.167097211325221,0,0,12.317254174397,30.8586121657323,"SLC25A20"
"Hypotension (HP:0002615)","1/34",0.0816498044624026,0.167097211325221,0,0,12.317254174397,30.8586121657323,"SLC25A20"
"Ventricular arrhythmia (HP:0004308)","1/36",0.0862437219743076,0.167097211325221,0,0,11.6122448979592,28.4567120450411,"SLC25A20"
"CNS demyelination (HP:0007305)","1/39",0.0930924017046572,0.169756732520257,0,0,10.6938775510204,25.3890053323137,"GFAP"
"Irritability (HP:0000737)","1/50",0.117776526004041,0.202837350340293,0,0,8.28862973760933,17.7290996615035,"SLC25A20"
"Retinitis pigmentosa (HP:0000510)","1/81",0.183852475499192,0.284971337023748,0,0,5.06887755102041,8.58476054135848,"FSCN2"
"Lethargy (HP:0001254)","1/81",0.183852475499192,0.284971337023748,0,0,5.06887755102041,8.58476054135848,"SLC25A20"
"Elevated hepatic transaminases (HP:0002910)","1/112",0.2450711886959,0.345327584071495,0,0,3.64754550468836,5.1292023601924,"SLC25A20"
"Type II diabetes mellitus (HP:0005978)","1/112",0.2450711886959,0.345327584071495,0,0,3.64754550468836,5.1292023601924,"FSCN2"
"Photophobia (HP:0000613)","1/147",0.308789408252086,0.407813969421564,0,0,2.76824154319262,3.25294890316625,"FSCN2"
"Developmental regression (HP:0002376)","1/151",0.315726944068307,0.407813969421564,0,0,2.69387755102041,3.10571092406925,"GFAP"
"Hydrocephalus (HP:0000238)","1/191",0.381454981917513,0.473004177577717,0,0,2.12244897959184,2.04553660322505,"GFAP"
"Wide nasal bridge (HP:0000431)","1/217",0.420816794239308,0.501743100823791,0,0,1.86451247165533,1.61384314167217,"FSCN2"
"Infantile onset (HP:0003593)","1/254",0.472630932471944,0.542650329875195,0,0,1.58885214164717,1.19075008733485,"GFAP"
"Autosomal dominant inheritance (HP:0000006)","3/1134",0.544842043248078,0.603013773307488,0,0,1.06208025283594,0.644958169539684,"TMC1;FSCN2;GFAP"
"Hepatomegaly (HP:0002240)","1/329",0.564109658900554,0.603013773307488,0,0,1.22088103534097,0.698962469725785,"SLC25A20"
"Optic atrophy (HP:0000648)","1/374",0.611328151501036,0.63170575655107,0,0,1.07112764676916,0.527124827626644,"FSCN2"
"Autosomal recessive inheritance (HP:0000007)","2/1722",0.936892758177076,0.936892758177076,0,0,0.441618217054264,0.0287875263038577,"TMC1;SLC25A20"
