"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Rab-GTPase-TBC domain","2/54",0.00806767008426316,0.0865408208604032,0,0,15.9439102564103,76.8479024006269,"TBC1D3K;TBC1D3G"
"VWA N-terminal","1/5",0.0124387771927725,0.0865408208604032,0,0,101.765306122449,446.437935140061,"CACHD1"
"Potassium channel, voltage dependent, KCNQ, C-terminal","1/5",0.0124387771927725,0.0865408208604032,0,0,101.765306122449,446.437935140061,"KCNQ5"
"Defensin propeptide","1/6",0.0149082847993736,0.0865408208604032,0,0,81.4081632653061,342.389562344484,"DEFA1"
"Alpha-defensin","1/6",0.0149082847993736,0.0865408208604032,0,0,81.4081632653061,342.389562344484,"DEFA1"
"Intermediate filament head, DNA-binding domain","1/7",0.017371741450284,0.0865408208604032,0,0,67.8367346938775,274.936210768444,"GFAP"
"TMC domain","1/8",0.0198291614511851,0.0865408208604032,0,0,58.1428571428571,227.954980151296,"TMC1"
"Beta/alpha defensin","1/8",0.0198291614511851,0.0865408208604032,0,0,58.1428571428571,227.954980151296,"DEFA1"
"Band 3 cytoplasmic domain","1/9",0.0222805591236868,0.0865408208604032,0,0,50.8724489795918,193.520869933163,"SLC4A10"
"Bicarbonate transporter, C-terminal","1/10",0.0247259488172581,0.0865408208604032,0,0,45.2176870748299,167.301012082339,"SLC4A10"
"Aminotransferase, class I/classII","1/17",0.0416766547912335,0.118662101739173,0,0,25.4260204081633,80.799167280865,"GPT2"
"GRAM domain","1/18",0.0440744949316927,0.118662101739173,0,0,23.9291716686675,74.7038591145848,"GRAMD4"
"PLAC","1/18",0.0440744949316927,0.118662101739173,0,0,23.9291716686675,74.7038591145848,"ADAMTS6"
"ADAM-TS Spacer 1","1/23",0.0559757805878795,0.139939451469699,0,0,18.4860853432282,53.2923554931915,"ADAMTS6"
"Calcineurin-like phosphoesterase domain, ApaH type","1/28",0.0677318256109869,0.158040926425636,0,0,15.0589569160998,40.5417104352724,"MPPED2"
"Peptidase M12B, ADAM/reprolysin","1/40",0.0953640965755272,0.196337845890791,0,0,10.4191522762951,24.4855612889518,"ADAMTS6"
"Peptidase M12B, propeptide","1/40",0.0953640965755272,0.196337845890791,0,0,10.4191522762951,24.4855612889518,"ADAMTS6"
"Leucine-rich repeat N-terminal domain","1/54",0.126588324068776,0.246143963467065,0,0,7.66153253754332,15.8349703751844,"LRRN3"
"BTB/Kelch-associated","1/60",0.139644523053441,0.257239910887917,0,0,6.88031822898651,13.544974303559,"KLHL4"
"Intermediate filament, rod domain","1/74",0.169369691826634,0.292678634853117,0,0,5.55689124965054,9.86721301833061,"GFAP"
"von Willebrand factor, type A","1/77",0.17560718091187,0.292678634853117,0,0,5.33673469387755,9.28328044629381,"CACHD1"
"Cysteine-rich flanking region, C-terminal","1/83",0.187944761535793,0.295286649996493,0,0,4.94474863115978,8.26567731981137,"LRRN3"
"C-type lectin-like","1/86",0.194045512854838,0.295286649996493,0,0,4.76950780312125,7.82038330328814,"CD248"
"Ion transport domain","1/106",0.23358466235033,0.335088843235805,0,0,3.85714285714286,5.60909836773195,"KCNQ5"
"SH2 domain","1/109",0.239349173739861,0.335088843235805,0,0,3.74943310657596,5.36105874493243,"PIK3R3"
"EGF-like calcium-binding domain","1/124",0.267540390273413,0.360150525368057,0,0,3.28969636635142,4.33741443316037,"CD248"
"Immunoglobulin I-set","1/134",0.285762982719773,0.370433496118224,0,0,3.04081632653061,3.80890385676326,"LRRN3"
"PDZ domain","1/152",0.317450637880715,0.396813297350894,0,0,2.67590214893905,3.07041828055456,"SNTG2"
"BTB/POZ domain","1/178",0.360802714392248,0.435451551852713,0,0,2.2798339674853,2.32411738851616,"KLHL4"
"Fibronectin type III","1/205",0.40296468626852,0.470125467313274,0,0,1.97539015606242,1.79544465262223,"LRRN3"
"EGF-like domain","1/229",0.438145462697151,0.494680361109687,0,0,1.76530612244898,1.45673823329454,"CD248"
"Immunoglobulin subtype 2","1/242",0.456344937328863,0.499127275203444,0,0,1.66898128546024,1.30932635624915,"LRRN3"
"Immunoglobulin subtype","1/460",0.688037650255285,0.729736901785908,0,0,0.866613311991463,0.324036872621179,"LRRN3"
"Immunoglobulin-like domain","1/689",0.827101721754909,0.851428242982994,0,0,0.571369245372568,0.108461647197505,"LRRN3"
"Zinc finger C2H2-type","1/797",0.869427196089623,0.869427196089623,0,0,0.491077838170444,0.0687119447895451,"ZNF683"
