"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Stereocilium","2/37",0.00385763159243922,0.61502166090439,0,0,23.7083333333333,131.763848285721,"TMC1;FSCN2"
"Stereocilium bundle","2/44",0.005418765891609,0.61502166090439,0,0,19.75,103.053271898461,"TMC1;FSCN2"
"GTPase activator complex","2/59",0.00957001078795581,0.61502166090439,0,0,14.5416666666667,67.6059670933825,"CD248;GRAMD4"
"Astrocyte end-foot","1/6",0.0149082847993736,0.61502166090439,0,0,81.4081632653061,342.389562344484,"GFAP"
"Stereocilium tip","1/7",0.017371741450284,0.61502166090439,0,0,67.8367346938775,274.936210768444,"TMC1"
"Outer dense fiber","1/7",0.017371741450284,0.61502166090439,0,0,67.8367346938775,274.936210768444,"ODF3"
"MPF complex","1/9",0.0222805591236868,0.61502166090439,0,0,50.8724489795918,193.520869933163,"CD248"
"chaperone-mediated autophagy translocation complex","1/10",0.0247259488172581,0.61502166090439,0,0,45.2176870748299,167.301012082339,"GFAP"
"Bfa1-Bub2 complex","1/11",0.0271653448579924,0.61502166090439,0,0,40.6938775510204,146.734521000359,"CD248"
"Cul7-RING ubiquitin ligase complex","1/11",0.0271653448579924,0.61502166090439,0,0,40.6938775510204,146.734521000359,"GFAP"
"Spine apparatus","2/107",0.029402797443949,0.61502166090439,0,0,7.875,27.7724904818237,"TMC1;GPT2"
"Apical dendrite","1/12",0.0295987615689071,0.61502166090439,0,0,36.9925788497217,130.214719406514,"SLC4A10"
"Thioglucosidase complex","1/14",0.0344477141698712,0.61502166090439,0,0,31.298273155416,105.422368949113,"GFAP"
"Glial cell projection","1/14",0.0344477141698712,0.61502166090439,0,0,31.298273155416,105.422368949113,"GFAP"
"Type IV pilus","2/120",0.0362706169091182,0.61502166090439,0,0,7.00282485875706,23.2266005619385,"CD248;FSCN2"
"Azurophil granule","1/15",0.0368632785936063,0.61502166090439,0,0,29.0612244897959,95.9177159613371,"DEFA1"
"Primary lysosome","1/15",0.0368632785936063,0.61502166090439,0,0,29.0612244897959,95.9177159613371,"DEFA1"
"DNA-directed RNA polymerase III complex","1/17",0.0416766547912335,0.61502166090439,0,0,25.4260204081633,80.799167280865,"POLR3G"
"GO:0000805","3/312",0.0430357081323282,0.61502166090439,0,0,4.05721958273084,12.7628974216826,"TMC1;BEX1;F8A2"
"Cluster of actin-based cell projections","2/134",0.0442844516217813,0.61502166090439,0,0,6.25568181818182,19.4997211854931,"TMC1;FSCN2"
"Phosphatidylinositol 3-kinase complex","1/19",0.0464664552952436,0.61502166090439,0,0,22.5986394557823,69.3557808280063,"PIK3R3"
"Glycoprotein complex","1/20",0.0488525499820278,0.61502166090439,0,0,21.4081632653061,64.6301466936404,"SNTG2"
"dystrophin-associated glycoprotein complex","1/20",0.0488525499820278,0.61502166090439,0,0,21.4081632653061,64.6301466936404,"SNTG2"
"Myosin VII complex","1/20",0.0488525499820278,0.61502166090439,0,0,21.4081632653061,64.6301466936404,"GFAP"
"GMP reductase complex","1/22",0.0536071985992548,0.61502166090439,0,0,19.3673469387755,56.6702499978695,"TMEM37"
