"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Neurilemmoma","2/16",0.000718739230489298,0.0459993107513151,0,0,59.3333333333333,429.455375678167,"B3GAT1;GFAP"
"Multiple carboxylase deficiency","1/5",0.0124387771927725,0.0891164194748189,0,0,101.765306122449,446.437935140061,"SLC25A20"
"Osteosarcoma","1/5",0.0124387771927725,0.0891164194748189,0,0,101.765306122449,446.437935140061,"ADAMTS6"
"West Nile fever","1/5",0.0124387771927725,0.0891164194748189,0,0,101.765306122449,446.437935140061,"DEFA1"
"Felty's syndrome","1/6",0.0149082847993736,0.0891164194748189,0,0,81.4081632653061,342.389562344484,"B3GAT1"
"Anterior ischemic optic neuropathy","1/6",0.0149082847993736,0.0891164194748189,0,0,81.4081632653061,342.389562344484,"BEX1"
"Huntington's disease","2/76",0.0155171628224907,0.0891164194748189,0,0,11.1914414414414,46.6214028774471,"F8A2;GFAP"
"multidrug-resistant tuberculosis","1/8",0.0198291614511851,0.0891164194748189,0,0,58.1428571428571,227.954980151296,"FGFBP2"
"Duodenogastric reflux","1/8",0.0198291614511851,0.0891164194748189,0,0,58.1428571428571,227.954980151296,"FSCN2"
"Metanephric adenoma","1/8",0.0198291614511851,0.0891164194748189,0,0,58.1428571428571,227.954980151296,"B3GAT1"
"Erythema multiforme","1/8",0.0198291614511851,0.0891164194748189,0,0,58.1428571428571,227.954980151296,"POLR3G"
"Choroid plexus papilloma","1/8",0.0198291614511851,0.0891164194748189,0,0,58.1428571428571,227.954980151296,"GFAP"
"Ehrlichiosis","1/9",0.0222805591236868,0.0891164194748189,0,0,50.8724489795918,193.520869933163,"FSCN2"
"Gastroschisis","1/9",0.0222805591236868,0.0891164194748189,0,0,50.8724489795918,193.520869933163,"TMEM37"
"IgA glomerulonephritis","1/9",0.0222805591236868,0.0891164194748189,0,0,50.8724489795918,193.520869933163,"DEFA1"
"Subependymal giant cell astrocytoma","1/9",0.0222805591236868,0.0891164194748189,0,0,50.8724489795918,193.520869933163,"GFAP"
"WAGR syndrome","1/11",0.0271653448579924,0.0891164194748189,0,0,40.6938775510204,146.734521000359,"MPPED2"
"Myoepithelioma","1/11",0.0271653448579924,0.0891164194748189,0,0,40.6938775510204,146.734521000359,"GFAP"
"Carnitine palmitoyltransferase II deficiency","1/12",0.0295987615689071,0.0891164194748189,0,0,36.9925788497217,130.214719406514,"SLC25A20"
"Endometriosis","1/13",0.032026213248763,0.0891164194748189,0,0,33.9081632653061,116.684789992962,"DEFA1"
"Basal cell carcinoma","1/13",0.032026213248763,0.0891164194748189,0,0,33.9081632653061,116.684789992962,"ODF3"
"Weill-Marchesani syndrome","1/13",0.032026213248763,0.0891164194748189,0,0,33.9081632653061,116.684789992962,"ADAMTS6"
"Systemic primary carnitine deficiency disease","1/13",0.032026213248763,0.0891164194748189,0,0,33.9081632653061,116.684789992962,"SLC25A20"
"Hypermobility syndrome","1/15",0.0368632785936063,0.0907403780765694,0,0,29.0612244897959,95.9177159613371,"KCNQ5"
"Cutaneous fibrous histiocytoma","1/15",0.0368632785936063,0.0907403780765694,0,0,29.0612244897959,95.9177159613371,"B3GAT1"
"Shigellosis","1/15",0.0368632785936063,0.0907403780765694,0,0,29.0612244897959,95.9177159613371,"CD248"
