"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Outer hair cell","2/37",0.00385763159243922,0.217322758863939,0,0,23.7083333333333,131.763848285721,"TMC1;KCNQ5"
"Rosette","2/44",0.005418765891609,0.217322758863939,0,0,19.75,103.053271898461,"B3GAT1;GFAP"
"ae3","2/54",0.00806767008426316,0.217322758863939,0,0,15.9439102564103,76.8479024006269,"B3GAT1;GFAP"
"Spindle cell","2/66",0.0118650634107129,0.217322758863939,0,0,12.9466145833333,57.4073222604629,"B3GAT1;GFAP"
"Neuroendocrine tumor cell","1/5",0.0124387771927725,0.217322758863939,0,0,101.765306122449,446.437935140061,"BEX1"
"SK-N-BE(2) cell","1/5",0.0124387771927725,0.217322758863939,0,0,101.765306122449,446.437935140061,"LRRN3"
"Idioblast","1/6",0.0149082847993736,0.217322758863939,0,0,81.4081632653061,342.389562344484,"TMEM37"
"NHDF cell","1/6",0.0149082847993736,0.217322758863939,0,0,81.4081632653061,342.389562344484,"GPT2"
"CAL-27 cell","1/6",0.0149082847993736,0.217322758863939,0,0,81.4081632653061,342.389562344484,"MPPED2"
"SK-N-AS cell","1/7",0.017371741450284,0.217322758863939,0,0,67.8367346938775,274.936210768444,"CD248"
"Mucoepidermoid carcinoma cell","1/8",0.0198291614511851,0.217322758863939,0,0,58.1428571428571,227.954980151296,"FGFBP2"
"Hair cell","2/91",0.0217736102157897,0.217322758863939,0,0,9.29822097378277,35.5848177883064,"TMC1;FSCN2"
"Juxtaglomerular cell","1/9",0.0222805591236868,0.217322758863939,0,0,50.8724489795918,193.520869933163,"GFAP"
"Embryonic carcinoma cell line","1/9",0.0222805591236868,0.217322758863939,0,0,50.8724489795918,193.520869933163,"GRAMD4"
"Olfactory receptor neuron","1/9",0.0222805591236868,0.217322758863939,0,0,50.8724489795918,193.520869933163,"BEX1"
"okt8","1/10",0.0247259488172581,0.217322758863939,0,0,45.2176870748299,167.301012082339,"B3GAT1"
"Nerve sheath","1/10",0.0247259488172581,0.217322758863939,0,0,45.2176870748299,167.301012082339,"B3GAT1"
"Choroid plexus","1/11",0.0271653448579924,0.217322758863939,0,0,40.6938775510204,146.734521000359,"SLC4A10"
"Teratocyte","1/11",0.0271653448579924,0.217322758863939,0,0,40.6938775510204,146.734521000359,"DEFA1"
"Vitelline membrane","1/11",0.0271653448579924,0.217322758863939,0,0,40.6938775510204,146.734521000359,"VMO1"
"Sporocyst","1/11",0.0271653448579924,0.217322758863939,0,0,40.6938775510204,146.734521000359,"TMEM37"
"Stellate cell","1/12",0.0295987615689071,0.2260269065262,0,0,36.9925788497217,130.214719406514,"GFAP"
"Mandible","1/14",0.0344477141698712,0.229371511249106,0,0,31.298273155416,105.422368949113,"KLHL4"
"Posterior midgut","1/15",0.0368632785936063,0.229371511249106,0,0,29.0612244897959,95.9177159613371,"TMC1"
"Cranial nerve","1/15",0.0368632785936063,0.229371511249106,0,0,29.0612244897959,95.9177159613371,"GFAP"
"cc1","1/15",0.0368632785936063,0.229371511249106,0,0,29.0612244897959,95.9177159613371,"TMC1"
"Spinal nerve","1/15",0.0368632785936063,0.229371511249106,0,0,29.0612244897959,95.9177159613371,"GFAP"
"Egg white","1/17",0.0416766547912335,0.250059928747401,0,0,25.4260204081633,80.799167280865,"VMO1"
"A7r5 cell","1/19",0.0464664552952436,0.269184982400032,0,0,22.5986394557823,69.3557808280063,"KCNQ5"
"Fascicle","1/21",0.0512327930672156,0.286903641176407,0,0,20.3367346938776,60.4280744540867,"GFAP"
"Megagametophyte","1/22",0.0536071985992548,0.290516431118542,0,0,19.3673469387755,56.6702499978695,"GPT2"
"Vestibular hair cell","1/27",0.0653921522588676,0.318136418504084,0,0,15.6389324960754,42.6528898315632,"TMC1"
"Neuron","1/27",0.0653921522588676,0.318136418504084,0,0,15.6389324960754,42.6528898315632,"SNTG2"
"Syncytium","1/28",0.0677318256109869,0.318136418504084,0,0,15.0589569160998,40.5417104352724,"SNTG2"
"ae2","1/28",0.0677318256109869,0.318136418504084,0,0,15.0589569160998,40.5417104352724,"SLC4A10"
"ACT-1 cell","1/29",0.0700657588372089,0.318136418504084,0,0,14.5204081632653,38.5999069065122,"CD248"
