"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"CDK3","1/13",0.032026213248763,0.279831951204313,0,0,33.9081632653061,116.684789992962,"SLC4A10"
"ROCK2","1/24",0.05833855301301,0.279831951204313,0,0,17.681455190772,50.2417155506286,"GFAP"
"CAMK2B","1/26",0.0630467249540435,0.279831951204313,0,0,16.265306122449,44.9553406480956,"GFAP"
"CAMK2D","1/31",0.0747164600026276,0.279831951204313,0,0,13.5510204081633,35.1520903887112,"GFAP"
"CAMK2G","1/32",0.0770332554327669,0.279831951204313,0,0,13.1132323897301,33.6160080774025,"GFAP"
"ROCK1","1/35",0.0839495853612938,0.279831951204313,0,0,11.9543817527011,29.6174450357809,"GFAP"
"SGK1","1/68",0.156755649080656,0.411615227460046,0,0,6.05635089856838,11.2228243619718,"GFAP"
"AURKB","1/77",0.17560718091187,0.411615227460046,0,0,5.33673469387755,9.28328044629381,"GFAP"
"CAMK2A","1/90",0.202110023192397,0.411615227460046,0,0,4.55423068103646,7.28195554376981,"GFAP"
"MAPK10","1/105",0.231653661546854,0.411615227460046,0,0,3.89442700156986,5.69564568108454,"GFAP"
"PRKG1","1/106",0.23358466235033,0.411615227460046,0,0,3.85714285714286,5.60909836773195,"GFAP"
"INSR","1/113",0.246969136476027,0.411615227460046,0,0,3.61479591836735,5.05526282536401,"PIK3R3"
"PRKACG","1/176",0.357566037357018,0.520033441622204,0,0,2.30612244897959,2.37169753438861,"GFAP"
"PRKDC","1/180",0.364023409135543,0.520033441622204,0,0,2.25413293809144,2.27788496813712,"GFAP"
"PRKCB","1/250",0.467256114895877,0.623008153194502,0,0,1.61470371281043,1.22859212104529,"GFAP"
"PRKACA","1/393",0.629724855125968,0.73732185869132,0,0,1.01822157434402,0.470899266156558,"GFAP"
"MAPK14","1/396",0.632550498109552,0.73732185869132,0,0,1.01033324722294,0.462727800521696,"SLC4A10"
"PRKCA","1/442",0.673320923777135,0.73732185869132,0,0,0.902818270165209,0.35709460615084,"GFAP"
"CDK1","1/494",0.714084404748727,0.73732185869132,0,0,0.805439417146169,0.271235033834702,"GFAP"
"GSK3B","1/527",0.73732185869132,0.73732185869132,0,0,0.753627686816171,0.229653543399674,"SLC4A10"
