"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Cholinergic synapse Homo sapiens hsa04725","2/111",0.0314544847807964,0.387037674275021,0,0,7.58448012232416,26.2363375894409,"PIK3R3;KCNQ5"
"2-Oxocarboxylic acid metabolism Homo sapiens hsa01210","1/17",0.0416766547912335,0.387037674275021,0,0,25.4260204081633,80.799167280865,"GPT2"
"Arginine biosynthesis Homo sapiens hsa00220","1/20",0.0488525499820278,0.387037674275021,0,0,21.4081632653061,64.6301466936404,"GPT2"
"Jak-STAT signaling pathway Homo sapiens hsa04630","2/158",0.0593699722530508,0.387037674275021,0,0,5.28685897435897,14.9299136809085,"PIK3R3;GFAP"
"Other types of O-glycan biosynthesis Homo sapiens hsa00514","1/31",0.0747164600026276,0.387037674275021,0,0,13.5510204081633,35.1520903887112,"B3GAT1"
"RNA polymerase Homo sapiens hsa03020","1/32",0.0770332554327669,0.387037674275021,0,0,13.1132323897301,33.6160080774025,"POLR3G"
"Alanine, aspartate and glutamate metabolism Homo sapiens hsa00250","1/35",0.0839495853612938,0.387037674275021,0,0,11.9543817527011,29.6174450357809,"GPT2"
"Epstein-Barr virus infection Homo sapiens hsa05169","2/202",0.0907585666054428,0.387037674275021,0,0,4.11458333333333,9.87315836367001,"PIK3R3;POLR3G"
"Aldosterone-regulated sodium reabsorption Homo sapiens hsa04960","1/39",0.0930924017046572,0.387037674275021,0,0,10.6938775510204,25.3890053323137,"PIK3R3"
"Carbohydrate digestion and absorption Homo sapiens hsa04973","1/45",0.106639187352935,0.387037674275021,0,0,9.23283858998145,20.665901611884,"PIK3R3"
"Type II diabetes mellitus Homo sapiens hsa04930","1/48",0.113338014836913,0.387037674275021,0,0,8.64220581849761,18.8173716664144,"PIK3R3"
"Endometrial cancer Homo sapiens hsa05213","1/52",0.122193260870786,0.387037674275021,0,0,7.96278511404562,16.7389797330337,"PIK3R3"
"Regulation of lipolysis in adipocytes Homo sapiens hsa04923","1/56",0.130961819814475,0.387037674275021,0,0,7.3821892393321,15.0068793354093,"PIK3R3"
"Non-small cell lung cancer Homo sapiens hsa05223","1/56",0.130961819814475,0.387037674275021,0,0,7.3821892393321,15.0068793354093,"PIK3R3"
"Acute myeloid leukemia Homo sapiens hsa05221","1/57",0.133140512285209,0.387037674275021,0,0,7.25,14.6185391319657,"PIK3R3"
"mTOR signaling pathway Homo sapiens hsa04150","1/60",0.139644523053441,0.387037674275021,0,0,6.88031822898651,13.544974303559,"PIK3R3"
"VEGF signaling pathway Homo sapiens hsa04370","1/61",0.141801880592737,0.387037674275021,0,0,6.76530612244898,13.2148375405932,"PIK3R3"
"Colorectal cancer Homo sapiens hsa05210","1/62",0.143953936469556,0.387037674275021,0,0,6.65406490465038,12.8973205926637,"PIK3R3"
"Cytosolic DNA-sensing pathway Homo sapiens hsa04623","1/64",0.14824219418026,0.387037674275021,0,0,6.4421768707483,12.2975222932606,"POLR3G"
"Longevity regulating pathway - multiple species Homo sapiens hsa04213","1/64",0.14824219418026,0.387037674275021,0,0,6.4421768707483,12.2975222932606,"PIK3R3"
"Glioma Homo sapiens hsa05214","1/65",0.150378421491389,0.387037674275021,0,0,6.34119897959184,12.0140378181151,"PIK3R3"
"Renal cell carcinoma Homo sapiens hsa05211","1/66",0.152509397975627,0.387037674275021,0,0,6.24332810047096,11.7407599163322,"PIK3R3"
"Pancreatic cancer Homo sapiens hsa05212","1/66",0.152509397975627,0.387037674275021,0,0,6.24332810047096,11.7407599163322,"PIK3R3"
"Central carbon metabolism in cancer Homo sapiens hsa05230","1/67",0.154635136309991,0.387037674275021,0,0,6.14842300556586,11.4771806572209,"PIK3R3"
"Fc epsilon RI signaling pathway Homo sapiens hsa04664","1/68",0.156755649080656,0.387037674275021,0,0,6.05635089856838,11.2228243619718,"PIK3R3"
"Melanoma Homo sapiens hsa05218","1/71",0.16308595979881,0.387037674275021,0,0,5.79591836734694,10.5107696169887,"PIK3R3"
"Prolactin signaling pathway Homo sapiens hsa04917","1/72",0.165185695910124,0.387037674275021,0,0,5.71399827536648,10.2891110310162,"PIK3R3"
"Chronic myeloid leukemia Homo sapiens hsa05220","1/73",0.167280269123171,0.387037674275021,0,0,5.6343537414966,10.0747012408884,"PIK3R3"
"B cell receptor signaling pathway Homo sapiens hsa04662","1/73",0.167280269123171,0.387037674275021,0,0,5.6343537414966,10.0747012408884,"PIK3R3"
"Biosynthesis of amino acids Homo sapiens hsa01230","1/74",0.169369691826634,0.387037674275021,0,0,5.55689124965054,9.86721301833061,"GPT2"
"Bacterial invasion of epithelial cells Homo sapiens hsa05100","1/78",0.177676125437979,0.387037674275021,0,0,5.26716141001855,9.10056411919043,"PIK3R3"
"Small cell lung cancer Homo sapiens hsa05222","1/86",0.194045512854838,0.387037674275021,0,0,4.76950780312125,7.82038330328814,"PIK3R3"
"ErbB signaling pathway Homo sapiens hsa04012","1/87",0.196069097589664,0.387037674275021,0,0,4.71381110583768,7.6801565438185,"PIK3R3"
"Prostate cancer Homo sapiens hsa05215","1/89",0.20010134077429,0.387037674275021,0,0,4.60621521335807,7.41108400124833,"PIK3R3"
"Fc gamma R-mediated phagocytosis Homo sapiens hsa04666","1/93",0.208106457039028,0.387037674275021,0,0,4.40505767524401,6.91464333784472,"PIK3R3"
"Longevity regulating pathway - mammal Homo sapiens hsa04211","1/94",0.210095436800202,0.387037674275021,0,0,4.35747202106649,6.79849904676328,"PIK3R3"
"Progesterone-mediated oocyte maturation Homo sapiens hsa04914","1/98",0.218002513748404,0.387037674275021,0,0,4.17694087944456,6.36251970320458,"PIK3R3"
"Phosphatidylinositol signaling system Homo sapiens hsa04070","1/98",0.218002513748404,0.387037674275021,0,0,4.17694087944456,6.36251970320458,"PIK3R3"
"Inflammatory mediator regulation of TRP channels Homo sapiens hsa04750","1/98",0.218002513748404,0.387037674275021,0,0,4.17694087944456,6.36251970320458,"PIK3R3"
"Estrogen signaling pathway Homo sapiens hsa04915","1/99",0.2199671313012,0.387037674275021,0,0,4.13411078717201,6.26018948804807,"PIK3R3"
"Amoebiasis Homo sapiens hsa05146","1/100",0.221926911560385,0.387037674275021,0,0,4.09214594928881,6.16034588762116,"PIK3R3"
"AGE-RAGE signaling pathway in diabetic complications Homo sapiens hsa04933","1/101",0.223881866241205,0.387037674275021,0,0,4.05102040816327,6.06290601418737,"PIK3R3"
"Choline metabolism in cancer Homo sapiens hsa05231","1/101",0.223881866241205,0.387037674275021,0,0,4.05102040816327,6.06290601418737,"PIK3R3"
"HIF-1 signaling pathway Homo sapiens hsa04066","1/103",0.22777734539855,0.387037674275021,0,0,3.97118847539016,5.87492334394335,"PIK3R3"
"Chagas disease (American trypanosomiasis) Homo sapiens hsa05142","1/104",0.229717893074581,0.387037674275021,0,0,3.93243510996632,5.78423168094792,"PIK3R3"
"T cell receptor signaling pathway Homo sapiens hsa04660","1/104",0.229717893074581,0.387037674275021,0,0,3.93243510996632,5.78423168094792,"PIK3R3"
"Pyrimidine metabolism Homo sapiens hsa00240","1/105",0.231653661546854,0.387037674275021,0,0,3.89442700156986,5.69564568108454,"POLR3G"
"Toll-like receptor signaling pathway Homo sapiens hsa04620","1/106",0.23358466235033,0.387037674275021,0,0,3.85714285714286,5.60909836773195,"PIK3R3"
"Insulin resistance Homo sapiens hsa04931","1/109",0.239349173739861,0.387037674275021,0,0,3.74943310657596,5.36105874493243,"PIK3R3"
"TNF signaling pathway Homo sapiens hsa04668","1/110",0.241261218690496,0.387037674275021,0,0,3.71484740685265,5.28204879592619,"PIK3R3"
"Carbon metabolism Homo sapiens hsa01200","1/113",0.246969136476027,0.387037674275021,0,0,3.61479591836735,5.05526282536401,"GPT2"
"Toxoplasmosis Homo sapiens hsa05145","1/118",0.25638895483414,0.387037674275021,0,0,3.45944531658817,4.70851137205702,"PIK3R3"
"Leukocyte transendothelial migration Homo sapiens hsa04670","1/118",0.25638895483414,0.387037674275021,0,0,3.45944531658817,4.70851137205702,"PIK3R3"
"Thyroid hormone signaling pathway Homo sapiens hsa04919","1/118",0.25638895483414,0.387037674275021,0,0,3.45944531658817,4.70851137205702,"PIK3R3"
"Sphingolipid signaling pathway Homo sapiens hsa04071","1/120",0.260124462166282,0.387037674275021,0,0,3.40096038415366,4.57971645890887,"PIK3R3"
"Neurotrophin signaling pathway Homo sapiens hsa04722","1/120",0.260124462166282,0.387037674275021,0,0,3.40096038415366,4.57971645890887,"PIK3R3"
"Platelet activation Homo sapiens hsa04611","1/122",0.263841577763516,0.387037674275021,0,0,3.34440883791533,4.45611187425848,"PIK3R3"
"AMPK signaling pathway Homo sapiens hsa04152","1/124",0.267540390273413,0.387037674275021,0,0,3.28969636635142,4.33741443316037,"PIK3R3"
"Osteoclast differentiation Homo sapiens hsa04380","1/132",0.282154369399051,0.387037674275021,0,0,3.08755257828322,3.90668320615816,"PIK3R3"
"FoxO signaling pathway Homo sapiens hsa04068","1/133",0.283960903877272,0.387037674275021,0,0,3.06400742115028,3.85733627834156,"PIK3R3"
"Hepatitis C Homo sapiens hsa05160","1/133",0.283960903877272,0.387037674275021,0,0,3.06400742115028,3.85733627834156,"PIK3R3"
"Natural killer cell mediated cytotoxicity Homo sapiens hsa04650","1/135",0.287560616697061,0.387037674275021,0,0,3.01797136765154,3.76136290453997,"PIK3R3"
"Measles Homo sapiens hsa05162","1/136",0.289353816496661,0.387037674275021,0,0,2.99546485260771,3.71469112422295,"PIK3R3"
"Insulin signaling pathway Homo sapiens hsa04910","1/139",0.294706918226376,0.387037674275021,0,0,2.92990239574091,3.57967831775799,"PIK3R3"
"Apoptosis Homo sapiens hsa04210","1/140",0.296482488408479,0.387037674275021,0,0,2.90867713992072,3.53627403902577,"PIK3R3"
