"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Cholinergic synapse","2/112",0.031976077624072,0.435280922869621,0,0,7.51515151515152,25.872917364872,"PIK3R3;KCNQ5"
"Arginine biosynthesis","1/21",0.0512327930672156,0.435280922869621,0,0,20.3367346938776,60.4280744540867,"GPT2"
"Mannose type O-glycan biosynthesis","1/23",0.0559757805878795,0.435280922869621,0,0,18.4860853432282,53.2923554931915,"B3GAT1"
"JAK-STAT signaling pathway","2/162",0.0620359971863136,0.435280922869621,0,0,5.15364583333333,14.327343946786,"PIK3R3;GFAP"
"RNA polymerase","1/31",0.0747164600026276,0.435280922869621,0,0,13.5510204081633,35.1520903887112,"POLR3G"
"Alanine, aspartate and glutamate metabolism","1/35",0.0839495853612938,0.435280922869621,0,0,11.9543817527011,29.6174450357809,"GPT2"
"Aldosterone-regulated sodium reabsorption","1/37",0.0885322278902677,0.435280922869621,0,0,11.2891156462585,27.3692036867235,"PIK3R3"
"Carbohydrate digestion and absorption","1/44",0.104395242464778,0.435280922869621,0,0,9.44803037494067,21.3484970941598,"PIK3R3"
"Type II diabetes mellitus","1/46",0.108877622208567,0.435280922869621,0,0,9.02721088435374,20.0181178087303,"PIK3R3"
"Regulation of lipolysis in adipocytes","1/55",0.128777761392217,0.435280922869621,0,0,7.51927437641723,15.412009607623,"PIK3R3"
"Endometrial cancer","1/58",0.135313851739813,0.435280922869621,0,0,7.12244897959184,14.246025949065,"PIK3R3"
"VEGF signaling pathway","1/59",0.137481851045255,0.435280922869621,0,0,6.99929627023223,13.8884471557023,"PIK3R3"
"Cytosolic DNA-sensing pathway","1/63",0.146100703414545,0.435280922869621,0,0,6.54641211323239,12.5917562502396,"POLR3G"
"Central carbon metabolism in cancer","1/65",0.150378421491389,0.435280922869621,0,0,6.34119897959184,12.0140378181151,"PIK3R3"
