"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Cholinergic synapse","2/113",0.032501099312465,0.440104225064913,0,0,7.44707207207207,25.5172536804021,"PIK3R3;KCNQ5"
"Arginine biosynthesis","1/19",0.0464664552952436,0.440104225064913,0,0,22.5986394557823,69.3557808280063,"GPT2"
"Mannose type O-glycan biosynthesis","1/23",0.0559757805878795,0.440104225064913,0,0,18.4860853432282,53.2923554931915,"B3GAT1"
"JAK-STAT signaling pathway","2/164",0.0633842647819244,0.440104225064913,0,0,5.08950617283951,14.0396045151279,"PIK3R3;GFAP"
"RNA polymerase","1/28",0.0677318256109869,0.440104225064913,0,0,15.0589569160998,40.5417104352724,"POLR3G"
"Alanine, aspartate and glutamate metabolism","1/37",0.0885322278902677,0.440104225064913,0,0,11.2891156462585,27.3692036867235,"GPT2"
"Aldosterone-regulated sodium reabsorption","1/38",0.0908151166313485,0.440104225064913,0,0,10.9834528405957,26.3485293003408,"PIK3R3"
"Carbohydrate digestion and absorption","1/43",0.102145774279416,0.440104225064913,0,0,9.6734693877551,22.0686112387857,"PIK3R3"
"Type II diabetes mellitus","1/48",0.113338014836913,0.440104225064913,0,0,8.64220581849761,18.8173716664144,"PIK3R3"
"Regulation of lipolysis in adipocytes","1/56",0.130961819814475,0.440104225064913,0,0,7.3821892393321,15.0068793354093,"PIK3R3"
"VEGF signaling pathway","1/58",0.135313851739813,0.440104225064913,0,0,7.12244897959184,14.246025949065,"PIK3R3"
"Endometrial cancer","1/58",0.135313851739813,0.440104225064913,0,0,7.12244897959184,14.246025949065,"PIK3R3"
"Cytosolic DNA-sensing pathway","1/61",0.141801880592737,0.440104225064913,0,0,6.76530612244898,13.2148375405932,"POLR3G"
"Central carbon metabolism in cancer","1/64",0.14824219418026,0.440104225064913,0,0,6.4421768707483,12.2975222932606,"PIK3R3"
"Non-small cell lung cancer","1/66",0.152509397975627,0.440104225064913,0,0,6.24332810047096,11.7407599163322,"PIK3R3"
"Fc epsilon RI signaling pathway","1/68",0.156755649080656,0.440104225064913,0,0,6.05635089856838,11.2228243619718,"PIK3R3"
"Renal cell carcinoma","1/68",0.156755649080656,0.440104225064913,0,0,6.05635089856838,11.2228243619718,"PIK3R3"
"Acute myeloid leukemia","1/69",0.158870948881139,0.440104225064913,0,0,5.96698679471789,10.9772451176002,"PIK3R3"
"Melanoma","1/72",0.165185695910124,0.440104225064913,0,0,5.71399827536648,10.2891110310162,"PIK3R3"
"B cell receptor signaling pathway","1/72",0.165185695910124,0.440104225064913,0,0,5.71399827536648,10.2891110310162,"PIK3R3"
"Prolactin signaling pathway","1/72",0.165185695910124,0.440104225064913,0,0,5.71399827536648,10.2891110310162,"PIK3R3"
"Bacterial invasion of epithelial cells","1/74",0.169369691826634,0.440104225064913,0,0,5.55689124965054,9.86721301833061,"PIK3R3"
"Pancreatic cancer","1/75",0.171453976440458,0.440104225064913,0,0,5.4815223386652,9.66633798573148,"PIK3R3"
"Glioma","1/75",0.171453976440458,0.440104225064913,0,0,5.4815223386652,9.66633798573148,"PIK3R3"
"Chronic myeloid leukemia","1/76",0.173533135363907,0.440104225064913,0,0,5.40816326530612,9.4717853003048,"PIK3R3"
"ErbB signaling pathway","1/84",0.189983356911436,0.440104225064913,0,0,4.88492746496189,8.1129793990771,"PIK3R3"
"Fc gamma R-mediated phagocytosis","1/87",0.196069097589664,0.440104225064913,0,0,4.71381110583768,7.6801565438185,"PIK3R3"
"Colorectal cancer","1/88",0.198087702903643,0.440104225064913,0,0,4.65939479239972,7.54377171660372,"PIK3R3"
"Progesterone-mediated oocyte maturation","1/90",0.202110023192397,0.440104225064913,0,0,4.55423068103646,7.28195554376981,"PIK3R3"
"Small cell lung cancer","1/92",0.206112569436316,0.440104225064913,0,0,4.45368916797488,7.03385741012878,"PIK3R3"
"Staphylococcus aureus infection","1/95",0.21207952058325,0.440104225064913,0,0,4.31089882761615,6.68531593969729,"DEFA1"
"Prostate cancer","1/97",0.216033047281136,0.440104225064913,0,0,4.22066326530612,6.46742313757927,"PIK3R3"
"Phosphatidylinositol signaling system","1/98",0.218002513748404,0.440104225064913,0,0,4.17694087944456,6.36251970320458,"PIK3R3"
"Toll-like receptor signaling pathway","1/99",0.2199671313012,0.440104225064913,0,0,4.13411078717201,6.26018948804807,"PIK3R3"
"Choline metabolism in cancer","1/99",0.2199671313012,0.440104225064913,0,0,4.13411078717201,6.26018948804807,"PIK3R3"
"AGE-RAGE signaling pathway in diabetic complications","1/101",0.223881866241205,0.440104225064913,0,0,4.05102040816327,6.06290601418737,"PIK3R3"
"T cell receptor signaling pathway","1/101",0.223881866241205,0.440104225064913,0,0,4.05102040816327,6.06290601418737,"PIK3R3"
"Longevity regulating pathway","1/102",0.225832006978328,0.440104225064913,0,0,4.01070923418872,5.96779050603106,"PIK3R3"
"Chagas disease (American trypanosomiasis)","1/103",0.22777734539855,0.440104225064913,0,0,3.97118847539016,5.87492334394335,"PIK3R3"
"HIF-1 signaling pathway","1/104",0.229717893074581,0.440104225064913,0,0,3.93243510996632,5.78423168094792,"PIK3R3"
"Amoebiasis","1/106",0.23358466235033,0.440104225064913,0,0,3.85714285714286,5.60909836773195,"PIK3R3"
"Insulin resistance","1/110",0.241261218690496,0.440104225064913,0,0,3.71484740685265,5.28204879592619,"PIK3R3"
"TNF signaling pathway","1/110",0.241261218690496,0.440104225064913,0,0,3.71484740685265,5.28204879592619,"PIK3R3"
"C-type lectin receptor signaling pathway","1/112",0.2450711886959,0.440104225064913,0,0,3.64754550468836,5.1292023601924,"PIK3R3"
"Leukocyte transendothelial migration","1/115",0.250751014138588,0.440104225064913,0,0,3.55102040816327,4.9121080927455,"PIK3R3"
"Thyroid hormone signaling pathway","1/115",0.250751014138588,0.440104225064913,0,0,3.55102040816327,4.9121080927455,"PIK3R3"
"Natural killer cell mediated cytotoxicity","1/118",0.25638895483414,0.440104225064913,0,0,3.45944531658817,4.70851137205702,"PIK3R3"
"Neurotrophin signaling pathway","1/121",0.261985313392121,0.440104225064913,0,0,3.37244897959184,4.51728355262187,"PIK3R3"
"Sphingolipid signaling pathway","1/124",0.267540390273413,0.440104225064913,0,0,3.28969636635142,4.33741443316037,"PIK3R3"
