"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Abnormal Tail Movements (MP:0001391)","1/38",0.0908151166313485,0.705226709706798,0,0,10.9834528405957,26.3485293003408,"GPT2"
"Abnormal Placenta Vasculature (MP:0003231)","1/41",0.0976302146847682,0.705226709706798,0,0,10.1581632653061,23.6336602002892,"ADAMTS6"
"Increased Circulating Insulin Level (MP:0002079)","1/57",0.133140512285209,0.705226709706798,0,0,7.25,14.6185391319657,"CD248"
"Abnormal Placenta Morphology (MP:0001711)","1/65",0.150378421491389,0.705226709706798,0,0,6.34119897959184,12.0140378181151,"ADAMTS6"
"Abnormal Craniofacial Morphology (MP:0000428)","1/66",0.152509397975627,0.705226709706798,0,0,6.24332810047096,11.7407599163322,"ADAMTS6"
"Increased Hemoglobin Content (MP:0005564)","1/75",0.171453976440458,0.705226709706798,0,0,5.4815223386652,9.66633798573148,"SLC4A10"
"Increased Circulating Calcium Level (MP:0000194)","1/96",0.214058720124535,0.705226709706798,0,0,4.26530612244898,6.57499032398412,"CACHD1"
"Increased Circulating Triglyceride Level (MP:0001552)","1/110",0.241261218690496,0.705226709706798,0,0,3.71484740685265,5.28204879592619,"TMC1"
"Small Spleen (MP:0000692)","1/126",0.271220988057227,0.705226709706798,0,0,3.23673469387755,4.22336048857463,"SLC4A10"
"Abnormal Vitreous Body Morphology (MP:0002699)","1/134",0.285762982719773,0.705226709706798,0,0,3.04081632653061,3.80890385676326,"ADAMTS6"
"Edema (MP:0001785)","1/135",0.287560616697061,0.705226709706798,0,0,3.01797136765154,3.76136290453997,"ADAMTS6"
"Increased Circulating Bilirubin Level (MP:0005344)","1/145",0.305294838614257,0.705226709706798,0,0,2.80697278911565,3.33040945482965,"TMEM37"
"Abnormal Gait (MP:0001406)","1/160",0.33108785567924,0.705226709706798,0,0,2.54023873700424,2.80790753816435,"SLC4A10"
"Increased Leukocyte Cell Number (MP:0000218)","1/178",0.360802714392248,0.705226709706798,0,0,2.2798339674853,2.32411738851616,"MPPED2"
"Small Kidney (MP:0002989)","1/183",0.368824653227882,0.705226709706798,0,0,2.21664050235479,2.21095247511773,"ADAMTS6"
"Abnormal Testis Morphology (MP:0001146)","1/222",0.42809981215791,0.705226709706798,0,0,1.82186720842183,1.54567014397397,"CD248"
"Decreased Body Length (MP:0001258)","1/258",0.477952597537146,0.705226709706798,0,0,1.56380528865243,1.15446943324466,"CD248"
"Increased Startle Reflex (MP:0001488)","1/278",0.503781490087832,0.705226709706798,0,0,1.44942164591468,0.993741824804127,"SLC4A10"
"Cataract (MP:0001304)","1/299",0.529553716990789,0.705226709706798,0,0,1.34584303520066,0.85558023681605,"ADAMTS6"
"Abnormal Auditory Brainstem Response (MP:0004738)","1/309",0.541360567379798,0.705226709706798,0,0,1.30148423005566,0.798681487764306,"SLC4A10"
"Decreased Bone Mineral Content (MP:0010124)","1/320",0.55401280174368,0.705226709706798,0,0,1.25590173373425,0.741694727873147,"SLC4A10"
"Abnormal Eye Morphology (MP:0002092)","1/328",0.562998943528309,0.705226709706798,0,0,1.22467702677401,0.703549430141157,"ADAMTS6"
"Decreased Locomotor Activity (MP:0001402)","1/345",0.581509376586265,0.705226709706798,0,0,1.16314665401044,0.630574581319012,"SLC4A10"
"Decreased Grip Strength (MP:0010053)","1/347",0.583635897688384,0.705226709706798,0,0,1.15630529668515,0.622644909722477,"CACHD1"
"Abnormal Kidney Morphology (MP:0002135)","1/379",0.616254453912888,0.71485516653895,0,0,1.05668934240363,0.511538371909823,"ADAMTS6"
"Abnormal Skin Morphology (MP:0002060)","1/446",0.67664899419659,0.75472387814235,0,0,0.894519605595047,0.349401695241356,"CD248"
"Hyperactivity (MP:0001399)","1/614",0.790072679352882,0.848596581527169,0,0,0.643772680360888,0.151692374636758,"SLC4A10"
"Preweaning Lethality, Complete Penetrance (MP:0011100)","3/1785",0.835509315787505,0.865348934208488,0,0,0.650762948635289,0.116951070068919,"POLR3G;SLC25A20;ADAMTS6"
"Preweaning Lethality, Incomplete Penetrance (MP:0011110)","1/801",0.870781902128958,0.870781902128958,0,0,0.488520408163265,0.0675935072603078,"CACHD1"
