"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"SYK druginhibition 286 GSE43510","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"LRRN3;POLR3G;KCNQ5"
"MAP2K1 knockdown 134 GSE31534","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"TMC1;SNTG2"
"TGFBR2 knockout 296 GSE22989","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"BEX1;PIK3R3"
"HIPK2 knockdown 106 GSE27869","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"GPT2;SLC25A20"
"DDR1 knockdown 169 GSE39207","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SLC25A20;GRAMD4"
"PIK3CG knockdown 96 GSE27869","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"CD248;GRAMD4"
"PLK3 knockdown 121 GSE27869","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"GPT2;CD248"
"MET knockdown 254 GSE38343","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"TMEM37;GRAMD4"
"RET druginhibition 184 GSE49414","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"BEX1;ADAMTS6"
"AKT2 knockdown 44 GSE12291","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"FGFBP2;SLC25A20"
"GSK3B knockdown 206 GDS4305","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"LRRN3;POLR3G"
"CHEK1 knockdown 136 GSE31534","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"TMC1"
"CDK7 knockdown 138 GSE31534","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"TMC1"
"IRAK2 knockout 39 GSE10765","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"ODF3"
"ERBB3 knockdown 65 GSE19921","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC25A20"
"AKT1 knockdown 135 GSE31534","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"TMC1"
"SRC overexpression 276 GSE37428","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"PIK3R3"
"FGFR3 knockdown 174 GSE41035","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"BEX1"
"PTK7 knockdown 185 GSE50138","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"OGFRP1"
"ABL1 knockdown 144 GSE31912","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC4A10"
"AKT1 knockdown 141 GSE31912","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC4A10"
"CDK4 knockdown 143 GSE31912","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SNTG2"
"MAPK14 knockdown 139 GSE31912","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC4A10"
"MAPK1 knockdown 145 GSE31912","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC4A10"
"CDK2 knockdown 146 GSE31912","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC4A10"
"RAF1 activemutant 219 GSE42964","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"FSCN2"
"ATR knockdown 140 GSE31912","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC4A10"
"CDK7 knockdown 124 GSE27869","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GPT2"
"AKT1 activemutant 216 GSE9484","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GPT2"
"ERBB2 knockdown 235 GSE8373","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GPT2"
"GSK3A knockdown 207 GDS4305","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"POLR3G"
"GSK3B knockdown 208 GDS4305","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"BEX1"
"TRIM24 knockout 300 GSE19675","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GPT2"
"EPHA4 knockout 227 GSE34430","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"B3GAT1"
"SYK knockdown 189 GSE54065","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"LRRN3"
"SYK knockdown 190 GSE54065","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"PIK3R3"
"MET knockout 262 GSE8747","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"KCNQ5"
"ERBB3 knockout 239 GSE32129","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"ADAMTS6"
"PRKACB knockdown 91 GSE27869","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"FGFBP2"
"IRAK1 knockdown 115 GSE27869","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"CD248"
"PDGFRA knockdown 117 GSE27869","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"POLR3G"
"MAPK1 knockdown 45 GSE12291","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"PIK3R3"
"FGFR1 drugactivation 149 GSE32316","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"TMEM37"
"SYK druginhibition 289 GSE43510","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GPT2"
"PDK1 knockout 80 GSE26290","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"CD248"
"MAP2K1 druginhibition 172 GSE39984","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GRAMD4"
"CDK8 knockdown 128 GSE30815","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GPT2"
"CDK19 knockdown 162 GSE38061","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"POLR3G"
"CDK8 knockdown 161 GSE38061","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"POLR3G"
"MELK druginhibition 186 GSE50227","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"KLHL4"
"MAPK1 knockdown 112 GSE27869","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"B3GAT1"
"MAP3K7 knockout 246 GSE34417","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"CD248"
"IRAK2 knockout 76 GSE24264","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"BEX1"
"ITK defectivemutant 125 GSE28200","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"OGFRP1"
"IGF1R druginhibition 47 GSE14024","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC25A20"
"WEE1 druginhibition 307 GSE38972","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC25A20"
"BRD4 knockdown 223 GSE50865","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GPT2"
"EGFR drugactivation 19 GDS2146","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"PIK3R3"
"MYLK knockdown 49 GSE14525","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"KCNQ5"
"MET knockout 250 GDS3148","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"KCNQ5"
"MAP4K5 knockdown 199 GSE61497","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GRAMD4"
"EGFR druginhibition 83 GSE27640","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"POLR3G"
"TBK1 druginhibition 188 GSE53658","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"POLR3G"
