"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"ERBB2 knockdown 232 GSE8373","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"BEX1;B3GAT1"
"GSK3B knockdown 204 GDS4305","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"FSCN2;KLHL4"
"JAK1 druginhibition 166 GSE38335","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"GPT2;GRAMD4"
"JAK2 druginhibition 168 GSE38335","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"GPT2;GRAMD4"
"ITK knockout 242 GSE12465","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"PIK3R3;SLC25A20"
"HIPK2 knockout 171 GSE39253","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"GPT2;FSCN2"
"BTK mutant 1 GDS1346","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"TMEM37;CACHD1"
"HIPK2 overexpression 28 GDS4233","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"MPPED2"
"FGFR3 druginhibition 36 GDS5023","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"TMEM37"
"JAK2 activemutant 72 GSE21842","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"TMC1"
"ERBB3 knockdown 65 GSE19921","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GRAMD4"
"PIK3CA mutant 27 GDS4053","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SNTG2"
"HIPK1 knockout 170 GSE39253","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GPT2"
"CDK4 knockdown 143 GSE31912","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC4A10"
"MAPK14 knockdown 139 GSE31912","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SNTG2"
"BTK knockout 2 GDS1346","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"CACHD1"
"MAPK1 knockdown 145 GSE31912","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SNTG2"
"CDK2 knockdown 146 GSE31912","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SNTG2"
"CHEK1 knockdown 95 GSE27869","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"BEX1"
"CHEK1 knockdown 142 GSE31912","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC4A10"
"ERBB2 knockdown 231 GSE8373","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"B3GAT1"
"ERBB2 knockdown 233 GSE8373","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"B3GAT1"
"ERBB2 knockdown 234 GSE8373","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"B3GAT1"
"ERBB2 knockdown 235 GSE8373","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"B3GAT1"
"GSK3A knockdown 207 GDS4305","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"ADAMTS6"
"ERBB2 knockdown 238 GSE8373","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"KCNQ5"
"GSK3A knockdown 203 GDS4305","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"KLHL4"
"TRIM24 knockout 300 GSE19675","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GRAMD4"
"EPHA4 knockout 227 GSE34430","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC4A10"
"ATM knockdown 113 GSE27869","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"CD248"
"STK11 knockout 278 GSE34866","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"ADAMTS6"
"SYK druginhibition 152 GSE34176","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC4A10"
"PDGFRA knockdown 117 GSE27869","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"PIK3R3"
"AKT1 activemutant 9 GDS2304","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC25A20"
"TGFBR2 knockout 294 GSE36778","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"PIK3R3"
"CDK2 knockdown 90 GSE27869","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GPT2"
"PDK1 knockout 80 GSE26290","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"ADAMTS6"
"KDR knockdown 119 GSE27869","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GPT2"
"NTRK2 drugactivation 66 GSE20358","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"TMEM37"
"NTRK3 drugactivation 67 GSE20358","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"TMEM37"
"CDK8 knockdown 63 GSE19199","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GRAMD4"
"CDK8 knockdown 163 GSE38061","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GPT2"
"MAPK1 knockdown 112 GSE27869","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"FSCN2"
"ITK defectivemutant 125 GSE28200","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"KLHL4"
"PIK3CA knockdown 182 GSE46869","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GRAMD4"
"ABL1 knockdown 100 GSE27869","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GPT2"
"PIK3CG knockdown 96 GSE27869","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"FSCN2"
"MET knockout 251 GDS3148","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC25A20"
"MET knockout 261 GSE8747","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"KCNQ5"
"MAP4K5 knockdown 199 GSE61497","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"LRRN3"
"MAPK14 knockdown 101 GSE27869","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"CD248"
"AKT1 knockout 211 GSE39699","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"KLHL4"
"SRC activemutant 51 GSE15815","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"TMC1"
"JAK1 knockdown 160 GSE37012","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"LRRN3"
"HIPK2 defectivemutant 17 GDS1793","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"KCNQ5"
"JAK2 activemutant 178 GSE44961","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"KCNQ5"
"BRAF overexpression 180 GSE46801","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"BEX1"
"GSK3B knockdown 158 GSE35351","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"KCNQ5"
"EPHA4 drugactivation 229 GSE26523","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"FSCN2"
"GSK3B knockdown 209 GSE35351","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"KCNQ5"
"FLT1 knockdown 111 GSE27869","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GPT2"
"MET knockout 253 GSE30651","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"VMO1"
"TEK knockdown 122 GSE27869","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC25A20"
"AURKB knockdown 92 GSE27869","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"CD248"
"IKBKB knockdown 86 GSE27869","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC25A20"
"MELK knockdown 150 GSE32873","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"POLR3G"
"TRPM7 overexpression 305 GSE23102","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GRAMD4"
"MET knockout 259 GSE25583","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GPT2"
"PLK1 knockdown 98 GSE27869","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"CD248"
"CDK8 knockdown 130 GSE30816","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GPT2"
"TBK1 knockdown 53 GSE17643","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC25A20"
"ATM knockout 75 GSE23116","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GPT2"
"ABL1 knockdown 137 GSE31534","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"CACHD1"
"JAK2 knockdown 192 GSE54645","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC4A10"
