"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"NR4A2 knockdown 96h HEPG2","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"SNTG2;SLC4A10;SLC25A20"
"ULK2 knockdown 96h PC3","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"SNTG2;SLC4A10;FSCN2"
"ABCF1 knockdown 96h A375","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SNTG2;FSCN2"
"MAP3K5 knockdown 96h HEPG2","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SLC4A10;KLHL4"
"BUB1 knockdown 96h A375","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SNTG2;FSCN2"
"NR0B1 knockdown 96h HEPG2","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SNTG2;SLC4A10"
"PKN1 knockdown 96h HEPG2","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SNTG2;KLHL4"
"GPRC6A knockdown 96h A375","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SLC4A10;FSCN2"
"HIPK1 knockdown 96h A375","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"B3GAT1;PIK3R3"
"KCNK2 knockdown 96h A375","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"MPPED2;SLC4A10"
"ABCF1 knockdown 96h HT29","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SNTG2;SLC4A10"
"AGTR1 knockdown 96h HT29","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SLC4A10;CD248"
"CELSR3 knockdown 96h HT29","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SLC4A10;CD248"
"DAPK1 knockdown 96h HT29","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SNTG2;POLR3G"
"PHKG2 knockdown 96h A375","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SLC25A20;KLHL4"
"PKN1 knockdown 96h A375","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"FSCN2;KLHL4"
"GPR19 knockdown 96h HT29","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SNTG2;SLC25A20"
"STK10 knockdown 96h A375","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SLC4A10;ADAMTS6"
"LPHN2 knockdown 96h HT29","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SNTG2;SLC25A20"
"MAP4K3 knockdown 96h HT29","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SNTG2;KLHL4"
"CCRL2 knockdown 96h A549","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"PIK3R3;CD248"
"OR10Z1 knockdown 96h HT29","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"B3GAT1;POLR3G"
"CXCR2 knockdown 96h A549","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"MPPED2;ADAMTS6"
"P2RY12 knockdown 96h HT29","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SNTG2;FSCN2"
"PLK1 knockdown 96h HT29","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SNTG2;FSCN2"
"GPR56 knockdown 96h A549","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SNTG2;FSCN2"
"CELSR2 knockdown 96h MCF7","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SLC4A10;ADAMTS6"
"NPSR1 knockdown 96h A549","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"CD248;GRAMD4"
"OPN4 knockdown 96h A549","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"CD248;GRAMD4"
"PPARA knockdown 96h A549","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"CD248;GRAMD4"
"MERTK knockdown 96h MCF7","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"MPPED2;SLC4A10"
"CAMK2D knockdown 96h HA1E","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SNTG2;SLC25A20"
