"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"CDK8 knockdown 96h A549","4/300",0.00664731974339026,0.530747679484826,0,0,5.7737955346651,28.9471638238672,"SLC4A10;PIK3R3;FSCN2;KLHL4"
"TBXA2R knockdown 96h HA1E","4/300",0.00664731974339026,0.530747679484826,0,0,5.7737955346651,28.9471638238672,"SNTG2;B3GAT1;PIK3R3;FSCN2"
"AKT3 knockdown 96h HEPG2","4/300",0.00664731974339026,0.530747679484826,0,0,5.7737955346651,28.9471638238672,"BEX1;B3GAT1;SLC4A10;PIK3R3"
"ATM knockdown 96h HEPG2","4/300",0.00664731974339026,0.530747679484826,0,0,5.7737955346651,28.9471638238672,"BEX1;B3GAT1;SLC4A10;PIK3R3"
"ESRRA knockdown 96h MCF7","4/300",0.00664731974339026,0.530747679484826,0,0,5.7737955346651,28.9471638238672,"SLC4A10;FSCN2;KLHL4;ADAMTS6"
"BDKRB2 knockdown 96h A375","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"SLC4A10;FSCN2;ADAMTS6"
"GPR115 knockdown 96h A375","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"SLC4A10;FSCN2;ADAMTS6"
"GPR139 knockdown 96h A375","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"SNTG2;SLC4A10;ADAMTS6"
"GPR61 knockdown 96h A375","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"MPPED2;SLC4A10;FSCN2"
"KCNN4 knockdown 96h A375","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"SLC4A10;FSCN2;ADAMTS6"
"PPARG knockdown 96h A375","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"B3GAT1;SLC4A10;FSCN2"
"RAF1 knockdown 96h A375","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"SNTG2;FSCN2;ADAMTS6"
"STK3 knockdown 96h A375","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"PIK3R3;FSCN2;ADAMTS6"
"TBK1 knockdown 96h A375","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"SNTG2;B3GAT1;ADAMTS6"
"TNIK knockdown 96h A375","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"SLC4A10;FSCN2;ADAMTS6"
"ADORA2A knockdown 96h A549","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"SNTG2;SLC4A10;PIK3R3"
"ESR2 knockdown 96h A549","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"SNTG2;FSCN2;ADAMTS6"
"FES knockdown 96h A549","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"SLC4A10;PIK3R3;KLHL4"
"FZD6 knockdown 96h A549","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"PIK3R3;CD248;FSCN2"
"ITPR1 knockdown 96h A549","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"SLC4A10;PIK3R3;KLHL4"
"ITPR3 knockdown 96h A549","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"SNTG2;MPPED2;ADAMTS6"
"O3FAR1 knockdown 96h A549","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"SNTG2;SLC4A10;FSCN2"
"PRKCD knockdown 96h A549","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"SNTG2;SLC4A10;FSCN2"
"PTK2B knockdown 96h A549","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"SNTG2;MPPED2;ADAMTS6"
"STK36 knockdown 96h A549","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"PIK3R3;FSCN2;KLHL4"
"YES1 knockdown 96h A549","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"SNTG2;B3GAT1;KLHL4"
"PBK knockdown 96h HA1E","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"SNTG2;B3GAT1;FSCN2"
"PRKAA2 knockdown 96h HA1E","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"B3GAT1;PIK3R3;ADAMTS6"
"RIOK3 knockdown 96h HA1E","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"SLC4A10;KLHL4;ADAMTS6"
"RPS6KB1 knockdown 96h HA1E","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"SNTG2;SLC4A10;FSCN2"
"UTS2R knockdown 96h HA1E","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"SLC4A10;PIK3R3;FSCN2"
"GPR61 knockdown 96h HCC515","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"SLC4A10;PIK3R3;FSCN2"
