"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LIG3 Up","4/245",0.0032536502315242,0.467256114895877,0,0,7.11131156413494,40.7334345174908,"LRRN3;MPPED2;POLR3G;GFAP"
"NIN Up","4/245",0.0032536502315242,0.467256114895877,0,0,7.11131156413494,40.7334345174908,"BEX1;LRRN3;MPPED2;GFAP"
"OGT Up","4/245",0.0032536502315242,0.467256114895877,0,0,7.11131156413494,40.7334345174908,"BEX1;LRRN3;MPPED2;GFAP"
"PLCE1 Down","4/247",0.00334963161467736,0.467256114895877,0,0,7.05206655931294,40.1890567049714,"BEX1;LRRN3;CD248;GFAP"
"DDRGK1 Down","4/248",0.00339834007867012,0.467256114895877,0,0,7.02280826799715,39.9209301247533,"BEX1;LRRN3;MPPED2;GFAP"
"MDFIC Down","3/240",0.022110403168695,0.467256114895877,0,0,5.30918394828979,20.2370538833334,"BEX1;LRRN3;MPPED2"
"RETREG1 Up","3/241",0.0223504419536661,0.467256114895877,0,0,5.28660826032541,20.0939178883779,"LRRN3;MPPED2;POLR3G"
"FCGR1B Down","3/241",0.0223504419536661,0.467256114895877,0,0,5.28660826032541,20.0939178883779,"BEX1;POLR3G;GRAMD4"
"MMP26 Down","3/241",0.0223504419536661,0.467256114895877,0,0,5.28660826032541,20.0939178883779,"BEX1;LRRN3;GFAP"
"AAK1 Up","3/242",0.0225919136857967,0.467256114895877,0,0,5.26422149025194,19.9522587703246,"BEX1;MPPED2;POLR3G"
"MSTO1 Down","3/242",0.0225919136857967,0.467256114895877,0,0,5.26422149025194,19.9522587703246,"BEX1;LRRN3;MPPED2"
"NAT1 Down","3/242",0.0225919136857967,0.467256114895877,0,0,5.26422149025194,19.9522587703246,"BEX1;CD248;GFAP"
"ATF4 Down","3/242",0.0225919136857967,0.467256114895877,0,0,5.26422149025194,19.9522587703246,"BEX1;CD248;GRAMD4"
"PLXNC1 Up","3/243",0.0228348184947476,0.467256114895877,0,0,5.24202127659574,19.8120557638735,"BEX1;B3GAT1;SLC25A20"
"ACY1 Down","3/243",0.0228348184947476,0.467256114895877,0,0,5.24202127659574,19.8120557638735,"BEX1;LRRN3;GFAP"
"PF4 Down","3/244",0.0230791564766128,0.467256114895877,0,0,5.22000529707778,19.673288477727,"BEX1;LRRN3;CD248"
"EXOSC10 Up","3/244",0.0230791564766128,0.467256114895877,0,0,5.22000529707778,19.673288477727,"BEX1;LRRN3;MPPED2"
"ULK3 Down","3/244",0.0230791564766128,0.467256114895877,0,0,5.22000529707778,19.673288477727,"BEX1;LRRN3;MPPED2"
