"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"BI-D1870 Down","4/247",0.00334963161467736,0.467256114895877,0,0,7.05206655931294,40.1890567049714,"BEX1;LRRN3;MPPED2;GFAP"
"Piretanide Up","4/248",0.00339834007867012,0.467256114895877,0,0,7.02280826799715,39.9209301247533,"BEX1;LRRN3;MPPED2;POLR3G"
"ASP-3026 Down","4/248",0.00339834007867012,0.467256114895877,0,0,7.02280826799715,39.9209301247533,"BEX1;LRRN3;POLR3G;GFAP"
"Clotrimazole Up","3/239",0.0218717971802918,0.467256114895877,0,0,5.33195095564371,20.3816878998343,"BEX1;POLR3G;GRAMD4"
"MK-2206 Down","3/240",0.022110403168695,0.467256114895877,0,0,5.30918394828979,20.2370538833334,"LRRN3;PIK3R3;GFAP"
"Quizartinib Down","3/240",0.022110403168695,0.467256114895877,0,0,5.30918394828979,20.2370538833334,"LRRN3;MPPED2;SLC25A20"
"Paroxetine Down","3/241",0.0223504419536661,0.467256114895877,0,0,5.28660826032541,20.0939178883779,"BEX1;LRRN3;MPPED2"
"Benzofuran Down","3/242",0.0225919136857967,0.467256114895877,0,0,5.26422149025194,19.9522587703246,"BEX1;LRRN3;GFAP"
"SA-242939 Down","3/242",0.0225919136857967,0.467256114895877,0,0,5.26422149025194,19.9522587703246,"LRRN3;MPPED2;GFAP"
"Lerisetron Down","3/242",0.0225919136857967,0.467256114895877,0,0,5.26422149025194,19.9522587703246,"MPPED2;CD248;GRAMD4"
"Thioridazine Down","3/242",0.0225919136857967,0.467256114895877,0,0,5.26422149025194,19.9522587703246,"BEX1;LRRN3;GFAP"
"Triamcinolone Down","3/243",0.0228348184947476,0.467256114895877,0,0,5.24202127659574,19.8120557638735,"BEX1;LRRN3;MPPED2"
"ML-3163 Up","3/244",0.0230791564766128,0.467256114895877,0,0,5.22000529707778,19.673288477727,"BEX1;LRRN3;MPPED2"
"Rocuronium Down","3/244",0.0230791564766128,0.467256114895877,0,0,5.22000529707778,19.673288477727,"BEX1;POLR3G;CD248"
"Ulipristal Down","3/244",0.0230791564766128,0.467256114895877,0,0,5.22000529707778,19.673288477727,"LRRN3;MPPED2;GFAP"
"KU-C104131 Up","3/244",0.0230791564766128,0.467256114895877,0,0,5.22000529707778,19.673288477727,"BEX1;LRRN3;MPPED2"
"KU-C104248 Up","3/244",0.0230791564766128,0.467256114895877,0,0,5.22000529707778,19.673288477727,"MPPED2;GRAMD4;GFAP"
"VT-464 Up","3/244",0.0230791564766128,0.467256114895877,0,0,5.22000529707778,19.673288477727,"BEX1;LRRN3;CD248"
"Sotrastaurin Down","3/244",0.0230791564766128,0.467256114895877,0,0,5.22000529707778,19.673288477727,"BEX1;LRRN3;MPPED2"
"Mps1-IN-1 Down","3/244",0.0230791564766128,0.467256114895877,0,0,5.22000529707778,19.673288477727,"BEX1;LRRN3;MPPED2"
"Dropropizine Down","3/245",0.0233249276938618,0.467256114895877,0,0,5.19817126780376,19.5359368863993,"LRRN3;MPPED2;GFAP"
"Pyridoxine Down","3/245",0.0233249276938618,0.467256114895877,0,0,5.19817126780376,19.5359368863993,"BEX1;LRRN3;GFAP"
