"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 LNCAP 3H-sirolimus-10","2/27",0.00206572935455435,0.305399868775065,0,0,33.2083333333333,205.302946563678,"BEX1;LRRN3"
"LJP007 HEPG2 24H-HG-9-91-01-0.04","2/27",0.00206572935455435,0.305399868775065,0,0,33.2083333333333,205.302946563678,"BEX1;LRRN3"
"CPC018 ASC 24H-nsc 3852-10.0","3/122",0.00352209511044722,0.305399868775065,0,0,10.6370463078849,60.0854756568961,"PIK3R3;ADAMTS6;GFAP"
"CPC019 VCAP 24H-BRD-K33045404-10.0","2/37",0.00385763159243922,0.305399868775065,0,0,23.7083333333333,131.763848285721,"GRAMD4;ADAMTS6"
"CPC019 VCAP 24H-BRD-K83816656-10.0","2/37",0.00385763159243922,0.305399868775065,0,0,23.7083333333333,131.763848285721,"GRAMD4;ADAMTS6"
"LJP005 SKBR3 24H-linsitinib-0.37","2/41",0.00471949516973858,0.305399868775065,0,0,21.2724358974359,113.936303479866,"BEX1;LRRN3"
"CPC019 VCAP 24H-BRD-K10649245-10.0","2/47",0.00616259351355971,0.305399868775065,0,0,18.4305555555556,93.7978442903707,"GRAMD4;ADAMTS6"
"CPC019 VCAP 24H-BRD-K57678861-10.0","2/53",0.00778121248393933,0.305399868775065,0,0,16.2573529411765,78.9464066826998,"GRAMD4;ADAMTS6"
"CPC006 PL21 6H-cay10594-20.0","2/55",0.00835883021275315,0.305399868775065,0,0,15.6422955974843,74.8395745113238,"GRAMD4;GFAP"
"CPC019 VCAP 24H-BRD-K65904652-10.0","2/61",0.0102031878981959,0.305399868775065,0,0,14.0473163841808,64.407719185876,"GRAMD4;ADAMTS6"
"CPC012 ASC 24H-BRD-K56653679-10.0","3/183",0.0107774194360395,0.305399868775065,0,0,7.01063829787234,31.7603095894658,"B3GAT1;ADAMTS6;GFAP"
"CPC012 NEU 24H-BRD-K56196992-10.0","2/69",0.0129153730394233,0.305399868775065,0,0,12.3650497512438,53.7797680023181,"PIK3R3;ADAMTS6"
"LJP007 HCC515 24H-INK-128-0.12","2/71",0.0136373517747766,0.305399868775065,0,0,12.0054347826087,51.5626556423293,"LRRN3;GFAP"
"CPC019 VCAP 24H-BRD-K85818861-10.0","2/74",0.0147525184670076,0.305399868775065,0,0,11.5034722222222,48.502566947861,"GRAMD4;ADAMTS6"
"CPC015 MCF7 6H-racecadotril-10.0","1/7",0.017371741450284,0.305399868775065,0,0,67.8367346938775,274.936210768444,"GFAP"
"CPC012 VCAP 24H-BRD-K81795824-10.0","2/83",0.0183241429417303,0.305399868775065,0,0,10.2206790123457,40.8779716326206,"PIK3R3;GRAMD4"
"CPC019 VCAP 24H-BRD-K46373671-10.0","2/84",0.0187414436957379,0.305399868775065,0,0,10.0955284552846,40.1500980524822,"GRAMD4;ADAMTS6"
"LJP006 HS578T 24H-MK-2206-10","2/85",0.0191627543313977,0.305399868775065,0,0,9.97339357429719,39.4426448850601,"BEX1;LRRN3"
"CPC012 ASC 24H-BRD-A20697603-10.0","3/229",0.0195644856434964,0.305399868775065,0,0,5.57070231594803,21.9153619135744,"B3GAT1;ADAMTS6;GFAP"
"CPC019 VCAP 24H-BRD-K86899078-10.0","2/86",0.0195880530452788,0.305399868775065,0,0,9.85416666666667,38.7548158697165,"PIK3R3;ADAMTS6"
"CPC019 VCAP 24H-BRD-K35424586-10.0","2/90",0.0213286953840062,0.305399868775065,0,0,9.40435606060606,36.1851587936506,"GRAMD4;ADAMTS6"
"CPC017 ASC 24H-tws119-10.0","2/91",0.0217736102157897,0.305399868775065,0,0,9.29822097378277,35.5848177883064,"ADAMTS6;GFAP"
"CPC009 PC3 6H-BRD-K51377689-10.0","1/9",0.0222805591236868,0.305399868775065,0,0,50.8724489795918,193.520869933163,"GFAP"
"CPC016 A375 6H-BRD-K37865504-10.0","1/9",0.0222805591236868,0.305399868775065,0,0,50.8724489795918,193.520869933163,"PIK3R3"
"LJP007 HEPG2 24H-KW-2449-10","2/94",0.0231314233527167,0.305399868775065,0,0,8.99365942028986,33.8751872133159,"BEX1;GFAP"
"CPC012 VCAP 24H-BRD-K08307026-10.0","2/96",0.0240556444712905,0.305399868775065,0,0,8.80141843971631,32.8062804628164,"PIK3R3;GRAMD4"
"CPC014 PHH 24H-s1095-10.0","1/10",0.0247259488172581,0.305399868775065,0,0,45.2176870748299,167.301012082339,"GFAP"
"CPC012 A375 6H-stock2s-69948-10.0","1/10",0.0247259488172581,0.305399868775065,0,0,45.2176870748299,167.301012082339,"PIK3R3"
"CPC003 PC3 24H-phenformin hydrochloride-10.0","1/10",0.0247259488172581,0.305399868775065,0,0,45.2176870748299,167.301012082339,"GFAP"
"CPC006 PC3 24H-uk 356618-10.0","1/10",0.0247259488172581,0.305399868775065,0,0,45.2176870748299,167.301012082339,"GFAP"
"CPC015 MCF7 24H-exemestane-10.0","1/11",0.0271653448579924,0.305399868775065,0,0,40.6938775510204,146.734521000359,"PIK3R3"
"CPC015 MCF7 6H-azaperone-10.0","1/11",0.0271653448579924,0.305399868775065,0,0,40.6938775510204,146.734521000359,"PIK3R3"
"CPC012 VCAP 24H-BRD-A51777634-10.0","2/103",0.0274075630593293,0.305399868775065,0,0,8.18853135313531,29.4536255008379,"PIK3R3;GRAMD4"
"CPC011 PC3 6H-tosufloxacin hydrochloride-10.0","1/12",0.0295987615689071,0.305399868775065,0,0,36.9925788497217,130.214719406514,"PIK3R3"
"CPC013 PC3 6H-stock1s-03920-10.0","1/12",0.0295987615689071,0.305399868775065,0,0,36.9925788497217,130.214719406514,"PIK3R3"
"CPC014 VCAP 24H-BRD-A75931230-10.0","2/109",0.0304216645881744,0.305399868775065,0,0,7.72702492211838,26.9874093560095,"PIK3R3;ADAMTS6"
"CPC017 SKB 24H-tyrphostin ag 1478-10.0","2/110",0.0309363405009925,0.305399868775065,0,0,7.65509259259259,26.607752397672,"PIK3R3;GFAP"
"CPC013 VCAP 24H-s1053-10.0","2/111",0.0314544847807964,0.305399868775065,0,0,7.58448012232416,26.2363375894409,"PIK3R3;ADAMTS6"
"LJP008 A549 24H-decitabine-0.37","1/13",0.032026213248763,0.305399868775065,0,0,33.9081632653061,116.684789992962,"BEX1"
"CPC001 PC3 6H-ici-185,282-10.0","1/13",0.032026213248763,0.305399868775065,0,0,33.9081632653061,116.684789992962,"GFAP"
"CPC011 VCAP 6H-formoterol-10.0","1/13",0.032026213248763,0.305399868775065,0,0,33.9081632653061,116.684789992962,"PIK3R3"
"CPC017 HT29 6H-eo 1428-10.0","1/13",0.032026213248763,0.305399868775065,0,0,33.9081632653061,116.684789992962,"GFAP"
"CPC012 VCAP 24H-BRD-K56196992-10.0","2/115",0.0335613506578561,0.305399868775065,0,0,7.31452802359882,24.8282887455063,"PIK3R3;ADAMTS6"
"LJP009 HA1E 24H-PD-0325901-0.37","1/14",0.0344477141698712,0.305399868775065,0,0,31.298273155416,105.422368949113,"BEX1"
"CPC018 A375 6H-piceatannol-10.0","1/14",0.0344477141698712,0.305399868775065,0,0,31.298273155416,105.422368949113,"PIK3R3"
"CPC006 VCAP 24H-4-demethoxydaunorubicin hydrochloride (65)-0.08","2/118",0.0351769550093682,0.305399868775065,0,0,7.1242816091954,23.8475644827565,"PIK3R3;GRAMD4"
"CPC014 VCAP 24H-s1053-10.0","2/119",0.0357221395623332,0.305399868775065,0,0,7.06303418803419,23.5339213317228,"PIK3R3;ADAMTS6"
"CPC010 MCF7 24H-jas07 009-10.0","1/15",0.0368632785936063,0.305399868775065,0,0,29.0612244897959,95.9177159613371,"PIK3R3"
"CPC006 SW620 6H-bo2 (inhibits rad51)-40.0","1/15",0.0368632785936063,0.305399868775065,0,0,29.0612244897959,95.9177159613371,"GFAP"
"CPC002 VCAP 6H-cgp 37157-10.0","1/15",0.0368632785936063,0.305399868775065,0,0,29.0612244897959,95.9177159613371,"PIK3R3"
"CPC006 HCC515 6H-nsc 95397-10.0","1/15",0.0368632785936063,0.305399868775065,0,0,29.0612244897959,95.9177159613371,"GFAP"
"CPD003 MCF7 24H-thiethylperazine dimalate-10.0","1/15",0.0368632785936063,0.305399868775065,0,0,29.0612244897959,95.9177159613371,"PIK3R3"
"CPC013 ASC 24H-s1140-10.0","1/15",0.0368632785936063,0.305399868775065,0,0,29.0612244897959,95.9177159613371,"GFAP"
"LJP006 SKBR3 3H-PD-173074-10","1/15",0.0368632785936063,0.305399868775065,0,0,29.0612244897959,95.9177159613371,"BEX1"
"CPC013 HEPG2 6H-BRD-K97764662-10.0","1/15",0.0368632785936063,0.305399868775065,0,0,29.0612244897959,95.9177159613371,"GFAP"
"CPC008 HT29 6H-mls-0454558.0001-10.0","1/15",0.0368632785936063,0.305399868775065,0,0,29.0612244897959,95.9177159613371,"GFAP"
"CPC014 ASC 24H-geldanamycin-10.0","2/123",0.0379356146383277,0.305399868775065,0,0,6.82816804407713,22.3408434087686,"GRAMD4;GFAP"
"CPC008 VCAP 24H-vu0418947-2-10.0","2/124",0.038497072428768,0.305399868775065,0,0,6.77185792349727,22.0571133394188,"PIK3R3;GRAMD4"
"CPC007 HCC515 6H-trichostatin a-10.0","2/125",0.0390617280151274,0.305399868775065,0,0,6.71646341463415,21.7788856348453,"ADAMTS6;GFAP"
"CPC014 HA1E 6H-s1152-10.0","1/16",0.0392729207344652,0.305399868775065,0,0,27.1224489795918,87.8013353011642,"PIK3R3"
"CPC011 PC3 6H-mirtazepine-10.0","1/16",0.0392729207344652,0.305399868775065,0,0,27.1224489795918,87.8013353011642,"PIK3R3"
"CPC011 VCAP 6H-salbutamol-10.0","1/16",0.0392729207344652,0.305399868775065,0,0,27.1224489795918,87.8013353011642,"PIK3R3"
"LJP006 PC3 24H-PF-562271-3.33","1/16",0.0392729207344652,0.305399868775065,0,0,27.1224489795918,87.8013353011642,"BEX1"
"CPC011 VCAP 24H-irinotecan hydrochloride trihydrate-10.0","2/129",0.0413519534712599,0.305399868775065,0,0,6.50360892388451,20.7181282222583,"PIK3R3;GRAMD4"
"CPC001 PC3 6H-nnc 05-2090 hydrochloride-10.0","1/17",0.0416766547912335,0.305399868775065,0,0,25.4260204081633,80.799167280865,"GFAP"
"CPC012 A375 6H-bas 00535043-10.0","1/17",0.0416766547912335,0.305399868775065,0,0,25.4260204081633,80.799167280865,"PIK3R3"
"LJP006 BT20 3H-BI-2536-3.33","1/17",0.0416766547912335,0.305399868775065,0,0,25.4260204081633,80.799167280865,"MPPED2"
"CPC005 MCF7 6H-penicillic acid-10.0","1/17",0.0416766547912335,0.305399868775065,0,0,25.4260204081633,80.799167280865,"PIK3R3"
"CPC013 SKB 24H-hy-10161-10.0","1/17",0.0416766547912335,0.305399868775065,0,0,25.4260204081633,80.799167280865,"GFAP"
"CPC014 HEPG2 6H-s1173-10.0","1/18",0.0440744949316927,0.305399868775065,0,0,23.9291716686675,74.7038591145848,"GFAP"
"CPC010 A375 6H-8-{[2-oxo-2-(1-pyrrolidinyl)ethyl]thio}quinoline-10.0","1/18",0.0440744949316927,0.305399868775065,0,0,23.9291716686675,74.7038591145848,"PIK3R3"
"CPC008 HT29 6H-ncgc00242335-01-10.0","1/18",0.0440744949316927,0.305399868775065,0,0,23.9291716686675,74.7038591145848,"GFAP"
"CPC008 HT29 6H-ncgc00241435-01-10.0","1/18",0.0440744949316927,0.305399868775065,0,0,23.9291716686675,74.7038591145848,"GFAP"
"CPC008 HT29 6H-vu0365117-1-10.0","1/18",0.0440744949316927,0.305399868775065,0,0,23.9291716686675,74.7038591145848,"GFAP"
"CPC013 PC3 6H-BRD-K69569876-10.0","1/18",0.0440744949316927,0.305399868775065,0,0,23.9291716686675,74.7038591145848,"GFAP"
"LJP007 HEPG2 24H-BMS-777607-1.11","1/18",0.0440744949316927,0.305399868775065,0,0,23.9291716686675,74.7038591145848,"BEX1"
