"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"EPR-BT20","2/154",0.0567455048100272,0.354313300273642,0,0,5.42708333333333,15.5712726420437,"LRRN3;GFAP"
"BFGF-MCF7","2/158",0.0593699722530508,0.354313300273642,0,0,5.28685897435897,14.9299136809085,"BEX1;PIK3R3"
"HRG-MCF7","2/161",0.0613656526664216,0.354313300273642,0,0,5.18632075471698,14.4745285424369,"BEX1;PIK3R3"
"GAS6-HS578T","2/162",0.0620359971863136,0.354313300273642,0,0,5.15364583333333,14.327343946786,"BEX1;LRRN3"
"BTC-HS578T","2/165",0.0640621553999463,0.354313300273642,0,0,5.05802658486708,13.8989587828788,"BEX1;LRRN3"
"BTC-MCF7","2/166",0.064742529036593,0.354313300273642,0,0,5.02693089430894,13.7604037662076,"BEX1;PIK3R3"
"IL1-HS578T","1/142",0.3000204969827,0.354313300273642,0,0,2.86712983065567,3.45175045757094,"BEX1"
"GAS6-BT20","1/147",0.308789408252086,0.354313300273642,0,0,2.76824154319262,3.25294890316625,"BEX1"
"EPG-SKBR3","1/148",0.31053022703461,0.354313300273642,0,0,2.74927113702624,3.21520120387571,"BEX1"
"FGF1-MCF7","1/148",0.31053022703461,0.354313300273642,0,0,2.74927113702624,3.21520120387571,"PIK3R3"
"IGF2-SKBR3","1/150",0.31399898455863,0.354313300273642,0,0,2.71209423366662,3.14159646617035,"LRRN3"
"BTC-MDAMB231","1/152",0.317450637880715,0.354313300273642,0,0,2.67590214893905,3.07041828055456,"LRRN3"
"BNGF-HS578T","1/154",0.320885269622271,0.354313300273642,0,0,2.640656262505,3.00155907202735,"BEX1"
"BNGF-BT20","1/156",0.324302961975654,0.354313300273642,0,0,2.60631994733377,2.93491729206467,"BEX1"
"HBEGF-HS578T","1/156",0.324302961975654,0.354313300273642,0,0,2.60631994733377,2.93491729206467,"BEX1"
"HGF-HS578T","1/156",0.324302961975654,0.354313300273642,0,0,2.60631994733377,2.93491729206467,"BEX1"
"IL6-SKBR3","1/156",0.324302961975654,0.354313300273642,0,0,2.60631994733377,2.93491729206467,"BEX1"
"IL1-MDAMB231","1/158",0.327703796855259,0.354313300273642,0,0,2.57285844274015,2.8703970097526,"BEX1"
"IFNA-SKBR3","1/159",0.329397918202972,0.354313300273642,0,0,2.55644536295531,2.83890389537721,"BEX1"
"HBEGF-BT20","1/159",0.329397918202972,0.354313300273642,0,0,2.55644536295531,2.83890389537721,"GFAP"
"TGFA-HS578T","1/160",0.33108785567924,0.354313300273642,0,0,2.54023873700424,2.80790753816435,"BEX1"
"MCSF-HS578T","1/161",0.332773619413217,0.354313300273642,0,0,2.52423469387755,2.77739736461363,"BEX1"
"TGFA-SKBR3","1/162",0.33445521951201,0.354313300273642,0,0,2.50842945874002,2.74736308712605,"BEX1"
"FGF1-HS578T","1/162",0.33445521951201,0.354313300273642,0,0,2.50842945874002,2.74736308712605,"BEX1"
"BFGF-HS578T","1/163",0.336132666087276,0.354313300273642,0,0,2.49281934996221,2.71779469441579,"BEX1"
"MSP-SKBR3","1/163",0.336132666087276,0.354313300273642,0,0,2.49281934996221,2.71779469441579,"BEX1"
"TNFA-MDAMB231","1/165",0.33947513864042,0.354313300273642,0,0,2.46217023394724,2.66001684959183,"BEX1"
"GDNF-MCF7","1/165",0.33947513864042,0.354313300273642,0,0,2.46217023394724,2.66001684959183,"BEX1"
"EGF-HS578T","1/165",0.33947513864042,0.354313300273642,0,0,2.46217023394724,2.66001684959183,"BEX1"
"IFNA-BT20","1/167",0.342801117260844,0.354313300273642,0,0,2.43225965084829,2.60398893741404,"BEX1"
"IL1-MCF7","1/170",0.347759333321801,0.354313300273642,0,0,2.38872116894095,2.52307385797591,"BEX1"
"BTC-SKBR3","1/170",0.347759333321801,0.354313300273642,0,0,2.38872116894095,2.52307385797591,"PIK3R3"
"IGF2-BT20","1/171",0.349403911180835,0.354313300273642,0,0,2.37454981992797,2.49690250610292,"BEX1"
"EPR-SKBR3","1/172",0.351044425036804,0.354313300273642,0,0,2.36054421768708,2.47111800186849,"PIK3R3"
"IFNG-BT20","1/174",0.354313300273642,0.354313300273642,0,0,2.3330187566356,2.42067896936234,"BEX1"
