"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"HRG-MDAMB231","1/145",0.305294838614257,0.329397918202972,0,0,2.80697278911565,3.33040945482965,"MPPED2"
"GAS6-MDAMB231","1/145",0.305294838614257,0.329397918202972,0,0,2.80697278911565,3.33040945482965,"BEX1"
"EPG-MCF7","1/146",0.307044282279795,0.329397918202972,0,0,2.78747361013371,3.29134653812698,"BEX1"
"IFNA-MDAMB231","1/148",0.31053022703461,0.329397918202972,0,0,2.74927113702624,3.21520120387571,"BEX1"
"MCSF-MDAMB231","1/148",0.31053022703461,0.329397918202972,0,0,2.74927113702624,3.21520120387571,"BEX1"
"TNFA-SKBR3","1/153",0.319170076285828,0.329397918202972,0,0,2.65816326530612,3.0357052873752,"LRRN3"
"IL1-MCF7","1/153",0.319170076285828,0.329397918202972,0,0,2.65816326530612,3.0357052873752,"GFAP"
"EGF-MDAMB231","1/156",0.324302961975654,0.329397918202972,0,0,2.60631994733377,2.93491729206467,"POLR3G"
"IL4-MCF7","1/156",0.324302961975654,0.329397918202972,0,0,2.60631994733377,2.93491729206467,"GFAP"
"GAS6-HS578T","1/159",0.329397918202972,0.329397918202972,0,0,2.55644536295531,2.83890389537721,"GRAMD4"
