"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"nterferon-&Icirc;&plusmn; human keratinocyte GDS4601 ligand:176","2/203",0.0915200219539462,0.635657191806382,0,0,4.09390547263682,9.78933657835959,"GPT2;CD248"
"angiotensin II mouse suprarenal aorta GSE17901 ligand:262","2/230",0.112758612412141,0.635657191806382,0,0,3.60416666666667,7.86611508121161,"BEX1;LRRN3"
"estrogen mouse alpha null aorta GDS3064 ligand:26","3/481",0.118696616965473,0.635657191806382,0,0,2.60019585150895,5.54149703975637,"TMEM37;PIK3R3;SLC25A20"
"TGF-beta1 human IOSE - immortalized ovarian surface epithelial cell line GDS2975 ligand:257","2/297",0.169890821981407,0.635657191806382,0,0,2.77612994350282,4.92096591651014,"LRRN3;CD248"
"testosterone mouse bed nucleus of the stria terminalis/preoptic area GSE49986 ligand:282","2/300",0.172558756660956,0.635657191806382,0,0,2.74776286353468,4.82786738812527,"CACHD1;PIK3R3"
"interleukin-6 human prostate fibroblasts GSE68164 ligand:238","2/305",0.177021209847455,0.635657191806382,0,0,2.70173267326733,4.67801155366643,"GRAMD4;ADAMTS6"
"estrogen mouse aorta GDS3064 ligand:25","2/311",0.1824009659887,0.635657191806382,0,0,2.64846278317152,4.50648630114333,"BEX1;SLC25A20"
"All-trans-retinoic acid human NB4 APL cells GDS4180 ligand:190","2/340",0.208725318555379,0.635657191806382,0,0,2.41765285996055,3.78782415006548,"POLR3G;KCNQ5"
"All-trans-retinoic acid human NB4 APL cells GDS4180 ligand:187","2/348",0.216063498855414,0.635657191806382,0,0,2.36078998073218,3.61716212943,"POLR3G;KCNQ5"
"Interleukin 1, beta human amnion mesenchymal cells (AMC) GDS4595 ligand:24","1/157",0.326005481520818,0.635657191806382,0,0,2.5894819466248,2.90239775017796,"BEX1"
"TGF-beta1 human IOSE - immortalized ovarian surface epithelial cell line GDS2975 ligand:255","1/168",0.344457946244357,0.635657191806382,0,0,2.41757301723084,2.57660887054472,"LRRN3"
"17beta-estradiol mouse cervical tissue GSE46890 ligand:118","1/198",0.392303092169255,0.635657191806382,0,0,2.04630684761214,1.91477135590819,"KLHL4"
"interleukin-17 human keratinocyte GDS4601 ligand:180","1/204",0.401452901059541,0.635657191806382,0,0,1.98522167487685,1.81184245886508,"CD248"
"estradiol human MCF-7 cells GSE46924 ligand:163","1/206",0.404472729172713,0.635657191806382,0,0,1.96565455450473,1.77925342674423,"PIK3R3"
"estradiol human estrogen receptor (ER)-positive MCF7 breast cancer cells GDS3217 ligand:39","1/210",0.410467659807882,0.635657191806382,0,0,1.92764378478664,1.71648609076829,"PIK3R3"
"interferon-y human keratinocyte GDS4601 ligand:177","1/217",0.420816794239308,0.635657191806382,0,0,1.86451247165533,1.61384314167217,"BEX1"
"leptin mouse liver GDS3653 ligand:276","1/218",0.422280632119603,0.635657191806382,0,0,1.85582620144832,1.59988026667105,"GPT2"
"calcium(2+) mouse blastocyst GDS3293 ligand:281","1/223",0.429545608152168,0.635657191806382,0,0,1.81356867071153,1.53251513556169,"BEX1"
"angiotensin II mouse suprarenal aorta GSE17901 ligand:260","1/228",0.436721029557932,0.635657191806382,0,0,1.77317270520543,1.46900383679985,"LRRN3"
"17beta-estradiol mouse uterus GDS1058 ligand:35","1/234",0.445214845304906,0.635657191806382,0,0,1.72698607339932,1.39747422042903,"CACHD1"
"Interleukin-1B human myometrium GSE68171 ligand:241","1/238",0.45080752247898,0.635657191806382,0,0,1.69749418754844,1.35241875911127,"KLHL4"
"estradiol human MCF-7 cells GSE23610 ligand:131","1/241",0.454965735127516,0.635657191806382,0,0,1.67602040816327,1.3199216654931,"PIK3R3"
"estradiol human MCF-7 cells GDS4052 ligand:268","1/242",0.456344937328863,0.635657191806382,0,0,1.66898128546024,1.30932635624915,"PIK3R3"
"17beta-estradiol human MCF-7 cells GSE5840 ligand:84","1/247",0.463189807755595,0.635657191806382,0,0,1.63464410154306,1.25805210762319,"PIK3R3"
"TGF-beta1 human IOSE - immortalized ovarian surface epithelial cell line GDS2975 ligand:256","1/250",0.467256114895877,0.635657191806382,0,0,1.61470371281043,1.22859212104529,"LRRN3"
"Thyroid hormone mouse Cerebellar neuronal cell GDS4484 ligand:169","1/250",0.467256114895877,0.635657191806382,0,0,1.61470371281043,1.22859212104529,"LRRN3"
"17beta-estradiol human MCF-7 cells GSE11791 ligand:153","1/251",0.468604830682944,0.635657191806382,0,0,1.60816326530612,1.21898042864121,"PIK3R3"
"17beta-estradiol mouse cervical tissue GSE46890 ligand:119","1/252",0.469950200110314,0.635657191806382,0,0,1.60167493292138,1.2094704650298,"KLHL4"
