"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"angiotensin II mouse suprarenal aorta GSE17901 ligand:261","3/338",0.0523702830437479,0.687374821536503,0,0,3.73737694506192,11.0230792327738,"VMO1;BEX1;CD248"
"Interleukin-8 (IL-8) human immature dendritic cells GDS4567 ligand:74","2/285",0.159296282132805,0.687374821536503,0,0,2.8956124852768,5.3192094451915,"XGY2;FSCN2"
"TGF-beta human A549 epithelial cells GDS3710 ligand:254","2/307",0.178811539184851,0.687374821536503,0,0,2.68374316939891,4.61985689986486,"CACHD1;ADAMTS6"
"estradiol human endometrium GDS3313 ligand:270","2/307",0.178811539184851,0.687374821536503,0,0,2.68374316939891,4.61985689986486,"PIK3R3;CD248"
"estradiol human MCF7cells GSE33287 ligand:82","2/311",0.1824009659887,0.687374821536503,0,0,2.64846278317152,4.50648630114333,"RNU1-3;GPT2"
"Interleukin 17C human keratinocyte GDS4807 ligand:172","2/315",0.186001606438318,0.687374821536503,0,0,2.61408413205538,4.39688942788089,"CBX3P2;B3GAT1"
"Interleukin-17A human smooth muscle GDS4803 ligand:175","2/330",0.199594367149258,0.687374821536503,0,0,2.49263211382114,4.01679722668684,"ZNF683;POLR3G"
"Insulin mouse Kidney GDS4839 ligand:164","2/344",0.21239098706632,0.687374821536503,0,0,2.38888888888889,3.70116868024614,"BEX1;SLC25A20"
"Thyroid hormone mouse Cerebellar neuronal cell GDS4484 ligand:169","2/350",0.217902168213717,0.687374821536503,0,0,2.34698275862069,3.57611895536196,"BEX1;SLC4A10"
"angiotensin II mouse suprarenal aorta GSE17901 ligand:260","2/372",0.238215565487554,0.687374821536503,0,0,2.20495495495495,3.16318268708253,"CD248;ADAMTS6"
"calcitriol human RWPE1 prostate epithelial cell line GDS3761 ligand:192","2/381",0.246561263525648,0.687374821536503,0,0,2.15160510114336,3.01255865702494,"TMEM37;GRAMD4"
"17beta-estradiol human MCF-7 cells GSE8597 ligand:258","2/402",0.266078824339558,0.687374821536503,0,0,2.03645833333333,2.69619483677009,"MPPED2;GRAMD4"
"estradiol mouse mammary gland GSE48884 ligand:115","2/442",0.303256612293559,0.687374821536503,0,0,1.84753787878788,2.20443772051674,"BEX1;CD248"
"interleukin-1&Icirc;&sup2; human fibroblast GDS4539 ligand:208","2/445",0.306037498740937,0.687374821536503,0,0,1.83474416854778,2.17242450209895,"CACHD1;ADAMTS6"
"estradiol mouse uterus GSE23072 ligand:77","1/181",0.365627787236742,0.687374821536503,0,0,2.24149659863946,2.25525812761591,"GPT2"
"Thyroid hormone human Endometrial cells GDS4987 ligand:168","1/222",0.42809981215791,0.687374821536503,0,0,1.82186720842183,1.54567014397397,"CACHD1"
"estradiol human MCF-7 breast cancer cells GDS3105 ligand:38","1/229",0.438145462697151,0.687374821536503,0,0,1.76530612244898,1.45673823329454,"MPPED2"
"morphogenetic protein 4 (BMP-4) mouse C3H10T1/2 (10T1/2) stem cells committed to the adipocyte lineage GDS3025 ligand:8","1/244",0.459093088770935,0.687374821536503,0,0,1.65507684555304,1.28848110065931,"PIK3R3"
"TGF-beta human prostate fibroblasts GSE68164 ligand:240","1/248",0.464548611566443,0.687374821536503,0,0,1.62794348508634,1.24812648094044,"ADAMTS6"
"insulin-like growth factor I (IGF-I) human MCF-7 cells GSE26834 ligand:136","1/263",0.484530717210336,0.687374821536503,0,0,1.53357220750896,1.11118723855502,"POLR3G"
"estradiol human MCF7cells GSE33287 ligand:81","1/266",0.488438525228419,0.687374821536503,0,0,1.51597997689642,1.08626280822072,"FGFBP2"
