"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Fadrozole","1/6",0.0149082847993736,0.16011893093201,0,0,81.4081632653061,342.389562344484,"GFAP"
"TRPV Agonist","1/16",0.0392729207344652,0.16011893093201,0,0,27.1224489795918,87.8013353011642,"GFAP"
"Pioglitazone","1/16",0.0392729207344652,0.16011893093201,0,0,27.1224489795918,87.8013353011642,"GFAP"
"Nimodipine","1/16",0.0392729207344652,0.16011893093201,0,0,27.1224489795918,87.8013353011642,"GFAP"
"Capsaicin","1/16",0.0392729207344652,0.16011893093201,0,0,27.1224489795918,87.8013353011642,"GFAP"
"Phenelzine","1/17",0.0416766547912335,0.16011893093201,0,0,25.4260204081633,80.799167280865,"GPT2"
"Propranolol","1/17",0.0416766547912335,0.16011893093201,0,0,25.4260204081633,80.799167280865,"GFAP"
"Follicular Lymphoma","1/18",0.0440744949316927,0.16011893093201,0,0,23.9291716686675,74.7038591145848,"PIK3R3"
"Copanlisib","1/18",0.0440744949316927,0.16011893093201,0,0,23.9291716686675,74.7038591145848,"PIK3R3"
"Methimazole","1/18",0.0440744949316927,0.16011893093201,0,0,23.9291716686675,74.7038591145848,"GFAP"
"Nevirapine","1/22",0.0536071985992548,0.16011893093201,0,0,19.3673469387755,56.6702499978695,"POLR3G"
"PI3K Inhibitor","1/33",0.0793443657059371,0.16011893093201,0,0,12.702806122449,32.1883751655927,"PIK3R3"
"Alpelisib","1/33",0.0793443657059371,0.16011893093201,0,0,12.702806122449,32.1883751655927,"PIK3R3"
"Melatonin","1/34",0.0816498044624026,0.16011893093201,0,0,12.317254174397,30.8586121657323,"GFAP"
"Sleep Cycle Support","1/34",0.0816498044624026,0.16011893093201,0,0,12.317254174397,30.8586121657323,"GFAP"
"Nitric Oxide Synthase Inhibitor","1/34",0.0816498044624026,0.16011893093201,0,0,12.317254174397,30.8586121657323,"GFAP"
"Pentoxifylline","1/36",0.0862437219743076,0.16011893093201,0,0,11.6122448979592,28.4567120450411,"GFAP"
"Virus Herpes Simplex HSV","1/39",0.0930924017046572,0.16011893093201,0,0,10.6938775510204,25.3890053323137,"KCNQ5"
"Hydrocortisone","1/39",0.0930924017046572,0.16011893093201,0,0,10.6938775510204,25.3890053323137,"DEFA1"
"Restless Leg Syndrome","1/39",0.0930924017046572,0.16011893093201,0,0,10.6938775510204,25.3890053323137,"KCNQ5"
"Aldehyde Dehydrogenase Inhibitor","1/39",0.0930924017046572,0.16011893093201,0,0,10.6938775510204,25.3890053323137,"GFAP"
"Disulfiram","1/39",0.0930924017046572,0.16011893093201,0,0,10.6938775510204,25.3890053323137,"GFAP"
"ATC Code P03A","1/39",0.0930924017046572,0.16011893093201,0,0,10.6938775510204,25.3890053323137,"GFAP"
"Gabapentin","1/39",0.0930924017046572,0.16011893093201,0,0,10.6938775510204,25.3890053323137,"KCNQ5"
"Itching","1/39",0.0930924017046572,0.16011893093201,0,0,10.6938775510204,25.3890053323137,"DEFA1"
"Dalfampridine","1/46",0.108877622208567,0.163367439295928,0,0,9.02721088435374,20.0181178087303,"KCNQ5"
"Colchicine","1/49",0.115559999022241,0.163367439295928,0,0,8.46173469387755,18.2601307935979,"GFAP"
"Protein Synthesis Stimulant","1/50",0.117776526004041,0.163367439295928,0,0,8.28862973760933,17.7290996615035,"GFAP"
"ATC Code A14A","1/50",0.117776526004041,0.163367439295928,0,0,8.28862973760933,17.7290996615035,"GFAP"
"Irinotecan","1/50",0.117776526004041,0.163367439295928,0,0,8.28862973760933,17.7290996615035,"KCNQ5"
"Dehydroepiandrosterone","1/50",0.117776526004041,0.163367439295928,0,0,8.28862973760933,17.7290996615035,"GFAP"
"Nifedipine","1/57",0.133140512285209,0.173486122068606,0,0,7.25,14.6185391319657,"GFAP"
"Caffeine","1/57",0.133140512285209,0.173486122068606,0,0,7.25,14.6185391319657,"GFAP"
"Primary Dysmenorrhea PD","1/63",0.146100703414545,0.179495149909299,0,0,6.54641211323239,12.5917562502396,"KCNQ5"
"Celecoxib","1/63",0.146100703414545,0.179495149909299,0,0,6.54641211323239,12.5917562502396,"KCNQ5"
"Progesterone","1/74",0.169369691826634,0.198087702903643,0,0,5.55689124965054,9.86721301833061,"GFAP"
"Polar Auxin Transport Inhibitor","1/84",0.189983356911436,0.198087702903643,0,0,4.88492746496189,8.1129793990771,"PIK3R3"
"Quercetin","1/84",0.189983356911436,0.198087702903643,0,0,4.88492746496189,8.1129793990771,"PIK3R3"
"Fever","1/88",0.198087702903643,0.198087702903643,0,0,4.65939479239972,7.54377171660372,"GFAP"
"Muscle Pain","1/88",0.198087702903643,0.198087702903643,0,0,4.65939479239972,7.54377171660372,"GFAP"
"ATC Code N02B","1/88",0.198087702903643,0.198087702903643,0,0,4.65939479239972,7.54377171660372,"GFAP"
"Toothache","1/88",0.198087702903643,0.198087702903643,0,0,4.65939479239972,7.54377171660372,"GFAP"
"Aspirin","1/88",0.198087702903643,0.198087702903643,0,0,4.65939479239972,7.54377171660372,"GFAP"
