"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Erythroid Progenitors 3 Paul Et Al. 2015","1/90",0.202110023192397,0.997682339608413,0,0,4.55423068103646,7.28195554376981,"CACHD1"
"Erythroid Progenitors 2 Paul Et Al. 2015","1/135",0.287560616697061,0.997682339608413,0,0,3.01797136765154,3.76136290453997,"CD248"
"Basophil 13 Paul Et Al. 2015","1/215",0.417878205464447,0.997682339608413,0,0,1.88212855235552,1.64227999604279,"GPT2"
"RETNLA+ Interstitial Macrophages 3 Culemann Et Al. 2019","1/251",0.468604830682944,0.997682339608413,0,0,1.60816326530612,1.21898042864121,"TMEM37"
"Kupffer Cells & Spleen M? 2 Lavin Et Al. 2014","1/262",0.48322162506876,0.997682339608413,0,0,1.5395261552897,1.11966639669925,"TMEM37"
"CX3CR1+ Lining Macrophages 2 Culemann Et Al. 2019","1/296",0.525953938399227,0.997682339608413,0,0,1.35973711518506,0.8736877155004,"TMEM37"
"Ly6c Hi And Lo Recruited Macrophages 2 Seidman Et Al. 2020","2/791",0.593595469454201,0.997682339608413,0,0,1.01188212927757,0.527754429786682,"GRAMD4;GIMAP3P"
"Day 1 post-MI 1 Mouton Et Al. 2018","1/470",0.695930778067256,0.997682339608413,0,0,0.847700274139507,0.307295656026781,"SLC25A20"
"Healthy Kupffer Cells 1 Seidman Et Al. 2020","1/522",0.733923933398625,0.997682339608413,0,0,0.761056053899487,0.235432605575717,"TMEM37"
"Embryonic 2 5 Thion Et Al. 2018","3/1507",0.73747922496864,0.997682339608413,0,0,0.782848574015392,0.238390981586125,"GPT2;B3GAT1;GFAP"
"Day 3 post-MI 2 Mouton Et Al. 2018","2/1067",0.754178229546935,0.997682339608413,0,0,0.738849765258216,0.208449142775225,"TMEM37;CACHD1"
"Eosinophil 18 Paul Et Al. 2015","1/610",0.787893178875825,0.997682339608413,0,0,0.648135116115412,0.154510717962309,"KCNQ5"
"Progenitor 2 2 Thion Et Al. 2018","2/1467",0.890379518924668,0.997682339608413,0,0,0.525739476678043,0.0610422865051845,"POLR3G;GRAMD4"
"Progenitor 1 1 Thion Et Al. 2018","1/896",0.899197327721127,0.997682339608413,0,0,0.434500057006043,0.0461668353552729,"BEX1"
"Progenitor 3 3 Thion Et Al. 2018","1/1330",0.968096140696754,0.997682339608413,0,0,0.285944626157461,0.00927143359772422,"SLC25A20"
"Monocyte-derived 3 Misharin Et Al. 2017","1/1407",0.974058829490979,0.997682339608413,0,0,0.269167126309983,0.00707467496440171,"TMEM37"
"AM Differentiation 1 Misharin Et Al. 2017","3/2957",0.984466722665787,0.997682339608413,0,0,0.367248159725723,0.00574933704698241,"GPT2;PIK3R3;POLR3G"
"Adult 1 6 Thion Et Al. 2018","1/1623",0.985547562994736,0.997682339608413,0,0,0.230604695639045,0.00335711796521795,"ADAMTS6"
"Early Fibrosis 4 Misharin Et Al. 2017","1/1797",0.991023098225646,0.997682339608413,0,0,0.20628607790555,0.00186017169625657,"SLC25A20"
"Late Fibrosis 5 Misharin Et Al. 2017","1/2113",0.996263102739786,0.997682339608413,0,0,0.172367810760668,0.000645327313088585,"GRAMD4"
"Infiltrating Monocytes 2 Misharin Et Al. 2017","1/2283",0.997682339608413,0.997682339608413,0,0,0.158006760986603,0.000366631038965415,"ADAMTS6"
