"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"hypoxia GSE27813 mcf7:313","4/284",0.00549019497772258,0.422745013284639,0,0,6.10869565217391,31.7944872616434,"RNU1-3;RNU1-1;RNVU1-18;MPPED2"
"hypoxia GSE27813 mcf7:312","3/291",0.0361751262710111,0.627630235541063,0,0,4.35771276595745,14.4649199223923,"RNU1-3;RNVU1-18;MPPED2"
"Progesterone receptor isoform B  GSE45643 mcf7:214","3/295",0.0374344170903248,0.627630235541063,0,0,4.29714368988633,14.1168249957624,"RNU1-3;RNVU1-18;GRAMD4"
"SIN3A GDS4388 mcf7:122","3/463",0.109100161312196,0.627630235541063,0,0,2.70444033302498,5.99165755900796,"BEX1;MPPED2;GRAMD4"
"Diphenylbenzo[g]quinoxaline-5,10 GSE73710 mcf7:478","2/243",0.123405637318928,0.627630235541063,0,0,3.40750345781466,7.12944617322331,"MPPED2;PIK3R3"
"E2 6 hrs GSE45643 mcf7:213","2/244",0.124234782371999,0.627630235541063,0,0,3.39325068870523,7.07690288830453,"RNU1-3;RNVU1-18"
"FGF10 6hr GSE74663 mcf7:473","2/254",0.132600722140368,0.627630235541063,0,0,3.25694444444444,6.58037209866169,"RNU1-3;RNVU1-18"
"AM580 GSE42619 mcf7:275","2/284",0.15841931421733,0.627630235541063,0,0,2.90602836879433,5.35438596317677,"SLC4A10;SLC25A20"
"NFKB1 siRNA GSE31912 mcf7:133","2/289",0.162813507341039,0.627630235541063,0,0,2.85467479674797,5.18166255746313,"TMC1;FSCN2"
"siRNA-mediated silencing of the estrogen receptor alpha (ER-alpha) GDS4061 mcf7:113","2/290",0.163695102832776,0.627630235541063,0,0,2.84461805555556,5.14804670267197,"MPPED2;PIK3R3"
"miRNA-222 knockdown GSE19777 mcf7:34","2/291",0.16457759442045,0.627630235541063,0,0,2.834630911188,5.11473182520028,"CBX3P2;MPPED2"
"doxorubicin GDS4084 mcf7:123","2/296",0.169003156003678,0.627630235541063,0,0,2.78571428571429,4.95254840689734,"MPPED2;PIK3R3"
"Leptin GSE58059 mcf7:189","2/299",0.171668631723609,0.627630235541063,0,0,2.75715488215488,4.8586286115301,"TMC1;BEX1"
"miRNA-221 knockdown GSE19777 mcf7:33","2/311",0.1824009659887,0.627630235541063,0,0,2.64846278317152,4.50648630114333,"XGY2;B3GAT1"
"resveratrol GSE25412 mcf7:311","2/406",0.26979995409647,0.627630235541063,0,0,2.01588283828383,2.6409567122034,"SLC4A10;KLHL4"
"MTDH WT siRNA GSE59055 mcf7:220","1/130",0.278527890347267,0.627630235541063,0,0,3.13573801613669,4.00821660462478,"GRAMD4"
"14-3-3 overexpression GSE37139 mcf7:434","2/460",0.319913397178,0.627630235541063,0,0,1.77328966521106,2.0210270156709,"MPPED2;KLHL4"
"TNFa 20 min + 14-3-3 overexpress GSE37139 mcf7:437","2/461",0.320836533082931,0.627630235541063,0,0,1.76933551198257,2.01142223946532,"MPPED2;KLHL4"
"MTDH isoform siRNA GSE59055 mcf7:221","1/183",0.368824653227882,0.627630235541063,0,0,2.21664050235479,2.21095247511773,"GRAMD4"
"Tumor Necrosis Factor &Icirc;&pl GSE24065 mcf7:494","1/186",0.373590370380814,0.627630235541063,0,0,2.18036403750689,2.14677628864992,"SLC4A10"
"gamma-tocotrienol (gamma-T3) GDS4059 mcf7:152","1/195",0.387676925856526,0.627630235541063,0,0,2.07826635808963,1.96932976967533,"PIK3R3"
"4-hydroxytamoxifen 100 nM GSE26298 mcf7:27","1/199",0.393837522527261,0.627630235541063,0,0,2.03586889301175,1.89705690654597,"PIK3R3"
"estradiol GSE46924 mcf7:467","1/206",0.404472729172713,0.627630235541063,0,0,1.96565455450473,1.77925342674423,"PIK3R3"
"estradiol GSE11352 mcf7:62","1/210",0.410467659807882,0.627630235541063,0,0,1.92764378478664,1.71648609076829,"PIK3R3"
"estradiol GSE46856 mcf7:355","1/211",0.411957127285353,0.627630235541063,0,0,1.91836734693878,1.70127721496363,"PIK3R3"
"TSC2 shRNA GSE68324 mcf7:211","1/211",0.411957127285353,0.627630235541063,0,0,1.91836734693878,1.70127721496363,"FGFBP2"
"100ng/mL EGF 3 hrs GSE39417 mcf7:484","1/211",0.411957127285353,0.627630235541063,0,0,1.91836734693878,1.70127721496363,"PIK3R3"
"PI-103 for 6hrs GSE56579 mcf7:224","1/231",0.440983746701717,0.627630235541063,0,0,1.74977817213842,1.43262608363693,"PIK3R3"
"17&Icirc;&sup2;-estradiol and et GSE46924 mcf7:10","1/232",0.442397614703089,0.627630235541063,0,0,1.74211502782931,1.42077532663727,"TMC1"
"E2 6 hrs GSE46856 mcf7:229","1/232",0.442397614703089,0.627630235541063,0,0,1.74211502782931,1.42077532663727,"PIK3R3"
"17beta-estradiol GSE4668 mcf7:73","1/233",0.443807978075662,0.627630235541063,0,0,1.73451794510908,1.40905870776355,"PIK3R3"
"estrogen GSE48927 mcf7:197","1/239",0.452197036013547,0.627630235541063,0,0,1.69027611044418,1.34146612418044,"PIK3R3"
"estradiol GSE23610 mcf7:462","1/241",0.454965735127516,0.627630235541063,0,0,1.67602040816327,1.3199216654931,"PIK3R3"
"SPDEF shRNA GSE40985 mcf7:137","1/242",0.456344937328863,0.627630235541063,0,0,1.66898128546024,1.30932635624915,"MPPED2"
"estradiol GSE24592 mcf7:39","1/242",0.456344937328863,0.627630235541063,0,0,1.66898128546024,1.30932635624915,"PIK3R3"
"17beta-estradiol GSE5840 mcf7:460","1/247",0.463189807755595,0.627630235541063,0,0,1.63464410154306,1.25805210762319,"PIK3R3"
