"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"hyperthermicshock GSE48398 mcf7:354","3/111",0.00269753484547723,0.194365645750979,0,0,11.7269503546099,69.3698008199861,"RNU1-3;RNU1-1;RNVU1-18"
"SMC3 siRNA GSE38252 mcf7:351","4/298",0.00649453527694802,0.194365645750979,0,0,5.81366459627329,29.282232016427,"RNU1-3;RNU1-1;RNVU1-18;GRAMD4"
"E2 100 nM for 10 hrs  GSE24065 mcf7:491","4/311",0.00753050738799916,0.194365645750979,0,0,5.5638011613086,27.2002713764869,"FGFBP2;MPPED2;SLC4A10;POLR3G"
"SMC3 siRNA + 6  hrs GSE38252 mcf7:352","4/326",0.00885525884318376,0.194365645750979,0,0,5.30056710775047,25.0544225904522,"RNU1-3;RNU1-1;RNVU1-18;GRAMD4"
"GW3965 48 hrs GSE34987 mcf7:483","4/338",0.0100188477191226,0.194365645750979,0,0,5.10700338453528,23.5090032492559,"RNU1-3;RNU1-1;RNVU1-18;GPT2"
"LRH-1 shRNA GSE54891 mcf7:227","3/263",0.0279938012895601,0.434165309975937,0,0,4.83387888707038,17.284849625725,"RNU1-3;RNU1-1;RNVU1-18"
"BYL-719 GSE64033 mcf7:158","3/302",0.0396921142190313,0.434165309975937,0,0,4.19504732085676,13.5357512021428,"RNU1-3;RNU1-1;RNVU1-18"
"MED12 siRNA + E2 6 hrs GSE38252 mcf7:350","3/305",0.0406806251685393,0.434165309975937,0,0,4.15274059461744,13.2970892539595,"RNU1-3;RNU1-1;RNVU1-18"
"siPBX1 GSE39417 mcf7:485","3/315",0.0440657447348762,0.434165309975937,0,0,4.01759410801964,12.5432203288878,"RNU1-3;RNU1-1;RNVU1-18"
"AZD5363 GSE69893 mcf7:192","3/317",0.0447593103067976,0.434165309975937,0,0,3.99159777747662,12.3997220844826,"RNU1-3;RNU1-1;RNVU1-18"
"MED12 siRNA GSE38252 mcf7:349","3/336",0.0516198170507826,0.455192932175083,0,0,3.76020701552616,11.1446881673728,"RNU1-3;RNU1-1;RNVU1-18"
"E2 1 nM for 10 hrs  GSE24065 mcf7:492","3/360",0.0609739018846956,0.479464815588055,0,0,3.50312891113892,9.79933523746336,"FGFBP2;MPPED2;POLR3G"
"E2 6 hrs GSE46856 mcf7:229","3/368",0.0642581711612857,0.479464815588055,0,0,3.42494899446226,9.40095886860737,"FGFBP2;MPPED2;POLR3G"
"RBM38 siRNA  GSE32301 mcf7:486","2/227",0.110338037227829,0.65079683119277,0,0,3.65277777777778,8.0514767388936,"KLHL4;GRAMD4"
"tamoxifen GDS3105 mcf7:100","2/230",0.112758612412141,0.65079683119277,0,0,3.60416666666667,7.86611508121161,"MPPED2;PIK3R3"
"Withaferin A (700 nM) GSE53049 mcf7:225","2/261",0.138533371176054,0.65079683119277,0,0,3.16779279279279,6.26159872880815,"RNU1-3;RNVU1-18"
"Estrogen GSE31118 mcf7:12","2/290",0.163695102832776,0.65079683119277,0,0,2.84461805555556,5.14804670267197,"BEX1;SLC4A10"
"siPBX1 treated with DMSO GSE28006 mcf7:488","2/295",0.168116328539063,0.65079683119277,0,0,2.79536405005688,4.98441114256764,"TMEM37;DEFA1"
"doxorubicin GSE50650 mcf7:358","2/306",0.177916001643123,0.65079683119277,0,0,2.69270833333333,4.64880944829168,"TMEM37;PIK3R3"
"SRA1 GSE20081 mcf7:129","2/309",0.18060481525491,0.65079683119277,0,0,2.66598805646037,4.56268919882027,"GPT2;GRAMD4"
"NFKB1 siRNA GSE31912 mcf7:133","2/311",0.1824009659887,0.65079683119277,0,0,2.64846278317152,4.50648630114333,"ZNF683;GPT2"
"estradiol GSE33287 mcf7:329","2/311",0.1824009659887,0.65079683119277,0,0,2.64846278317152,4.50648630114333,"RNU1-3;GPT2"
"ESR1 overexpression GSE51448 mcf7:342","2/321",0.191422361924153,0.65079683119277,0,0,2.56413270637409,4.23921130347532,"RNU1-1;RNVU1-18"
