"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"MP0002102 abnormal ear morphology ","1/16",0.0392729207344652,0.651910302708631,0,0,27.1224489795918,87.8013353011642,"TMC1"
"MP0005167 abnormal blood-brain barrier ","1/19",0.0464664552952436,0.651910302708631,0,0,22.5986394557823,69.3557808280063,"GFAP"
"MP0004043 abnormal pH regulation ","1/22",0.0536071985992548,0.651910302708631,0,0,19.3673469387755,56.6702499978695,"SLC4A10"
"MP0002063 abnormal learning/memory/cond ","3/404",0.0800241417045532,0.651910302708631,0,0,3.11174192179127,7.85847681279482,"B3GAT1;SLC4A10;GFAP"
"MP0002332 abnormal exercise endurance ","1/34",0.0816498044624026,0.651910302708631,0,0,12.317254174397,30.8586121657323,"BEX1"
"MP0000750 abnormal muscle regeneration ","1/37",0.0885322278902677,0.651910302708631,0,0,11.2891156462585,27.3692036867235,"BEX1"
"MP0003690 abnormal glial cell ","1/44",0.104395242464778,0.651910302708631,0,0,9.44803037494067,21.3484970941598,"GFAP"
"MP0000026 abnormal inner ear ","2/230",0.112758612412141,0.651910302708631,0,0,3.60416666666667,7.86611508121161,"TMC1;FSCN2"
"MP0001963 abnormal hearing physiology ","2/291",0.16457759442045,0.651910302708631,0,0,2.834630911188,5.11473182520028,"TMC1;FSCN2"
"MP0005165 increased susceptibility to ","1/73",0.167280269123171,0.651910302708631,0,0,5.6343537414966,10.0747012408884,"GFAP"
"MP0001915 intracranial hemorrhage ","1/75",0.171453976440458,0.651910302708631,0,0,5.4815223386652,9.66633798573148,"GFAP"
"MP0004811 abnormal neuron physiology ","2/310",0.181502535739734,0.651910302708631,0,0,2.65719696969697,4.53446850958879,"SLC4A10;GFAP"
"MP0002064 seizures ","2/324",0.19414114235281,0.651910302708631,0,0,2.53985507246377,4.16325384937731,"SLC4A10;GFAP"
"MP0009745 abnormal behavioral response ","2/326",0.19595661906358,0.651910302708631,0,0,2.52391975308642,4.11364083491346,"SLC4A10;GFAP"
