"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"MP0002102 abnormal ear morphology ","2/369",0.235437482383398,0.998080165180118,0,0,2.22331970935513,3.21560923614815,"TMC1;FSCN2"
"MP0003878 abnormal ear physiology ","2/399",0.263288332052941,0.998080165180118,0,0,2.05216204869857,2.73862159778781,"TMC1;FSCN2"
"MP0010639 altered tumor pathology ","1/165",0.33947513864042,0.998080165180118,0,0,2.46217023394724,2.66001684959183,"CD248"
"MP0002106 abnormal muscle physiology ","2/671",0.50361465644667,0.998080165180118,0,0,1.20085949177877,0.823722211783762,"BEX1;GFAP"
"MP0005253 abnormal eye physiology ","1/329",0.564109658900554,0.998080165180118,0,0,1.22088103534097,0.698962469725785,"FSCN2"
"MP0005164 abnormal response to ","1/342",0.578299623752377,0.998080165180118,0,0,1.17355915973427,0.64271512306346,"GFAP"
"MP0005266 abnormal metabolism ","1/437",0.669113600184839,0.998080165180118,0,0,0.913405729264183,0.367007725734126,"BEX1"
"MP0003633 abnormal nervous system ","3/1361",0.670595691645369,0.998080165180118,0,0,0.873875849967098,0.349191063056729,"B3GAT1;SLC4A10;GFAP"
"MP0003632 abnormal nervous system ","4/1867",0.698512103841897,0.998080165180118,0,0,0.844220401876356,0.302908620456949,"TMC1;SLC4A10;FSCN2;GFAP"
"MP0004924 abnormal behavior ","4/2336",0.850930679520479,0.998080165180118,0,0,0.656946826758148,0.106047386219491,"TMC1;B3GAT1;SLC4A10;GFAP"
"MP0002092 abnormal eye morphology ","1/939",0.909951047626572,0.998080165180118,0,0,0.4136460554371,0.0390334927475822,"FSCN2"
"MP0001544 abnormal cardiovascular syste ","1/1130",0.945610778306116,0.998080165180118,0,0,0.340214385134036,0.0190262288903189,"GFAP"
"MP0005621 abnormal cell physiology ","1/1159",0.949641456273539,0.998080165180118,0,0,0.331183250502273,0.0171124969012979,"GFAP"
"MP0002127 abnormal cardiovascular syste ","1/1223",0.957528954448765,0.998080165180118,0,0,0.312769297571729,0.0135739744409575,"GFAP"
"MP0002169 no abnormal phenotype ","1/1371",0.971421123248701,0.998080165180118,0,0,0.276776403992254,0.00802518833672561,"GFAP"
"MP0002873 normal phenotype ","1/1371",0.971421123248701,0.998080165180118,0,0,0.276776403992254,0.00802518833672561,"GFAP"
"MP0000001 mammalian phenotype ","1/1459",0.977452460633745,0.998080165180118,0,0,0.258839338204418,0.00590299208719304,"GFAP"
"MP0002089 abnormal postnatal growth/wei ","2/2459",0.988721890131502,0.998080165180118,0,0,0.296652421652422,0.00336468813243562,"SLC4A10;GFAP"
"MP0001764 abnormal homeostasis ","2/2652",0.993004197125805,0.998080165180118,0,0,0.272012578616352,0.00190963390617408,"SLC4A10;GFAP"
"MP0001790 abnormal immune system ","1/2039",0.995405616328932,0.998080165180118,0,0,0.179367527187519,0.00082598213371886,"GFAP"
"MP0010769 abnormal survival ","2/3156",0.998080165180118,0.998080165180118,0,0,0.221887550200803,0.000426396881856786,"SLC4A10;GFAP"
