"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"impaired hearing MP:0006325","3/101",0.00206243076032719,0.19520371362927,0,0,12.9300911854103,79.9580031218518,"TMC1;SLC4A10;FSCN2"
"ductus venosus stenosis MP:0013842","1/6",0.0149082847993736,0.19520371362927,0,0,81.4081632653061,342.389562344484,"SLC25A20"
"abnormal tricarboxylic acid cycle MP:0010958","1/6",0.0149082847993736,0.19520371362927,0,0,81.4081632653061,342.389562344484,"GPT2"
"non-obstructive hydrocephaly MP:0001893","1/6",0.0149082847993736,0.19520371362927,0,0,81.4081632653061,342.389562344484,"GFAP"
"cochlear outer hair cell degeneration MP:0004404","2/76",0.0155171628224907,0.19520371362927,0,0,11.1914414414414,46.6214028774471,"TMC1;FSCN2"
"retropleural edema MP:0013847","1/7",0.017371741450284,0.19520371362927,0,0,67.8367346938775,274.936210768444,"SLC25A20"
"abnormal pH regulation MP:0004043","1/7",0.017371741450284,0.19520371362927,0,0,67.8367346938775,274.936210768444,"SLC4A10"
"embryo cyst MP:0014019","1/8",0.0198291614511851,0.19520371362927,0,0,58.1428571428571,227.954980151296,"SLC25A20"
"abnormal eye blink conditioning behavior MP:0002807","1/9",0.0222805591236868,0.19520371362927,0,0,50.8724489795918,193.520869933163,"GFAP"
"abnormal amino acid metabolism MP:0013242","1/9",0.0222805591236868,0.19520371362927,0,0,50.8724489795918,193.520869933163,"GPT2"
"abnormal hair cell mechanoelectric transduction MP:0004431","1/9",0.0222805591236868,0.19520371362927,0,0,50.8724489795918,193.520869933163,"TMC1"
"abnormal organ of Corti supporting cell morphology MP:0004300","1/9",0.0222805591236868,0.19520371362927,0,0,50.8724489795918,193.520869933163,"TMC1"
"cochlear degeneration MP:0000032","1/9",0.0222805591236868,0.19520371362927,0,0,50.8724489795918,193.520869933163,"TMC1"
"short cochlear hair cell stereocilia MP:0004524","1/9",0.0222805591236868,0.19520371362927,0,0,50.8724489795918,193.520869933163,"FSCN2"
"umbilical vein stenosis MP:0012303","1/9",0.0222805591236868,0.19520371362927,0,0,50.8724489795918,193.520869933163,"SLC25A20"
"abnormal oligodendrocyte physiology MP:0008917","1/10",0.0247259488172581,0.19520371362927,0,0,45.2176870748299,167.301012082339,"GFAP"
"abnormal scala media morphology MP:0003169","1/10",0.0247259488172581,0.19520371362927,0,0,45.2176870748299,167.301012082339,"TMC1"
"decreased inner hair cell stereocilia number MP:0004534","1/10",0.0247259488172581,0.19520371362927,0,0,45.2176870748299,167.301012082339,"FSCN2"
"vestibular saccular macula degeneration MP:0004331","1/10",0.0247259488172581,0.19520371362927,0,0,45.2176870748299,167.301012082339,"TMC1"
"double ureter MP:0011493","1/11",0.0271653448579924,0.19520371362927,0,0,40.6938775510204,146.734521000359,"SLC25A20"
"photoreceptor inner segment degeneration MP:0008580","1/12",0.0295987615689071,0.19520371362927,0,0,36.9925788497217,130.214719406514,"FSCN2"
"abnormal cochlear outer hair cell physiology MP:0004434","1/12",0.0295987615689071,0.19520371362927,0,0,36.9925788497217,130.214719406514,"FSCN2"
"decreased outer hair cell stereocilia number MP:0004529","1/13",0.032026213248763,0.19520371362927,0,0,33.9081632653061,116.684789992962,"FSCN2"
"abnormal otolith morphology MP:0002894","1/13",0.032026213248763,0.19520371362927,0,0,33.9081632653061,116.684789992962,"TMC1"
"abnormal hippocampus neuron morphology MP:0009939","1/13",0.032026213248763,0.19520371362927,0,0,33.9081632653061,116.684789992962,"GPT2"
"placenta hemorrhage MP:0030975","1/14",0.0344477141698712,0.19520371362927,0,0,31.298273155416,105.422368949113,"SLC25A20"
"multiple persisting craniopharyngeal ducts MP:0013968","1/14",0.0344477141698712,0.19520371362927,0,0,31.298273155416,105.422368949113,"SLC25A20"
"herniated liver MP:0010912","1/15",0.0368632785936063,0.201431486600777,0,0,29.0612244897959,95.9177159613371,"SLC25A20"
"abnormal afterhyperpolarization MP:0003412","1/16",0.0392729207344652,0.204345385592393,0,0,27.1224489795918,87.8013353011642,"KCNQ5"
"abnormal vitelline vein topology MP:0013986","1/17",0.0416766547912335,0.204345385592393,0,0,25.4260204081633,80.799167280865,"SLC25A20"
"double outlet right ventricle with atrioventricular septal defect MP:0011667","1/17",0.0416766547912335,0.204345385592393,0,0,25.4260204081633,80.799167280865,"ADAMTS6"
"sternebra fusion MP:0010082","1/18",0.0440744949316927,0.204345385592393,0,0,23.9291716686675,74.7038591145848,"ADAMTS6"
"abnormal brain ventricle morphology MP:0000822","1/18",0.0440744949316927,0.204345385592393,0,0,23.9291716686675,74.7038591145848,"SLC4A10"
"photoreceptor outer segment degeneration MP:0008584","1/21",0.0512327930672156,0.210305163735538,0,0,20.3367346938776,60.4280744540867,"FSCN2"
"increased susceptibility to age-related hearing loss MP:0004748","1/21",0.0512327930672156,0.210305163735538,0,0,20.3367346938776,60.4280744540867,"FSCN2"
"abnormal photoreceptor inner segment morphology MP:0003730","1/21",0.0512327930672156,0.210305163735538,0,0,20.3367346938776,60.4280744540867,"FSCN2"
"abnormal CNS glial cell morphology MP:0000952","1/22",0.0536071985992548,0.210305163735538,0,0,19.3673469387755,56.6702499978695,"GFAP"
"abnormal blood-brain barrier function MP:0005167","1/22",0.0536071985992548,0.210305163735538,0,0,19.3673469387755,56.6702499978695,"GFAP"
"abnormal hearing physiology MP:0001963","1/22",0.0536071985992548,0.210305163735538,0,0,19.3673469387755,56.6702499978695,"TMC1"
"abnormal Mullerian duct morphology MP:0003826","1/24",0.05833855301301,0.215963164258112,0,0,17.681455190772,50.2417155506286,"SLC25A20"
"abnormal oligodendrocyte morphology MP:0000953","1/24",0.05833855301301,0.215963164258112,0,0,17.681455190772,50.2417155506286,"GFAP"
"abnormal tectorial membrane morphology MP:0003149","1/25",0.0606955298241754,0.215963164258112,0,0,16.9438775510204,47.4748002047703,"TMC1"
"abnormal cerebral hemisphere morphology MP:0008540","1/25",0.0606955298241754,0.215963164258112,0,0,16.9438775510204,47.4748002047703,"GPT2"
"abnormal cochlear hair cell stereociliary bundle morphology MP:0004521","1/27",0.0653921522588676,0.226046464356731,0,0,15.6389324960754,42.6528898315632,"FSCN2"
"abnormal ear morphology MP:0002102","1/28",0.0677318256109869,0.226046464356731,0,0,15.0589569160998,40.5417104352724,"TMC1"
"decreased susceptibility to pharmacologically induced seizures MP:0002887","1/29",0.0700657588372089,0.226046464356731,0,0,14.5204081632653,38.5999069065122,"SLC4A10"
"abnormal stria vascularis morphology MP:0000048","1/30",0.0723939657090184,0.226046464356731,0,0,14.0190007037298,36.8087414767415,"TMC1"
"abnormal response to new environment MP:0001413","1/30",0.0723939657090184,0.226046464356731,0,0,14.0190007037298,36.8087414767415,"SLC4A10"
"abnormal outer hair cell stereociliary bundle morphology MP:0004527","1/30",0.0723939657090184,0.226046464356731,0,0,14.0190007037298,36.8087414767415,"TMC1"
"abnormal amino acid level MP:0005332","1/31",0.0747164600026276,0.226655540023333,0,0,13.5510204081633,35.1520903887112,"GPT2"
"increased thigmotaxis MP:0002797","2/183",0.0766734472325152,0.226655540023333,0,0,4.55087476979742,11.6875557667961,"MPPED2;SLC4A10"
"abnormal brain white matter morphology MP:0008026","1/32",0.0770332554327669,0.226655540023333,0,0,13.1132323897301,33.6160080774025,"GFAP"
"head tossing MP:0005307","1/33",0.0793443657059371,0.229050716094498,0,0,12.702806122449,32.1883751655927,"TMC1"
"abnormal choroid plexus morphology MP:0000820","1/36",0.0862437219743076,0.239564014562005,0,0,11.6122448979592,28.4567120450411,"SLC4A10"
"decreased corpus callosum size MP:0000781","1/36",0.0862437219743076,0.239564014562005,0,0,11.6122448979592,28.4567120450411,"GFAP"
"increased or absent threshold for auditory brainstem response MP:0011967","2/200",0.0892414542606553,0.239564014562005,0,0,4.15656565656566,10.0439652116179,"TMC1;FSCN2"
"reduced long term depression MP:0001475","1/38",0.0908151166313485,0.239564014562005,0,0,10.9834528405957,26.3485293003408,"GFAP"
"thin retinal inner nuclear layer MP:0008511","1/38",0.0908151166313485,0.239564014562005,0,0,10.9834528405957,26.3485293003408,"FSCN2"
"abnormal vision MP:0002090","1/39",0.0930924017046572,0.241409109505298,0,0,10.6938775510204,25.3890053323137,"FSCN2"
"heart right ventricle hypertrophy MP:0000276","1/40",0.0953640965755272,0.243178446267594,0,0,10.4191522762951,24.4855612889518,"ADAMTS6"
"retinal outer nuclear layer degeneration MP:0008518","1/42",0.0998907694703361,0.248082488717296,0,0,9.90990542558487,22.8292310643337,"FSCN2"
"abnormal distortion product otoacoustic emission MP:0004736","1/44",0.104395242464778,0.248082488717296,0,0,9.44803037494067,21.3484970941598,"FSCN2"
"abnormal astrocyte morphology MP:0002182","1/45",0.106639187352935,0.248082488717296,0,0,9.23283858998145,20.665901611884,"GFAP"
"abnormal metabolism MP:0005266","1/45",0.106639187352935,0.248082488717296,0,0,9.23283858998145,20.665901611884,"GPT2"
"overriding aortic valve MP:0000273","1/45",0.106639187352935,0.248082488717296,0,0,9.23283858998145,20.665901611884,"ADAMTS6"
"abnormal photoreceptor outer segment morphology MP:0003729","1/46",0.108877622208567,0.248082488717296,0,0,9.02721088435374,20.0181178087303,"FSCN2"
"hydrops fetalis MP:0002192","1/47",0.111110560303655,0.248082488717296,0,0,8.83052351375333,19.4026870705364,"ADAMTS6"
"cochlear hair cell degeneration MP:0004362","1/47",0.111110560303655,0.248082488717296,0,0,8.83052351375333,19.4026870705364,"TMC1"
