"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"MODULE 495","1/16",0.0392729207344652,0.307527012923817,0,0,27.1224489795918,87.8013353011642,"LRRN3"
"MODULE 208","2/126",0.0396295625933463,0.307527012923817,0,0,6.6619623655914,21.5060130637939,"KCNQ5;DEFA1"
"MODULE 345","2/128",0.0407746939326369,0.307527012923817,0,0,6.55555555555556,20.9757693964965,"KCNQ5;DEFA1"
"MODULE 292","2/138",0.0466847958252425,0.307527012923817,0,0,6.07046568627451,18.6019510223216,"KCNQ5;DEFA1"
"MODULE 436","2/140",0.0479026862337683,0.307527012923817,0,0,5.98188405797101,18.1764553705159,"KCNQ5;DEFA1"
"MODULE 171","2/140",0.0479026862337683,0.307527012923817,0,0,5.98188405797101,18.1764553705159,"KCNQ5;DEFA1"
"MODULE 188","2/141",0.0485159985807626,0.307527012923817,0,0,5.93854916067146,17.9692282675532,"KCNQ5;DEFA1"
"MODULE 439","1/21",0.0512327930672156,0.307527012923817,0,0,20.3367346938776,60.4280744540867,"LRRN3"
"MODULE 361","2/151",0.0548050675108287,0.307527012923817,0,0,5.53719239373602,16.0798550835806,"KCNQ5;DEFA1"
"MODULE 206","2/154",0.0567455048100272,0.307527012923817,0,0,5.42708333333333,15.5712726420437,"FGFBP2;ADAMTS6"
"MODULE 301","2/160",0.0606978560721618,0.307527012923817,0,0,5.21940928270042,14.6239857269357,"KCNQ5;DEFA1"
"MODULE 238","2/166",0.064742529036593,0.307527012923817,0,0,5.02693089430894,13.7604037662076,"KCNQ5;DEFA1"
"MODULE 389","2/218",0.10316389948082,0.424443204230603,0,0,3.80671296296296,8.64670600153163,"SNTG2;LRRN3"
"MODULE 207","2/227",0.110338037227829,0.424443204230603,0,0,3.65277777777778,8.0514767388936,"SNTG2;LRRN3"
"MODULE 67","2/230",0.112758612412141,0.424443204230603,0,0,3.60416666666667,7.86611508121161,"FGFBP2;KLHL4"
"MORF BMPR2","1/53",0.124393494912872,0.424443204230603,0,0,7.80926216640502,16.2768872389608,"MPPED2"
"MORF ZNF10","1/54",0.126588324068776,0.424443204230603,0,0,7.66153253754332,15.8349703751844,"MPPED2"
"MODULE 291","1/65",0.150378421491389,0.438683708620559,0,0,6.34119897959184,12.0140378181151,"DEFA1"
"MODULE 241","1/73",0.167280269123171,0.438683708620559,0,0,5.6343537414966,10.0747012408884,"DEFA1"
"MODULE 205","2/307",0.178811539184851,0.438683708620559,0,0,2.68374316939891,4.61985689986486,"SNTG2;CACHD1"
"MODULE 139","1/79",0.179739981193554,0.438683708620559,0,0,5.19937205651491,8.92339120694113,"SLC4A10"
