"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"CRX NRL DN.V1 UP","2/140",0.0479026862337683,0.406914748690935,0,0,5.98188405797101,18.1764553705159,"SNTG2;GFAP"
"MEL18 DN.V1 DN","2/148",0.0528890622383651,0.406914748690935,0,0,5.65182648401827,16.6138758503213,"MPPED2;B3GAT1"
"IL2 UP.V1 UP","2/192",0.0832523822519886,0.406914748690935,0,0,4.33333333333333,10.7721403178632,"POLR3G;GFAP"
"TGFB UP.V1 DN","2/192",0.0832523822519886,0.406914748690935,0,0,4.33333333333333,10.7721403178632,"MPPED2;PIK3R3"
"BCAT.100 UP.V1 DN","1/45",0.106639187352935,0.406914748690935,0,0,9.23283858998145,20.665901611884,"KLHL4"
"KRAS.600 UP.V1 UP","2/287",0.161053043769978,0.406914748690935,0,0,2.875,5.24981182356689,"BEX1;GFAP"
"KRAS.600.LUNG.BREAST UP.V1 UP","2/288",0.161932817728246,0.406914748690935,0,0,2.86480186480186,5.21558303145272,"ADAMTS6;GFAP"
"STK33 DN","2/289",0.162813507341039,0.406914748690935,0,0,2.85467479674797,5.18166255746313,"GPT2;PIK3R3"
"KRAS.600.LUNG.BREAST UP.V1 DN","2/289",0.162813507341039,0.406914748690935,0,0,2.85467479674797,5.18166255746313,"CD248;FSCN2"
"STK33 NOMO DN","2/292",0.165460972435914,0.406914748690935,0,0,2.82471264367816,5.0817143370517,"GPT2;PIK3R3"
"CAHOY ASTROGLIAL","1/100",0.221926911560385,0.406914748690935,0,0,4.09214594928881,6.16034588762116,"TMEM37"
"RB P107 DN.V1 DN","1/128",0.274883458910421,0.406914748690935,0,0,3.18544110557609,4.1137043085801,"POLR3G"
"CRX DN.V1 DN","1/134",0.285762982719773,0.406914748690935,0,0,3.04081632653061,3.80890385676326,"GFAP"
"CRX DN.V1 UP","1/136",0.289353816496661,0.406914748690935,0,0,2.99546485260771,3.71469112422295,"SNTG2"
"NRL DN.V1 UP","1/136",0.289353816496661,0.406914748690935,0,0,2.99546485260771,3.71469112422295,"SNTG2"
"RB P107 DN.V1 UP","1/140",0.296482488408479,0.406914748690935,0,0,2.90867713992072,3.53627403902577,"CD248"
"BMI1 DN.V1 DN","1/144",0.303541066856119,0.406914748690935,0,0,2.82674468388754,3.37015346511746,"PIK3R3"
"KRAS.LUNG UP.V1 DN","1/145",0.305294838614257,0.406914748690935,0,0,2.80697278911565,3.33040945482965,"CD248"
"KRAS.LUNG.BREAST UP.V1 DN","1/145",0.305294838614257,0.406914748690935,0,0,2.80697278911565,3.33040945482965,"CD248"
"KRAS.LUNG.BREAST UP.V1 UP","1/145",0.305294838614257,0.406914748690935,0,0,2.80697278911565,3.33040945482965,"ADAMTS6"
"KRAS.300 UP.V1 UP","1/146",0.307044282279795,0.406914748690935,0,0,2.78747361013371,3.29134653812698,"BEX1"
"P53 DN.V2 UP","1/148",0.31053022703461,0.406914748690935,0,0,2.74927113702624,3.21520120387571,"SLC4A10"
"SNF5 DN.V1 DN","1/164",0.337805969121272,0.406914748690935,0,0,2.47740077626142,2.68868244347541,"BEX1"
"NFE2L2.V2","2/481",0.339237716890414,0.406914748690935,0,0,1.6937195546277,1.83100261712177,"GPT2;MPPED2"
"PKCA DN.V1 DN","1/167",0.342801117260844,0.406914748690935,0,0,2.43225965084829,2.60398893741404,"BEX1"
"GCNP SHH UP EARLY.V1 DN","1/169",0.346110681646573,0.406914748690935,0,0,2.4030612244898,2.54963994719995,"DEFA1"
"PKCA DN.V1 UP","1/170",0.347759333321801,0.406914748690935,0,0,2.38872116894095,2.52307385797591,"GFAP"
"WNT UP.V1 DN","1/170",0.347759333321801,0.406914748690935,0,0,2.38872116894095,2.52307385797591,"GFAP"
"CSR LATE UP.V1 UP","1/172",0.351044425036804,0.406914748690935,0,0,2.36054421768708,2.47111800186849,"BEX1"
"ESC V6.5 UP EARLY.V1 DN","1/172",0.351044425036804,0.406914748690935,0,0,2.36054421768708,2.47111800186849,"GIMAP3P"
"AKT UP MTOR DN.V1 DN","1/183",0.368824653227882,0.406914748690935,0,0,2.21664050235479,2.21095247511773,"CD248"
"ESC J1 UP EARLY.V1 UP","1/183",0.368824653227882,0.406914748690935,0,0,2.21664050235479,2.21095247511773,"GIMAP3P"
"ESC V6.5 UP LATE.V1 DN","1/186",0.373590370380814,0.406914748690935,0,0,2.18036403750689,2.14677628864992,"GIMAP3P"
"AKT UP.V1 DN","1/187",0.375171092385506,0.406914748690935,0,0,2.16853192890059,2.1259703927866,"CD248"
