"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Mycobacterium tuberculosis human whole blood GSE42825 microbe:239","4/240",0.00302196198760532,0.241756959008426,0,0,7.26381724392041,42.1435707675411,"RNU1-3;RNU1-1;LRRN3;RNVU1-18"
"Brucella abortus human monocyte-derived dendritic cells GSE49016 microbe:294","3/175",0.00954963419127619,0.381985367651048,0,0,7.33968332508659,34.1387198997829,"TMEM37;B3GAT1;GFAP"
"gammaherpesvirus 68 (MHV-68) mouse liver GDS4775 microbe:109","2/168",0.0661106611264017,0.643746903193752,0,0,4.96586345381526,13.4893969101837,"TMEM37;POLR3G"
"Lassa virus human peripheral blood mononuclear cells (PBMC) GDS5058 microbe:129","2/216",0.101588147215522,0.643746903193752,0,0,3.84267912772586,8.78754780712842,"VMO1;FGFBP2"
"Tropheryma whipplei human monocyte-derived dendritic cells GSE49016 microbe:290","2/260",0.137682173443293,0.643746903193752,0,0,3.18023255813953,6.30578846239396,"CBX3P2;B3GAT1"
"Mycobacterium tuberculosis human monocytes GSE57736 microbe:236","2/261",0.138533371176054,0.643746903193752,0,0,3.16779279279279,6.26159872880815,"FGFBP2;BEX1"
"Francisella tularensis subsp. novicida  human Peripheral blood monocyte GDS3298 microbe:205","2/279",0.154049003324486,0.643746903193752,0,0,2.95923586040915,5.53520487910631,"VMO1;GRAMD4"
"Mycobacterium tuberculosis human monocytes GSE65517 microbe:225","2/286",0.160174195271258,0.643746903193752,0,0,2.88526995305164,5.28435269021686,"RNU1-3;RNVU1-18"
"Salmonella enterica serovar Typhimurium mouse cecum GDS4622 microbe:68","2/295",0.168116328539063,0.643746903193752,0,0,2.79536405005688,4.98441114256764,"GPT2;PIK3R3"
"Francisella tularensis tularensis Schu S4 human Peripheral blood monocyte GDS3298 microbe:206","2/302",0.174341400018209,0.643746903193752,0,0,2.72916666666667,4.767144127674,"VMO1;GRAMD4"
"human herpesvirus-8 (HHV-8) human pulmonary microvascular endothelial cells (HMVEC-L) GDS3310 microbe:13","2/303",0.175233899852614,0.643746903193752,0,0,2.71996124031008,4.737175959955,"BEX1;KLHL4"
"Salmonella enterica serovar Typhimurium mouse cecum GDS4622 microbe:69","2/324",0.19414114235281,0.643746903193752,0,0,2.53985507246377,4.16325384937731,"GPT2;CACHD1"
"lymphocytic choriomeningitis virus mouse spleen GDS4556 microbe:100","1/94",0.210095436800202,0.643746903193752,0,0,4.35747202106649,6.79849904676328,"ADAMTS6"
"Rickettsia prowazekii human endothelial cells GDS3848 microbe:82","1/130",0.278527890347267,0.643746903193752,0,0,3.13573801613669,4.00821660462478,"FSCN2"
"Trypanosoma cruzi human smooth muscle GSE13791 microbe:246","2/423",0.285612603579759,0.643746903193752,0,0,1.93279889152811,2.42202685819369,"BEX1;CD248"
"Rickettsia prowazekii human endothelial cells GDS3848 microbe:83","1/134",0.285762982719773,0.643746903193752,0,0,3.04081632653061,3.80890385676326,"FSCN2"
