"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Hepatitis C virus human CD8+ T-lymphocytes GDS4880 microbe:119","4/329",0.00913736342690349,0.676164893590858,0,0,5.25083612040134,24.654688758258,"ZNF683;SNTG2;LRRN3;CACHD1"
"Leishmania braziliensis human skin (CD8 T cells) GSE43880 microbe:258","3/291",0.0361751262710111,0.697462823546453,0,0,4.35771276595745,14.4649199223923,"RNU1-3;RNU1-1;RNVU1-18"
"HIV human cervical epithelial cell GSE42291 microbe:291","2/251",0.13007704380733,0.697462823546453,0,0,3.29668674698795,6.72401578121241,"OGFRP1;ADAMTS6"
"West Nile virus (WNV) human primary retinal pigment epithelial (RPE) cells GDS4224 microbe:176","3/532",0.14750002632823,0.697462823546453,0,0,2.34336162168684,4.48502290206871,"LRRN3;PIK3R3;ADAMTS6"
"Plasmodium berghei ANKA mouse brain (C57/B6 mice) GDS3145 microbe:193","2/307",0.178811539184851,0.697462823546453,0,0,2.68374316939891,4.61985689986486,"BEX1;SLC4A10"
"Trypanosoma cruzi human fibroblast GDS4574 microbe:241","2/337",0.205980856477676,0.697462823546453,0,0,2.43967661691542,3.85462085168996,"BEX1;CD248"
"Mycobacterium tuberculosis human monocytes GSE57736 microbe:236","2/339",0.207810028703698,0.697462823546453,0,0,2.42495054401583,3.80991482804848,"VMO1;FSCN2"
"Tropheryma whipplei human monocyte-derived dendritic cells GSE49016 microbe:290","2/340",0.208725318555379,0.697462823546453,0,0,2.41765285996055,3.78782415006548,"ODF3;POLR3G"
"Chlamydia trachomatis human A2EN (Human endocervical epithelial) cells GSE54336 microbe:270","2/342",0.210557266583686,0.697462823546453,0,0,2.4031862745098,3.74415847827099,"KLHL4;ADAMTS6"
"Hepatitis C virus human CD4+ T-lymphocytes GDS4880 microbe:118","2/376",0.241922800746261,0.697462823546453,0,0,2.18092691622103,3.09503322814283,"FGFBP2;LRRN3"
"Toxoplasma gondii mouse RAW264.7 macrophage cells GDS4941 microbe:207","2/395",0.259568453375382,0.697462823546453,0,0,2.07347328244275,2.79656561781638,"GPT2;PIK3R3"
"Mycobacterium tuberculosis H37Rv human macrophage GDS3540 microbe:80","1/149",0.312266749015163,0.697462823546453,0,0,2.73055708769994,3.17808854519388,"GRAMD4"
"Mycobacterium tuberculosis H37Rv human macrophage GDS3540 microbe:77","1/191",0.381454981917513,0.697462823546453,0,0,2.12244897959184,2.04553660322505,"GRAMD4"
