"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"T99-Vena-Cava Male 1W Up","1/50",0.117776526004041,0.998220817229127,0,0,8.28862973760933,17.7290996615035,"KCNQ5"
"T99-Vena-Cava Consensus","1/90",0.202110023192397,0.998220817229127,0,0,4.55423068103646,7.28195554376981,"KCNQ5"
"T59-Kidney Consensus","2/338",0.206895205376955,0.998220817229127,0,0,2.43229166666667,3.83217978861486,"B3GAT1;SLC4A10"
"T55-Gastrocnemius Consensus","2/565",0.414670302005242,0.998220817229127,0,0,1.43479869745411,1.26301244105703,"GPT2;KCNQ5"
"T30-Blood-Rna Male 2W Up","1/213",0.414925006869865,0.998220817229127,0,0,1.90007701193685,1.6714169588215,"SLC25A20"
"T30-Blood-Rna Male 1W Up","1/218",0.422280632119603,0.998220817229127,0,0,1.85582620144832,1.59988026667105,"SLC25A20"
"T52-Hippocampus Consensus","1/244",0.459093088770935,0.998220817229127,0,0,1.65507684555304,1.28848110065931,"MPPED2"
"T68-Liver Consensus","1/276",0.50125602230015,0.998220817229127,0,0,1.46011131725417,1.00840877732729,"TMEM37"
"T58-Heart Consensus","2/720",0.541817364123362,0.998220817229127,0,0,1.11606313834726,0.683952844633641,"PIK3R3;SLC25A20"
"T56-Vastus-Lateralis Consensus","2/764",0.574413476829299,0.998220817229127,0,0,1.0492125984252,0.581689549031378,"GPT2;KCNQ5"
"T60-Adrenal Male 1W Up","1/362",0.599250771709299,0.998220817229127,0,0,1.10741138560687,0.567077815822494,"SLC25A20"
"T69-Brown-Adipose Male 8W Down","1/382",0.619180808395142,0.998220817229127,0,0,1.04820825968183,0.502466963981558,"SLC25A20"
"T62-Spleen Consensus","2/1099",0.768845004625804,0.998220817229127,0,0,0.716081738073534,0.18823345926976,"TMEM37;CD248"
"T70-White-Adipose Consensus","3/1741",0.822372399442093,0.998220817229127,0,0,0.668853903973753,0.130802370939836,"SNTG2;LRRN3;CD248"
"T67-Small-Intestine Consensus","1/746",0.850885522043667,0.998220817229127,0,0,0.526092316121079,0.0849521672756629,"PIK3R3"
"T30-Blood-Rna Male 8W Up","1/791",0.86736900100222,0.998220817229127,0,0,0.494962541978817,0.0704286091655204,"SLC25A20"
"T64-Ovaries Consensus","1/896",0.899197327721127,0.998220817229127,0,0,0.434500057006043,0.0461668353552729,"SNTG2"
"T30-Blood-Rna Consensus","2/1575",0.9129655983357,0.998220817229127,0,0,0.486782157236703,0.0443249613008676,"SLC25A20;GFAP"
"T69-Brown-Adipose Consensus","2/1631",0.922922046198354,0.998220817229127,0,0,0.468615715162676,0.0375879031809308,"CD248;SLC25A20"
"T61-Colon Consensus","2/2515",0.990170865998317,0.998220817229127,0,0,0.289113277623027,0.00285579123041413,"TMEM37;PIK3R3"
"T60-Adrenal Consensus","4/4489",0.998220817229127,0.998220817229127,0,0,0.299840046531918,0.000533945378992112,"MPPED2;CACHD1;SLC25A20;GFAP"
