"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"nucleus accumbens","3/383",0.0706340713036309,0.938642137746244,0,0,3.28723404255319,8.71196787498574,"LRRN3;MPPED2;KCNQ5"
"mast cells IgE+antigen 1hr","2/265",0.141950012746096,0.938642137746244,0,0,3.11897972116603,6.08912268528889,"B3GAT1;ADAMTS6"
"ciliary bodies","2/317",0.187805955213903,0.938642137746244,0,0,2.59722222222222,4.34345420043512,"TMC1;CACHD1"
"spinal cord","2/353",0.22066301975776,0.938642137746244,0,0,2.32656695156695,3.51571845187049,"KLHL4;GFAP"
"T-cells foxP3+","1/112",0.2450711886959,0.938642137746244,0,0,3.64754550468836,5.1292023601924,"ADAMTS6"
"C3H 10T1 2","1/155",0.322596228121901,0.938642137746244,0,0,2.62337662337662,2.96796712606432,"CD248"
"dorsal striatum","2/477",0.335567617852335,0.938642137746244,0,0,1.70833333333333,1.86538349056218,"MPPED2;KCNQ5"
"T-cells CD8+","1/166",0.341140184727148,0.938642137746244,0,0,2.44712430426716,2.6317886779391,"GRAMD4"
"hippocampus","1/176",0.357566037357018,0.938642137746244,0,0,2.30612244897959,2.37169753438861,"B3GAT1"
"bladder","1/195",0.387676925856526,0.938642137746244,0,0,2.07826635808963,1.96932976967533,"SNTG2"
"B-cells GL7 positive KLH","1/207",0.405977038969123,0.938642137746244,0,0,1.95601347335051,1.76326531444381,"TMC1"
"NK cells","2/669",0.50201401557067,0.938642137746244,0,0,1.2045852073963,0.830112479578831,"TMC1;KLHL4"
"amygdala","1/308",0.540193073661,0.938642137746244,0,0,1.30579006847038,0.804142947468513,"B3GAT1"
"prostate","1/329",0.564109658900554,0.938642137746244,0,0,1.22088103534097,0.698962469725785,"MPPED2"
"cerebral cortex prefrontal","1/344",0.580442128338466,0.938642137746244,0,0,1.16659725114536,0.634588278572096,"B3GAT1"
"cerebral cortex","1/349",0.585751828008511,0.938642137746244,0,0,1.14954257565095,0.614843285352273,"SLC4A10"
"placenta","1/411",0.646364767470114,0.938642137746244,0,0,0.972623195619711,0.424444280351694,"TMEM37"
"bone marrow","1/413",0.648167777419844,0.938642137746244,0,0,0.9678026550426,0.419644748061049,"CACHD1"
"olfactory bulb","1/414",0.649065900909554,0.938642137746244,0,0,0.965409892770668,0.417270453591166,"SLC4A10"
"cornea","1/427",0.660539028852173,0.938642137746244,0,0,0.935326243173326,0.387878920296705,"B3GAT1"
"cerebellum","1/428",0.661406191948192,0.938642137746244,0,0,0.933087989294078,0.385726553425682,"PIK3R3"
"adipose brown","1/456",0.684824482578267,0.938642137746244,0,0,0.874411302982732,0.331045739049256,"SLC25A20"
"retinal pigment epithelium","1/473",0.698260313698867,0.938642137746244,0,0,0.842182635766171,0.302481097598183,"FSCN2"
"dorsal root ganglia","1/541",0.746611416649623,0.938642137746244,0,0,0.733560090702948,0.214353903004634,"POLR3G"
"granulocytes mac1+gr1+","1/557",0.756834186979849,0.938642137746244,0,0,0.7118631625312,0.198332971069985,"TMC1"
"mega erythrocyte progenitor","1/562",0.759945096534174,0.938642137746244,0,0,0.705336680126596,0.193621330003234,"TMC1"
"retina","1/664",0.81553253727049,0.938642137746244,0,0,0.593683627297073,0.12106037893261,"FSCN2"
"skeletal muscle","1/710",0.836267820003166,0.938642137746244,0,0,0.553841282634351,0.0990303428494787,"GPT2"
"embryonic stem line V26 2 p16","1/728",0.843744102646859,0.938642137746244,0,0,0.539623277096258,0.0916852466971335,"POLR3G"
"lacrimal gland","1/749",0.852044244492471,0.938642137746244,0,0,0.523900469278621,0.0838852788901949,"GPT2"
"eyecup","1/828",0.879572611912709,0.938642137746244,0,0,0.471904844162574,0.0605544321486068,"TMC1"
"embryonic stem line Bruce4 p13","1/876",0.893776135579723,0.938642137746244,0,0,0.444897959183673,0.0499620153658466,"TMC1"
"liver","1/928",0.907312243891398,0.938642137746244,0,0,0.418796644871541,0.0407357750711376,"GPT2"
"lens","1/947",0.911823790953494,0.938642137746244,0,0,0.409975406653148,0.0378442227168168,"B3GAT1"
"testis","2/3059",0.997525446036734,0.997525446036734,0,0,0.230250245338567,0.000570472781451029,"TMC1;ODF3"
