"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"SF268","2/116",0.0340965412337713,0.671057621660173,0,0,7.25,24.494555142005,"LRRN3;ADAMTS6"
"GM133","3/336",0.0516198170507826,0.671057621660173,0,0,3.76020701552616,11.1446881673728,"BEX1;LRRN3;POLR3G"
"M14","2/192",0.0832523822519886,0.681442647708924,0,0,4.33333333333333,10.7721403178632,"POLR3G;GRAMD4"
"astrocytes","2/309",0.18060481525491,0.681442647708924,0,0,2.66598805646037,4.56268919882027,"LRRN3;GFAP"
"HOP62","1/118",0.25638895483414,0.681442647708924,0,0,3.45944531658817,4.70851137205702,"KLHL4"
"MOLT4","2/426",0.28840137732804,0.681442647708924,0,0,1.9188286163522,2.38587552694225,"BEX1;GRAMD4"
"SKMEL28","2/436",0.297690158475227,0.681442647708924,0,0,1.87365591397849,2.270312749507,"PIK3R3;GRAMD4"
"RPMI 8226","2/452",0.312519270515843,0.681442647708924,0,0,1.80555555555556,2.1000220692682,"B3GAT1;SLC25A20"
"SF295","1/173",0.352680884785436,0.681442647708924,0,0,2.34670147128619,2.44571265499221,"LRRN3"
"HS578T","1/176",0.357566037357018,0.681442647708924,0,0,2.30612244897959,2.37169753438861,"CD248"
"SNB19","1/183",0.368824653227882,0.681442647708924,0,0,2.21664050235479,2.21095247511773,"GFAP"
"NCI 460","1/187",0.375171092385506,0.681442647708924,0,0,2.16853192890059,2.1259703927866,"ADAMTS6"
"LOX IMVI","1/192",0.383016251839871,0.681442647708924,0,0,2.11122983224704,2.02610052252205,"ADAMTS6"
"UACC257","1/196",0.389222803095677,0.681442647708924,0,0,2.06750392464678,1.95090361026202,"PIK3R3"
"A361","1/205",0.40296468626852,0.681442647708924,0,0,1.97539015606242,1.79544465262223,"B3GAT1"
"SKMEL2","1/216",0.41934932166703,0.681442647708924,0,0,1.87327954437589,1.627975467192,"PIK3R3"
"HSG","1/276",0.50125602230015,0.766626857635523,0,0,1.46011131725417,1.00840877732729,"SNTG2"
"SW620","1/315",0.54830476678739,0.768294355242999,0,0,1.27622513973742,0.766914319511552,"B3GAT1"
"HEK 293 T-rex    ","2/773",0.580877253739035,0.768294355242999,0,0,1.03647859922179,0.563031563566114,"B3GAT1;SLC4A10"
"SKMEL5","1/354",0.59099565787923,0.768294355242999,0,0,1.13297103543967,0.595882273818865,"GRAMD4"
"LNCAP","1/429",0.662271183985793,0.809338024865225,0,0,0.930860194545108,0.38358902111077,"PIK3R3"
"HT29","1/456",0.684824482578267,0.809338024865225,0,0,0.874411302982732,0.331045739049256,"KLHL4"
"ALVA31","1/560",0.758705441376603,0.831190768325385,0,0,0.707933262750538,0.1954898696653,"POLR3G"
"HCT116","1/574",0.76725301691574,0.831190768325385,0,0,0.690137835238808,0.182844188710867,"POLR3G"
"A204","1/694",0.829328708549526,0.862501856891507,0,0,0.567099567099567,0.106126270264951,"MPPED2"
"HL60","3/1914",0.869433364200018,0.869433364200018,0,0,0.602525134440028,0.0843014516376019,"SNTG2;POLR3G;SLC25A20"
