"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Cellular roles of Anthrax toxin Homo sapiens bb877621-6190-11e5-8ac5-06603eb7f303","1/19",0.0464664552952436,0.164855294308237,0,0,22.5986394557823,69.3557808280063,"DEFA1"
"TRAIL signaling pathway Homo sapiens 3a79fddf-6196-11e5-8ac5-06603eb7f303","1/28",0.0677318256109869,0.164855294308237,0,0,15.0589569160998,40.5417104352724,"PIK3R3"
"Nephrin/Neph1 signaling in the kidney podocyte Homo sapiens 6cfb9873-6194-11e5-8ac5-06603eb7f303","1/31",0.0747164600026276,0.164855294308237,0,0,13.5510204081633,35.1520903887112,"PIK3R3"
"EGF receptor (ErbB1) signaling pathway Homo sapiens NULL","1/34",0.0816498044624026,0.164855294308237,0,0,12.317254174397,30.8586121657323,"PIK3R3"
"FAS (CD95) signaling pathway Homo sapiens 79cc9c14-6192-11e5-8ac5-06603eb7f303","1/38",0.0908151166313485,0.164855294308237,0,0,10.9834528405957,26.3485293003408,"PIK3R3"
"ErbB4 signaling events Homo sapiens 6104ebb2-6192-11e5-8ac5-06603eb7f303","1/38",0.0908151166313485,0.164855294308237,0,0,10.9834528405957,26.3485293003408,"PIK3R3"
"Internalization of ErbB1 Homo sapiens 3aa9aafa-6194-11e5-8ac5-06603eb7f303","1/40",0.0953640965755272,0.164855294308237,0,0,10.4191522762951,24.4855612889518,"PIK3R3"
"Signaling events mediated by TCPTP Homo sapiens cd5ca44d-6195-11e5-8ac5-06603eb7f303","1/42",0.0998907694703361,0.164855294308237,0,0,9.90990542558487,22.8292310643337,"PIK3R3"
"CXCR3-mediated signaling events Homo sapiens 3a38a0ca-6191-11e5-8ac5-06603eb7f303","1/43",0.102145774279416,0.164855294308237,0,0,9.6734693877551,22.0686112387857,"PIK3R3"
"ErbB2/ErbB3 signaling events Homo sapiens 51e35311-6192-11e5-8ac5-06603eb7f303","1/44",0.104395242464778,0.164855294308237,0,0,9.44803037494067,21.3484970941598,"PIK3R3"
"Class I PI3K signaling events Homo sapiens 12b82bb7-6191-11e5-8ac5-06603eb7f303","1/48",0.113338014836913,0.164855294308237,0,0,8.64220581849761,18.8173716664144,"PIK3R3"
"p75(NTR)-mediated signaling Homo sapiens b492782f-6194-11e5-8ac5-06603eb7f303","1/68",0.156755649080656,0.209007532107541,0,0,6.05635089856838,11.2228243619718,"BEX1"
"p73 transcription factor network Homo sapiens a88c505e-6194-11e5-8ac5-06603eb7f303","1/78",0.177676125437979,0.218678308231359,0,0,5.26716141001855,9.10056411919043,"GRAMD4"
"CXCR4-mediated signaling events Homo sapiens 46a5529b-6191-11e5-8ac5-06603eb7f303","1/100",0.221926911560385,0.247097238983311,0,0,4.09214594928881,6.16034588762116,"PIK3R3"
"ErbB1 downstream signaling Homo sapiens 30d60550-6192-11e5-8ac5-06603eb7f303","1/105",0.231653661546854,0.247097238983311,0,0,3.89442700156986,5.69564568108454,"PIK3R3"
"PDGFR-beta signaling pathway Homo sapiens c901a3e4-6194-11e5-8ac5-06603eb7f303","1/128",0.274883458910421,0.274883458910421,0,0,3.18544110557609,4.1137043085801,"PIK3R3"
