"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Krey Jocelyn F (Oregon Health & Science University)","2/23",0.00149850339584869,0.258355325881627,0,0,39.5416666666667,257.150862349481,"TMC1;FSCN2"
"Barr-Gillespie Peter G (Oregon Health & Science University)","2/28",0.0022210873543451,0.258355325881627,0,0,31.9294871794872,195.081452622488,"TMC1;FSCN2"
"Dale Anders M (University Of California San Diego)","3/142",0.00538205391237852,0.258355325881627,0,0,9.09735190570948,47.5307999479523,"B3GAT1;SLC4A10;GFAP"
"Thompson Paul M (University Of Southern California)","3/160",0.00747934450339522,0.258355325881627,0,0,8.04702534218729,39.3950987338736,"SNTG2;SLC4A10;PIK3R3"
"Dorfman Caroline (Duke University)","1/5",0.0124387771927725,0.258355325881627,0,0,101.765306122449,446.437935140061,"GFAP"
"Opendak Maya (New York University School Of Medicine)","1/5",0.0124387771927725,0.258355325881627,0,0,101.765306122449,446.437935140061,"GFAP"
"Kim Kwang S (Johns Hopkins University)","2/74",0.0147525184670076,0.258355325881627,0,0,11.5034722222222,48.502566947861,"KCNQ5;GFAP"
"Hou Shaoping (Drexel University)","1/6",0.0149082847993736,0.258355325881627,0,0,81.4081632653061,342.389562344484,"GFAP"
"Kane Cynthia J (Univ Of Arkansas For Med Scis)","1/6",0.0149082847993736,0.258355325881627,0,0,81.4081632653061,342.389562344484,"GFAP"
"Aguirre Adan A (State University New York Stony Brook)","1/7",0.017371741450284,0.258355325881627,0,0,67.8367346938775,274.936210768444,"GFAP"
"Alpini Gianfranco D (Texas A&M University Health Science Ctr)","1/7",0.017371741450284,0.258355325881627,0,0,67.8367346938775,274.936210768444,"GFAP"
"Stout Kristen (Northwestern University At Chicago)","1/7",0.017371741450284,0.258355325881627,0,0,67.8367346938775,274.936210768444,"GFAP"
"Dunaevsky Anna (University Of Nebraska Medical Center)","1/7",0.017371741450284,0.258355325881627,0,0,67.8367346938775,274.936210768444,"GFAP"
"Oz Gulin (University Of Minnesota)","1/7",0.017371741450284,0.258355325881627,0,0,67.8367346938775,274.936210768444,"GFAP"
"Pan Jullie W (University Of Pittsburgh At Pittsburgh)","1/8",0.0198291614511851,0.258355325881627,0,0,58.1428571428571,227.954980151296,"GFAP"
"Akyuz Nurunisa (Harvard Medical School)","1/8",0.0198291614511851,0.258355325881627,0,0,58.1428571428571,227.954980151296,"TMC1"
"Bosch Megan (University Of Nebraska Medical Center)","1/8",0.0198291614511851,0.258355325881627,0,0,58.1428571428571,227.954980151296,"GFAP"
"Gardner Raquel C (University Of California)","1/8",0.0198291614511851,0.258355325881627,0,0,58.1428571428571,227.954980151296,"GFAP"
"Chan Kevin C (New York University School Of Medicine)","1/8",0.0198291614511851,0.258355325881627,0,0,58.1428571428571,227.954980151296,"GFAP"
"Koshy Anita (University Of Arizona)","1/8",0.0198291614511851,0.258355325881627,0,0,58.1428571428571,227.954980151296,"GFAP"
"Nelson Lindsay (Medical College Of Wisconsin)","1/8",0.0198291614511851,0.258355325881627,0,0,58.1428571428571,227.954980151296,"GFAP"
"O'Neil Brian J (Wayne State University)","1/8",0.0198291614511851,0.258355325881627,0,0,58.1428571428571,227.954980151296,"GFAP"
