"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Shapiro Mark S (University Of Texas Hsc San Antonio)","1/5",0.0124387771927725,0.0838631577785701,0,0,101.765306122449,446.437935140061,"KCNQ5"
"Chopra Atul (Baylor College Of Medicine)","1/5",0.0124387771927725,0.0838631577785701,0,0,101.765306122449,446.437935140061,"SLC25A20"
"Smith Jason G (University Of Washington)","1/5",0.0124387771927725,0.0838631577785701,0,0,101.765306122449,446.437935140061,"DEFA1"
"Hogquist Kristin A (University Of Minnesota)","1/5",0.0124387771927725,0.0838631577785701,0,0,101.765306122449,446.437935140061,"B3GAT1"
"Manley Geoffrey T (University Of California)","1/6",0.0149082847993736,0.0838631577785701,0,0,81.4081632653061,342.389562344484,"GFAP"
"Ovbiagele Bruce (Medical University Of South Carolina)","1/7",0.017371741450284,0.0838631577785701,0,0,67.8367346938775,274.936210768444,"GFAP"
"Accornero Federica (Ohio State University)","1/7",0.017371741450284,0.0838631577785701,0,0,67.8367346938775,274.936210768444,"BEX1"
"Higazi Abd Alroof (University Of Pennsylvania)","1/7",0.017371741450284,0.0838631577785701,0,0,67.8367346938775,274.936210768444,"DEFA1"
"Morrow Eric M (Brown University)","1/7",0.017371741450284,0.0838631577785701,0,0,67.8367346938775,274.936210768444,"GPT2"
"Byrne Barry J (University Of Florida)","1/7",0.017371741450284,0.0838631577785701,0,0,67.8367346938775,274.936210768444,"RNU1-1"
"Selsted Michael E (University Of Southern California)","1/7",0.017371741450284,0.0838631577785701,0,0,67.8367346938775,274.936210768444,"DEFA1"
"Karandikar Nitin J (University Of Iowa)","1/8",0.0198291614511851,0.0838631577785701,0,0,58.1428571428571,227.954980151296,"B3GAT1"
"Everett Allen D (Johns Hopkins University)","1/8",0.0198291614511851,0.0838631577785701,0,0,58.1428571428571,227.954980151296,"GFAP"
"Klotman Mary E (Duke University)","1/8",0.0198291614511851,0.0838631577785701,0,0,58.1428571428571,227.954980151296,"DEFA1"
"Chauhan Neeraj (Rbhs-New Jersey Medical School)","1/8",0.0198291614511851,0.0838631577785701,0,0,58.1428571428571,227.954980151296,"B3GAT1"
"Noebels Jeffrey (Baylor College Of Medicine)","1/9",0.0222805591236868,0.0838631577785701,0,0,50.8724489795918,193.520869933163,"SLC25A20"
"Betts Michael R (University Of Pennsylvania)","1/9",0.0222805591236868,0.0838631577785701,0,0,50.8724489795918,193.520869933163,"B3GAT1"
"Sulzer David (Columbia University Health Sciences)","1/9",0.0222805591236868,0.0838631577785701,0,0,50.8724489795918,193.520869933163,"GFAP"
"Villalta Fernando (Meharry Medical College)","1/9",0.0222805591236868,0.0838631577785701,0,0,50.8724489795918,193.520869933163,"DEFA1"
"Dracheva Stella (Icahn School Of Medicine At Mount Sinai)","1/10",0.0247259488172581,0.0838631577785701,0,0,45.2176870748299,167.301012082339,"GFAP"
