"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"BL175 (MDM2)","1/51",0.119987608922091,0.586397267874922,0,0,8.12244897959184,17.2225711551973,"POLR3G"
"BL7153 (DDX43)","1/51",0.119987608922091,0.586397267874922,0,0,8.12244897959184,17.2225711551973,"GPT2"
"BL7949 (PIK3R2)","1/62",0.143953936469556,0.586397267874922,0,0,6.65406490465038,12.8973205926637,"PIK3R3"
"BL6370 (KAT2B)","1/86",0.194045512854838,0.586397267874922,0,0,4.76950780312125,7.82038330328814,"F8A2"
"BL1806 (MTA1)","1/99",0.2199671313012,0.586397267874922,0,0,4.13411078717201,6.26018948804807,"FSCN2"
"BL4625 (RBMX2)","1/99",0.2199671313012,0.586397267874922,0,0,4.13411078717201,6.26018948804807,"CACHD1"
"a-REGy (PSME3)","1/105",0.231653661546854,0.586397267874922,0,0,3.89442700156986,5.69564568108454,"GFAP"
"BL3661 (CDCA7L)","1/113",0.246969136476027,0.586397267874922,0,0,3.61479591836735,5.05526282536401,"POLR3G"
"BL1011 (ZHX1)","1/124",0.267540390273413,0.586397267874922,0,0,3.28969636635142,4.33741443316037,"GFAP"
"BL6694 (UTY)","1/124",0.267540390273413,0.586397267874922,0,0,3.28969636635142,4.33741443316037,"SLC25A20"
"BL8731 (MLLT1)","1/130",0.278527890347267,0.586397267874922,0,0,3.13573801613669,4.00821660462478,"GFAP"
"BL482 (MAP3K7IP3)","1/154",0.320885269622271,0.586397267874922,0,0,2.640656262505,3.00155907202735,"F8A2"
"BL2617 (EIF2AK4)","1/160",0.33108785567924,0.586397267874922,0,0,2.54023873700424,2.80790753816435,"FSCN2"
"BL1095 (DYRK2)","1/162",0.33445521951201,0.586397267874922,0,0,2.50842945874002,2.74736308712605,"KCNQ5"
"BL1578 (MCM8)","1/167",0.342801117260844,0.586397267874922,0,0,2.43225965084829,2.60398893741404,"CACHD1"
"BL1805 (MTA1)","1/168",0.344457946244357,0.586397267874922,0,0,2.41757301723084,2.57660887054472,"GFAP"
"SC-286 (CSK)","1/182",0.367228198764465,0.586397267874922,0,0,2.22899988724772,2.23294929425324,"F8A2"
"a-Mip1 ()","1/182",0.367228198764465,0.586397267874922,0,0,2.22899988724772,2.23294929425324,"GFAP"
"CBC181 (BICD2)","1/183",0.368824653227882,0.586397267874922,0,0,2.21664050235479,2.21095247511773,"ADAMTS6"
"BL1687 (BUB3)","1/189",0.378320817983821,0.586397267874922,0,0,2.14524533217542,2.08520574717916,"POLR3G"
"BL2764 (HNRNPU)","1/222",0.42809981215791,0.603850516765357,0,0,1.82186720842183,1.54567014397397,"KCNQ5"
"BL4961 (ABI1)","1/229",0.438145462697151,0.603850516765357,0,0,1.76530612244898,1.45673823329454,"PIK3R3"
"BL5844 (ZFC3H1)","1/236",0.448018125342039,0.603850516765357,0,0,1.71211463308728,1.37469380180475,"CACHD1"
"BL2130 (RBM15)","1/251",0.468604830682944,0.605281239632135,0,0,1.60816326530612,1.21898042864121,"GFAP"
"BL5826 (ORC6L)","1/266",0.488438525228419,0.60566377128324,0,0,1.51597997689642,1.08626280822072,"GFAP"
"BL2731 (SIN3A)","1/289",0.517449151191336,0.616958603343516,0,0,1.39328231292517,0.917955716193949,"POLR3G"
"BL333 (AURKA)","1/306",0.5378493420767,0.617530726088062,0,0,1.31448645031783,0.815213989033383,"KCNQ5"
"N2 (ESCO2)","1/327",0.561885454699964,0.622087467703532,0,0,1.22849630649806,0.708175623513167,"POLR3G"
"ab M YW (RFWD3)","1/460",0.688037650255285,0.69980361121342,0,0,0.866613311991463,0.324036872621179,"KCNQ5"
"BL697 (CC2D1A)","1/467",0.693583619924941,0.69980361121342,0,0,0.853288955067005,0.31220432363886,"KCNQ5"
"SC-126 (TP53)","1/475",0.69980361121342,0.69980361121342,0,0,0.838543012141565,0.299322572631474,"GFAP"
