"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"10-methoxyharmalan-1743","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"CD248;GRAMD4"
"gliclazide-5089","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"BEX1;GRAMD4"
"probenecid-2825","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"MPPED2;GRAMD4"
"(-)-atenolol-6725","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"BEX1;GRAMD4"
"zomepirac-4479","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"BEX1;GRAMD4"
"8-azaguanine-1833","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"SLC25A20;GRAMD4"
"dextromethorphan-6300","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"BEX1;GRAMD4"
"MK-886-601","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"BEX1;ADAMTS6"
"suramin sodium-7529","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"BEX1;GRAMD4"
"cyproheptadine-5340","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"MPPED2;GRAMD4"
"nicergoline-6251","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"POLR3G;GRAMD4"
"meprylcaine-5723","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"BEX1;GRAMD4"
"danazol-1954","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"alpha-estradiol-1635","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"bisoprolol-1287","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"piribedil-2951","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"thiethylperazine-5756","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"Prestwick-1100-4534","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"monastrol-311","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"KLHL4"
"trichostatin A-1561","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"paracetamol-6284","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"prochlorperazine-4439","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"amoxicillin-2620","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"MPPED2"
"clebopride-6311","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"aminohippuric acid-6294","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"dropropizine-5106","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"moxisylyte-7015","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"verapamil-161","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"trifluoperazine-1004","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"antimycin A-5053","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"clioquinol-5258","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"wortmannin-869","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"POLR3G"
"sulfadoxine-5852","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"pyrazinamide-2839","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"pheniramine-1910","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"isradipine-5447","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"anisomycin-1304","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"remoxipride-6342","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"sodium phenylbutyrate-502","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"B3GAT1"
"debrisoquine-6688","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"novobiocin-632","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"B3GAT1"
"ornidazole-5064","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"piribedil-6333","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"SLC25A20"
"puromycin-2448","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"fulvestrant-7091","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"MPPED2"
"15-delta prostaglandin J2-564","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"quinpirole-7481","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"convolamine-5876","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"felodipine-6695","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"nicardipine-6297","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"santonin-4531","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"stachydrine-4469","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"Prestwick-1085-5774","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"ciprofloxacin-6700","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"bretylium tosilate-6674","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"norethisterone-5055","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"amodiaquine-1570","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"lincomycin-7411","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"SLC25A20"
"dipyridamole-4656","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"dosulepin-7284","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"withaferin A-4376","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"MPPED2"
"chlorprothixene-1272","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"SLC25A20"
"nomifensine-1378","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"CD248"
"tanespimycin-4442","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"cinoxacin-6257","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"tolazamide-2842","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"flunixin-3411","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"LY-294002-1168","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"Prestwick-664-4275","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"methylbenzethonium chloride-4325","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"ebselen-5778","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"indapamide-4335","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"acetazolamide-1808","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"etoposide-1626","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"estradiol-365","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GFAP"
"brompheniramine-4013","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"deferoxamine-4317","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"triamterene-7307","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"thiocolchicoside-5095","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"amiloride-1970","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"CD248"
"cefazolin-7385","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"trichostatin A-1612","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"helveticoside-3770","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"trichostatin A-5441","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"MPPED2"
"pentetrazol-2092","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"bupivacaine-5112","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"sulfamethoxazole-7366","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"buspirone-6743","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"edrophonium chloride-5001","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"sulfanilamide-4474","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"phenylpropanolamine-6699","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"KLHL4"
"torasemide-5476","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"clorgiline-6659","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"LY-294002-4463","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"DL-thiorphan-2752","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"prednisone-1978","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"CD248"
"tanespimycin-4430","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"pyrantel-5088","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"sirolimus-1667","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"POLR3G"
"theobromine-3334","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"tiratricol-2096","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"danazol-1538","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"SLC25A20"
"dilazep-4688","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"MPPED2"
"trimethoprim-7377","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"trichostatin A-6916","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"MPPED2"
"pivmecillinam-7312","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"naloxone-1506","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"SLC25A20"
"fluphenazine-1577","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"CD248"
"AH-6809-7075","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"benserazide-631","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"B3GAT1"
"fulvestrant-1630","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"MPPED2"
"cloxacillin-1443","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"CD248"
"nicotinic acid-6702","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"homosalate-3797","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"thiostrepton-2823","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"strophanthidin-2525","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"pioglitazone-5972","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GFAP"
"papaverine-5769","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"etacrynic acid-1565","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"bendroflumethiazide-3415","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"valproic acid-409","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"ADAMTS6"
"diltiazem-5309","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"atracurium besilate-1702","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"amantadine-4222","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"PNU-0251126-3689","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"dexamethasone-255","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"ADAMTS6"
"gelsemine-4097","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"B3GAT1"
"mebendazole-7370","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"vigabatrin-6314","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"famotidine-2029","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"CD248"
"metitepine-1616","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"tolfenamic acid-6354","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"estradiol-1299","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"15-delta prostaglandin J2-2691","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
"dexamethasone-1396","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"BEX1"
"pergolide-7271","1/100",0.221926911560385,0.221926911560385,0,0,4.09214594928881,6.16034588762116,"GRAMD4"
