"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Spinocerebellar ataxia type 12 ORPHA:98762","3/101",0.00206243076032719,0.244619063633053,0,0,12.9300911854103,79.9580031218518,"B3GAT1;SLC4A10;GFAP"
"Multiple synostoses syndrome ORPHA:3237","3/103",0.00218102923416408,0.244619063633053,0,0,12.6702127659574,77.6425365947916,"LRRN3;CD248;ADAMTS6"
"Pleomorphic salivary gland adenoma ORPHA:454821","2/100",0.0259489619459531,0.244619063633053,0,0,8.44047619047619,30.8214426622313,"POLR3G;ADAMTS6"
"Congenital membranous nephropathy due to fetomaternal anti-neutral endopeptidase alloimmunization ORPHA:69063","2/101",0.0264315192050236,0.244619063633053,0,0,8.35479797979798,30.3546359095748,"CD248;DEFA1"
"Gamma-aminobutyric acid transaminase deficiency ORPHA:2066","2/101",0.0264315192050236,0.244619063633053,0,0,8.35479797979798,30.3546359095748,"B3GAT1;SLC4A10"
"KRT1-related diffuse nonepidermolytic keratoderma ORPHA:530838","2/101",0.0264315192050236,0.244619063633053,0,0,8.35479797979798,30.3546359095748,"ZNF683;FGFBP2"
"Craniorachischisis ORPHA:63260","2/101",0.0264315192050236,0.244619063633053,0,0,8.35479797979798,30.3546359095748,"CACHD1;CD248"
"Bothnia retinal dystrophy ORPHA:85128","2/101",0.0264315192050236,0.244619063633053,0,0,8.35479797979798,30.3546359095748,"B3GAT1;GFAP"
"Occipital encephalocele ORPHA:268823","2/101",0.0264315192050236,0.244619063633053,0,0,8.35479797979798,30.3546359095748,"CACHD1;CD248"
"MME-related autosomal dominant Charcot Marie Tooth disease type 2 ORPHA:497757","2/101",0.0264315192050236,0.244619063633053,0,0,8.35479797979798,30.3546359095748,"CD248;DEFA1"
"EAST syndrome ORPHA:199343","2/101",0.0264315192050236,0.244619063633053,0,0,8.35479797979798,30.3546359095748,"B3GAT1;GFAP"
"Early-onset parkinsonism-intellectual disability syndrome ORPHA:2379","2/101",0.0264315192050236,0.244619063633053,0,0,8.35479797979798,30.3546359095748,"B3GAT1;SLC4A10"
"Charcot-Marie-Tooth disease type 2T ORPHA:495274","2/101",0.0264315192050236,0.244619063633053,0,0,8.35479797979798,30.3546359095748,"CD248;DEFA1"
"Spinocerebellar ataxia type 43 ORPHA:497764","2/101",0.0264315192050236,0.244619063633053,0,0,8.35479797979798,30.3546359095748,"CD248;DEFA1"
"Hypohidrosis-electrolyte imbalance-lacrimal gland dysfunction-ichthyosis-xerostomia syndrome ORPHA:528105","2/101",0.0264315192050236,0.244619063633053,0,0,8.35479797979798,30.3546359095748,"B3GAT1;DEFA1"
"Hypoparathyroidism-sensorineural deafness-renal disease syndrome ORPHA:2237","2/101",0.0264315192050236,0.244619063633053,0,0,8.35479797979798,30.3546359095748,"ZNF683;FGFBP2"
"Ichthyosis hystrix of Curth-Macklin ORPHA:79503","2/101",0.0264315192050236,0.244619063633053,0,0,8.35479797979798,30.3546359095748,"ZNF683;FGFBP2"
"Susceptibility to respiratory infections associated with CD8alpha chain mutation ORPHA:169085","2/101",0.0264315192050236,0.244619063633053,0,0,8.35479797979798,30.3546359095748,"ZNF683;FGFBP2"
"Pseudohypoaldosteronism type 2D ORPHA:300525","2/101",0.0264315192050236,0.244619063633053,0,0,8.35479797979798,30.3546359095748,"LRRN3;B3GAT1"
"Megalencephalic leukoencephalopathy with subcortical cysts ORPHA:2478","2/102",0.026917726401911,0.244619063633053,0,0,8.27083333333333,29.898816321571,"B3GAT1;GFAP"
"Microcephaly-polymicrogyria-corpus callosum agenesis syndrome ORPHA:171703","2/102",0.026917726401911,0.244619063633053,0,0,8.27083333333333,29.898816321571,"ZNF683;FGFBP2"
"Isolated congenital anosmia ORPHA:88620","2/102",0.026917726401911,0.244619063633053,0,0,8.27083333333333,29.898816321571,"B3GAT1;SLC4A10"
"NON RARE IN EUROPE: Tourette syndrome ORPHA:856","2/103",0.0274075630593293,0.244619063633053,0,0,8.18853135313531,29.4536255008379,"LRRN3;SLC4A10"
"Ollier disease ORPHA:296","2/103",0.0274075630593293,0.244619063633053,0,0,8.18853135313531,29.4536255008379,"TMEM37;GPT2"
"Rh deficiency syndrome ORPHA:71275","1/100",0.221926911560385,0.244619063633053,0,0,4.09214594928881,6.16034588762116,"DEFA1"
"Neu-Laxova syndrome ORPHA:2671","1/100",0.221926911560385,0.244619063633053,0,0,4.09214594928881,6.16034588762116,"GPT2"
"Bifunctional enzyme deficiency ORPHA:300","1/100",0.221926911560385,0.244619063633053,0,0,4.09214594928881,6.16034588762116,"TMEM37"
"Delta-beta-thalassemia ORPHA:231237","1/100",0.221926911560385,0.244619063633053,0,0,4.09214594928881,6.16034588762116,"DEFA1"
"Hb Bart's hydrops fetalis ORPHA:163596","1/100",0.221926911560385,0.244619063633053,0,0,4.09214594928881,6.16034588762116,"DEFA1"
"Hemoglobin H disease ORPHA:93616","1/100",0.221926911560385,0.244619063633053,0,0,4.09214594928881,6.16034588762116,"DEFA1"
"Hemoglobin Lepore-beta-thalassemia syndrome ORPHA:330032","1/100",0.221926911560385,0.244619063633053,0,0,4.09214594928881,6.16034588762116,"DEFA1"
"Hemoglobin M disease ORPHA:330041","1/100",0.221926911560385,0.244619063633053,0,0,4.09214594928881,6.16034588762116,"DEFA1"
"Osteogenesis imperfecta type 1 ORPHA:216796","1/100",0.221926911560385,0.244619063633053,0,0,4.09214594928881,6.16034588762116,"CD248"
"Hereditary persistence of fetal hemoglobin-beta-thalassemia syndrome ORPHA:46532","1/100",0.221926911560385,0.244619063633053,0,0,4.09214594928881,6.16034588762116,"DEFA1"
"Alpha-thalassemia-intellectual disability syndrome linked to chromosome 16 ORPHA:98791","1/100",0.221926911560385,0.244619063633053,0,0,4.09214594928881,6.16034588762116,"DEFA1"
"Hereditary spherocytosis ORPHA:822","1/100",0.221926911560385,0.244619063633053,0,0,4.09214594928881,6.16034588762116,"DEFA1"
"Simpson-Golabi-Behmel syndrome ORPHA:373","1/100",0.221926911560385,0.244619063633053,0,0,4.09214594928881,6.16034588762116,"CACHD1"
"Ehlers-Danlos/osteogenesis imperfecta syndrome ORPHA:230857","1/100",0.221926911560385,0.244619063633053,0,0,4.09214594928881,6.16034588762116,"CD248"
"Arthrochalasia Ehlers-Danlos syndrome ORPHA:1899","1/100",0.221926911560385,0.244619063633053,0,0,4.09214594928881,6.16034588762116,"CD248"
"Pitt-Hopkins-like syndrome ORPHA:221150","1/100",0.221926911560385,0.244619063633053,0,0,4.09214594928881,6.16034588762116,"B3GAT1"
"Mitochondrial trifunctional protein deficiency ORPHA:746","1/100",0.221926911560385,0.244619063633053,0,0,4.09214594928881,6.16034588762116,"SLC25A20"
"Autosomal recessive cutis laxa type 1 ORPHA:90349","1/100",0.221926911560385,0.244619063633053,0,0,4.09214594928881,6.16034588762116,"CD248"
"Propionic acidemia ORPHA:35","1/100",0.221926911560385,0.244619063633053,0,0,4.09214594928881,6.16034588762116,"GPT2"
"Autosomal recessive severe congenital neutropenia due to CXCR2 deficiency ORPHA:420699","1/101",0.223881866241205,0.244619063633053,0,0,4.05102040816327,6.06290601418737,"DEFA1"
"Congenital limbs-face contractures-hypotonia-developmental delay syndrome ORPHA:562528","1/101",0.223881866241205,0.244619063633053,0,0,4.05102040816327,6.06290601418737,"GFAP"
"Pycnodysostosis ORPHA:763","1/101",0.223881866241205,0.244619063633053,0,0,4.05102040816327,6.06290601418737,"CD248"
"14q11.2 microduplication syndrome ORPHA:261229","1/101",0.223881866241205,0.244619063633053,0,0,4.05102040816327,6.06290601418737,"GFAP"
"Isolated thyroid-stimulating hormone deficiency ORPHA:90674","1/101",0.223881866241205,0.244619063633053,0,0,4.05102040816327,6.06290601418737,"DEFA1"
"Isolated thyrotropin-releasing hormone deficiency ORPHA:238670","1/101",0.223881866241205,0.244619063633053,0,0,4.05102040816327,6.06290601418737,"BEX1"
"Jackson-Weiss syndrome ORPHA:1540","1/101",0.223881866241205,0.244619063633053,0,0,4.05102040816327,6.06290601418737,"CACHD1"
"Galactose mutarotase deficiency ORPHA:570422","1/101",0.223881866241205,0.244619063633053,0,0,4.05102040816327,6.06290601418737,"SLC25A20"
"Congenital myopathy with internal nuclei and atypical cores ORPHA:319160","1/101",0.223881866241205,0.244619063633053,0,0,4.05102040816327,6.06290601418737,"FSCN2"
"NON RARE IN EUROPE: Isolated keratoconus ORPHA:2335","1/101",0.223881866241205,0.244619063633053,0,0,4.05102040816327,6.06290601418737,"GFAP"
"Gemistocytic astrocytoma ORPHA:251604","1/101",0.223881866241205,0.244619063633053,0,0,4.05102040816327,6.06290601418737,"GRAMD4"
"2q24 microdeletion syndrome ORPHA:1617","1/101",0.223881866241205,0.244619063633053,0,0,4.05102040816327,6.06290601418737,"GFAP"
"3-hydroxy-3-methylglutaric aciduria ORPHA:20","1/101",0.223881866241205,0.244619063633053,0,0,4.05102040816327,6.06290601418737,"SLC25A20"
