"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"PMC3945331 Zbc0121477000004","2/60",0.00988432040405467,0.0989910110678409,0,0,14.2902298850575,65.9752130005797,"PIK3R3;GFAP"
"PMC7700034 OMCL2020-9523758.007","1/5",0.0124387771927725,0.0989910110678409,0,0,101.765306122449,446.437935140061,"GFAP"
"PMC6419954 Nihms-975416-F0007","1/5",0.0124387771927725,0.0989910110678409,0,0,101.765306122449,446.437935140061,"GFAP"
"PMC7202451 Fimmu-11-00715-G0007","1/5",0.0124387771927725,0.0989910110678409,0,0,101.765306122449,446.437935140061,"GFAP"
"PMC6523616 Genes-10-00272-G008","1/5",0.0124387771927725,0.0989910110678409,0,0,101.765306122449,446.437935140061,"GPT2"
"PMC6266631 fj.201700780Rf6","1/5",0.0124387771927725,0.0989910110678409,0,0,101.765306122449,446.437935140061,"GFAP"
"PMC3518257 ECAM2012-278652.007","1/5",0.0124387771927725,0.0989910110678409,0,0,101.765306122449,446.437935140061,"GFAP"
"PMC7269991 Ajtr0012-1824-F1","1/5",0.0124387771927725,0.0989910110678409,0,0,101.765306122449,446.437935140061,"GFAP"
"PMC6113216 41418 2018 58 Fig7 HTML","1/5",0.0124387771927725,0.0989910110678409,0,0,101.765306122449,446.437935140061,"GFAP"
"PMC7016950 Cells-09-00249-G008","1/5",0.0124387771927725,0.0989910110678409,0,0,101.765306122449,446.437935140061,"GFAP"
"PMC5496883 41598 2017 4027 Fig3 HTML","1/5",0.0124387771927725,0.0989910110678409,0,0,101.765306122449,446.437935140061,"KCNQ5"
"PMC4271569 1471-2105-15-S15-S8-8","1/5",0.0124387771927725,0.0989910110678409,0,0,101.765306122449,446.437935140061,"GFAP"
"PMC3382229 Pone.0037708.G005","1/5",0.0124387771927725,0.0989910110678409,0,0,101.765306122449,446.437935140061,"DEFA1"
"PMC3128772 Fig-6","1/5",0.0124387771927725,0.0989910110678409,0,0,101.765306122449,446.437935140061,"GFAP"
"PMC3787304 Fphys-04-00273-G0001","1/5",0.0124387771927725,0.0989910110678409,0,0,101.765306122449,446.437935140061,"GFAP"
"PMC5992426 Fimmu-09-01107-G002","1/6",0.0149082847993736,0.0989910110678409,0,0,81.4081632653061,342.389562344484,"GFAP"
"PMC4033628 Bi-2014-00153Y 0006","1/6",0.0149082847993736,0.0989910110678409,0,0,81.4081632653061,342.389562344484,"B3GAT1"
"PMC6615111 12974 2019 1524 Fig3 HTML","1/6",0.0149082847993736,0.0989910110678409,0,0,81.4081632653061,342.389562344484,"GFAP"
"PMC5386661 Oncotarget-08-18949-G010","1/6",0.0149082847993736,0.0989910110678409,0,0,81.4081632653061,342.389562344484,"GFAP"
"PMC5225500 Nihms839577F1","1/6",0.0149082847993736,0.0989910110678409,0,0,81.4081632653061,342.389562344484,"GPT2"
"PMC3102695 Pone.0020326.G005","1/6",0.0149082847993736,0.0989910110678409,0,0,81.4081632653061,342.389562344484,"GFAP"
"PMC3276621 317Fig2","1/6",0.0149082847993736,0.0989910110678409,0,0,81.4081632653061,342.389562344484,"GPT2"
"PMC7759768 Antioxidants-09-01194-G003","1/6",0.0149082847993736,0.0989910110678409,0,0,81.4081632653061,342.389562344484,"GFAP"
"PMC7819563 CAC2-41-16-g003","1/6",0.0149082847993736,0.0989910110678409,0,0,81.4081632653061,342.389562344484,"GPT2"
"PMC2254474 11302 2006 Article 9008 Fig1","1/6",0.0149082847993736,0.0989910110678409,0,0,81.4081632653061,342.389562344484,"GFAP"
"PMC2605487 Rstb20062013F02","1/7",0.017371741450284,0.106181961319249,0,0,67.8367346938775,274.936210768444,"GFAP"
"PMC5428490 41598 2017 438 Fig2 HTML","1/7",0.017371741450284,0.106181961319249,0,0,67.8367346938775,274.936210768444,"GPT2"
"PMC7839487 FSB2-35-na-g001","1/8",0.0198291614511851,0.106181961319249,0,0,58.1428571428571,227.954980151296,"GFAP"
"PMC7312833 Ijms-21-04096-G005","1/8",0.0198291614511851,0.106181961319249,0,0,58.1428571428571,227.954980151296,"GFAP"
"PMC7312833 Ijms-21-04096-G006","1/8",0.0198291614511851,0.106181961319249,0,0,58.1428571428571,227.954980151296,"GFAP"
"PMC7416122 FTB-58-203-f2","1/8",0.0198291614511851,0.106181961319249,0,0,58.1428571428571,227.954980151296,"GPT2"
"PMC7178451 MSB-16-e9247-g003","1/9",0.0222805591236868,0.107367791581589,0,0,50.8724489795918,193.520869933163,"GFAP"
"PMC3037835 Nihms265254F5","1/9",0.0222805591236868,0.107367791581589,0,0,50.8724489795918,193.520869933163,"GPT2"
"PMC4938032 Rstb20150433-G3","1/10",0.0247259488172581,0.107367791581589,0,0,45.2176870748299,167.301012082339,"GFAP"
"PMC7140408 Cells-09-00619-G006","1/10",0.0247259488172581,0.107367791581589,0,0,45.2176870748299,167.301012082339,"GFAP"
"PMC5974030 Fnmol-11-00168-G0007","1/10",0.0247259488172581,0.107367791581589,0,0,45.2176870748299,167.301012082339,"GFAP"
"PMC5661628 Sigtrans201749-F1","1/10",0.0247259488172581,0.107367791581589,0,0,45.2176870748299,167.301012082339,"B3GAT1"
"PMC7539315 Apb-10-638-G005","1/10",0.0247259488172581,0.107367791581589,0,0,45.2176870748299,167.301012082339,"GFAP"
"PMC7897836 10.1177 1759091420981206-Fig2","1/11",0.0271653448579924,0.107367791581589,0,0,40.6938775510204,146.734521000359,"GFAP"
"PMC7013742 Ijms-21-00409-G002","1/11",0.0271653448579924,0.107367791581589,0,0,40.6938775510204,146.734521000359,"GFAP"
"PMC5282447 SCI2017-1610691.002","1/11",0.0271653448579924,0.107367791581589,0,0,40.6938775510204,146.734521000359,"GFAP"
"PMC3471948 Pone.0047107.G004","1/11",0.0271653448579924,0.107367791581589,0,0,40.6938775510204,146.734521000359,"PIK3R3"
"PMC3269658 Nihms348428F5","1/12",0.0295987615689071,0.109186542676413,0,0,36.9925788497217,130.214719406514,"GFAP"
"PMC4593004 Srep14762-F2","1/12",0.0295987615689071,0.109186542676413,0,0,36.9925788497217,130.214719406514,"KCNQ5"
"PMC3194179 1750-9378-6-S2-S1-4","1/12",0.0295987615689071,0.109186542676413,0,0,36.9925788497217,130.214719406514,"KCNQ5"
"PMC7492613 Fonc-10-01530-G0003","1/13",0.032026213248763,0.113931762354819,0,0,33.9081632653061,116.684789992962,"GFAP"
"PMC2768990 Gm83-2","1/14",0.0344477141698712,0.113931762354819,0,0,31.298273155416,105.422368949113,"PIK3R3"
"PMC6846243 Baz120F7","1/14",0.0344477141698712,0.113931762354819,0,0,31.298273155416,105.422368949113,"TMEM37"
"PMC4979452 Cddiscovery201650-F7","1/14",0.0344477141698712,0.113931762354819,0,0,31.298273155416,105.422368949113,"GFAP"
"PMC3517581 Pone.0051111.G007","1/15",0.0368632785936063,0.113931762354819,0,0,29.0612244897959,95.9177159613371,"GFAP"
"PMC5819906 IJMM-41-03-1547-g06","1/15",0.0368632785936063,0.113931762354819,0,0,29.0612244897959,95.9177159613371,"PIK3R3"
"PMC5609887 Oncotarget-08-62868-G005","1/16",0.0392729207344652,0.113931762354819,0,0,27.1224489795918,87.8013353011642,"ADAMTS6"
"PMC1869627 Mol13 1P001F2","1/16",0.0392729207344652,0.113931762354819,0,0,27.1224489795918,87.8013353011642,"GFAP"
"PMC3879068 1471-2164-14-843-3","1/17",0.0416766547912335,0.113931762354819,0,0,25.4260204081633,80.799167280865,"B3GAT1"
"PMC5336479 Nihms845175F5","1/17",0.0416766547912335,0.113931762354819,0,0,25.4260204081633,80.799167280865,"PIK3R3"
"PMC6851586 APM-127-386-g001","1/17",0.0416766547912335,0.113931762354819,0,0,25.4260204081633,80.799167280865,"DEFA1"
"PMC3012148 Nihms248892F2","1/17",0.0416766547912335,0.113931762354819,0,0,25.4260204081633,80.799167280865,"GFAP"
"PMC3110626 Nihms286071F1","1/17",0.0416766547912335,0.113931762354819,0,0,25.4260204081633,80.799167280865,"PIK3R3"
"PMC5291375 Pone.0171512.G007","1/17",0.0416766547912335,0.113931762354819,0,0,25.4260204081633,80.799167280865,"GFAP"
"PMC5997167 Kepi-13-03-1445901-G005","1/18",0.0440744949316927,0.113931762354819,0,0,23.9291716686675,74.7038591145848,"GRAMD4"
"PMC5467823 Pone.0178173.G006","1/18",0.0440744949316927,0.113931762354819,0,0,23.9291716686675,74.7038591145848,"ADAMTS6"
"PMC7665057 41598 2020 76438 Fig6 HTML","1/18",0.0440744949316927,0.113931762354819,0,0,23.9291716686675,74.7038591145848,"SLC25A20"
"PMC4846903 Ajtr0008-0544-F5","1/18",0.0440744949316927,0.113931762354819,0,0,23.9291716686675,74.7038591145848,"GFAP"
"PMC7869012 Ijms-22-01389-G006","1/19",0.0464664552952436,0.113931762354819,0,0,22.5986394557823,69.3557808280063,"GFAP"
"PMC4979452 Cddiscovery201650-F8","1/19",0.0464664552952436,0.113931762354819,0,0,22.5986394557823,69.3557808280063,"GFAP"
"PMC7345337 Biomedicines-08-00147-G005","1/19",0.0464664552952436,0.113931762354819,0,0,22.5986394557823,69.3557808280063,"PIK3R3"
"PMC2719801 Pone.0006575.G003","1/19",0.0464664552952436,0.113931762354819,0,0,22.5986394557823,69.3557808280063,"PIK3R3"
