"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"PMC3945331 F4","2/61",0.0102031878981959,0.0915440363994958,0,0,14.0473163841808,64.407719185876,"PIK3R3;GFAP"
"PMC4770774 F9","1/5",0.0124387771927725,0.0915440363994958,0,0,101.765306122449,446.437935140061,"KLHL4"
"PMC7069528 F1","1/5",0.0124387771927725,0.0915440363994958,0,0,101.765306122449,446.437935140061,"GFAP"
"PMC4594188 F1C","1/5",0.0124387771927725,0.0915440363994958,0,0,101.765306122449,446.437935140061,"DEFA1"
"PMC6105724 F6","1/5",0.0124387771927725,0.0915440363994958,0,0,101.765306122449,446.437935140061,"GFAP"
"PMC6263010 F2","1/5",0.0124387771927725,0.0915440363994958,0,0,101.765306122449,446.437935140061,"GFAP"
"PMC3518467 F1","1/5",0.0124387771927725,0.0915440363994958,0,0,101.765306122449,446.437935140061,"GFAP"
"PMC5616168 F13","1/5",0.0124387771927725,0.0915440363994958,0,0,101.765306122449,446.437935140061,"PIK3R3"
"PMC3445042 F7","1/5",0.0124387771927725,0.0915440363994958,0,0,101.765306122449,446.437935140061,"GFAP"
"PMC4884395 F1","1/5",0.0124387771927725,0.0915440363994958,0,0,101.765306122449,446.437935140061,"GFAP"
"PMC6895510 F1","1/5",0.0124387771927725,0.0915440363994958,0,0,101.765306122449,446.437935140061,"GFAP"
"PMC3787304 F1","1/6",0.0149082847993736,0.0915440363994958,0,0,81.4081632653061,342.389562344484,"GFAP"
"PMC5648141 F10","1/6",0.0149082847993736,0.0915440363994958,0,0,81.4081632653061,342.389562344484,"GFAP"
"PMC6523616 F8","1/6",0.0149082847993736,0.0915440363994958,0,0,81.4081632653061,342.389562344484,"GPT2"
"PMC4271569 F8","1/6",0.0149082847993736,0.0915440363994958,0,0,81.4081632653061,342.389562344484,"GFAP"
"PMC6266631 F6","1/6",0.0149082847993736,0.0915440363994958,0,0,81.4081632653061,342.389562344484,"GFAP"
"PMC7016950 F8","1/6",0.0149082847993736,0.0915440363994958,0,0,81.4081632653061,342.389562344484,"GFAP"
"PMC6113216 F7","1/6",0.0149082847993736,0.0915440363994958,0,0,81.4081632653061,342.389562344484,"GFAP"
"PMC3517080 F5","1/6",0.0149082847993736,0.0915440363994958,0,0,81.4081632653061,342.389562344484,"GFAP"
"PMC3518257 F7","1/6",0.0149082847993736,0.0915440363994958,0,0,81.4081632653061,342.389562344484,"GFAP"
"PMC3382229 F5","1/6",0.0149082847993736,0.0915440363994958,0,0,81.4081632653061,342.389562344484,"DEFA1"
"PMC7202451 F7","1/6",0.0149082847993736,0.0915440363994958,0,0,81.4081632653061,342.389562344484,"GFAP"
"PMC5496883 F3","1/6",0.0149082847993736,0.0915440363994958,0,0,81.4081632653061,342.389562344484,"KCNQ5"
"PMC6419954 F6","1/6",0.0149082847993736,0.0915440363994958,0,0,81.4081632653061,342.389562344484,"GFAP"
"PMC7269991 F1","1/6",0.0149082847993736,0.0915440363994958,0,0,81.4081632653061,342.389562344484,"GFAP"
"PMC3128772 F6","1/6",0.0149082847993736,0.0915440363994958,0,0,81.4081632653061,342.389562344484,"GFAP"
"PMC7700034 F7","1/6",0.0149082847993736,0.0915440363994958,0,0,81.4081632653061,342.389562344484,"GFAP"
"PMC5386661 F10","1/7",0.017371741450284,0.0915440363994958,0,0,67.8367346938775,274.936210768444,"GFAP"
"PMC4033628 F2","1/7",0.017371741450284,0.0915440363994958,0,0,67.8367346938775,274.936210768444,"B3GAT1"
"PMC3355898 F2","1/7",0.017371741450284,0.0915440363994958,0,0,67.8367346938775,274.936210768444,"PIK3R3"
"PMC2254474 F1","1/7",0.017371741450284,0.0915440363994958,0,0,67.8367346938775,274.936210768444,"GFAP"
"PMC3565216 F1","1/7",0.017371741450284,0.0915440363994958,0,0,67.8367346938775,274.936210768444,"GPT2"
"PMC3102695 F5","1/7",0.017371741450284,0.0915440363994958,0,0,67.8367346938775,274.936210768444,"GFAP"
"PMC6615111 F3","1/7",0.017371741450284,0.0915440363994958,0,0,67.8367346938775,274.936210768444,"GFAP"
"PMC5225500 F1","1/7",0.017371741450284,0.0915440363994958,0,0,67.8367346938775,274.936210768444,"GPT2"
"PMC7759768 F3","1/8",0.0198291614511851,0.0915440363994958,0,0,58.1428571428571,227.954980151296,"GFAP"
"PMC2605487 F2","1/8",0.0198291614511851,0.0915440363994958,0,0,58.1428571428571,227.954980151296,"GFAP"
"PMC7819563 F3","1/8",0.0198291614511851,0.0915440363994958,0,0,58.1428571428571,227.954980151296,"GPT2"
"PMC7297132 F1","1/8",0.0198291614511851,0.0915440363994958,0,0,58.1428571428571,227.954980151296,"GFAP"
"PMC5992426 F2","1/8",0.0198291614511851,0.0915440363994958,0,0,58.1428571428571,227.954980151296,"GFAP"
"PMC3276621 F2","1/9",0.0222805591236868,0.0915440363994958,0,0,50.8724489795918,193.520869933163,"GPT2"
"PMC4522610 F1","1/9",0.0222805591236868,0.0915440363994958,0,0,50.8724489795918,193.520869933163,"GFAP"
"PMC4718179 F4","1/9",0.0222805591236868,0.0915440363994958,0,0,50.8724489795918,193.520869933163,"GFAP"
"PMC7312833 F6","1/9",0.0222805591236868,0.0915440363994958,0,0,50.8724489795918,193.520869933163,"GFAP"
"PMC7839487 F1","1/9",0.0222805591236868,0.0915440363994958,0,0,50.8724489795918,193.520869933163,"GFAP"
"PMC6425710 F2","1/9",0.0222805591236868,0.0915440363994958,0,0,50.8724489795918,193.520869933163,"GFAP"
"PMC7416122 F2","1/10",0.0247259488172581,0.093350003239283,0,0,45.2176870748299,167.301012082339,"GPT2"
"PMC7312833 F5","1/10",0.0247259488172581,0.093350003239283,0,0,45.2176870748299,167.301012082339,"GFAP"
"PMC7178451 EV1","1/10",0.0247259488172581,0.093350003239283,0,0,45.2176870748299,167.301012082339,"GFAP"
"PMC7140408 F6","1/11",0.0271653448579924,0.093350003239283,0,0,40.6938775510204,146.734521000359,"GFAP"
"PMC5974030 F7","1/11",0.0271653448579924,0.093350003239283,0,0,40.6938775510204,146.734521000359,"GFAP"
"PMC5661628 F1","1/11",0.0271653448579924,0.093350003239283,0,0,40.6938775510204,146.734521000359,"B3GAT1"
"PMC3037835 F5","1/11",0.0271653448579924,0.093350003239283,0,0,40.6938775510204,146.734521000359,"GPT2"
"PMC5428490 F2","1/11",0.0271653448579924,0.093350003239283,0,0,40.6938775510204,146.734521000359,"GPT2"
"PMC4938032 F3","1/11",0.0271653448579924,0.093350003239283,0,0,40.6938775510204,146.734521000359,"GFAP"
"PMC3471948 F4","1/12",0.0295987615689071,0.0948163718054821,0,0,36.9925788497217,130.214719406514,"PIK3R3"
"PMC7539315 F5","1/12",0.0295987615689071,0.0948163718054821,0,0,36.9925788497217,130.214719406514,"GFAP"
"PMC7897836 F2","1/12",0.0295987615689071,0.0948163718054821,0,0,36.9925788497217,130.214719406514,"GFAP"
"PMC5282447 F2","1/12",0.0295987615689071,0.0948163718054821,0,0,36.9925788497217,130.214719406514,"GFAP"
"PMC3194179 F4","1/13",0.032026213248763,0.0960786397462891,0,0,33.9081632653061,116.684789992962,"KCNQ5"
"PMC3269658 F5","1/13",0.032026213248763,0.0960786397462891,0,0,33.9081632653061,116.684789992962,"GFAP"
"PMC4593004 F2","1/13",0.032026213248763,0.0960786397462891,0,0,33.9081632653061,116.684789992962,"KCNQ5"
"PMC7013742 F2","1/13",0.032026213248763,0.0960786397462891,0,0,33.9081632653061,116.684789992962,"GFAP"
"PMC7492613 F3","1/14",0.0344477141698712,0.101728405907901,0,0,31.298273155416,105.422368949113,"GFAP"
"PMC4979452 F7","1/15",0.0368632785936063,0.105563025063509,0,0,29.0612244897959,95.9177159613371,"GFAP"
"PMC6846243 F7","1/15",0.0368632785936063,0.105563025063509,0,0,29.0612244897959,95.9177159613371,"TMEM37"
"PMC3517581 F7","1/16",0.0392729207344652,0.107573652446579,0,0,27.1224489795918,87.8013353011642,"GFAP"
"PMC5819906 F7","1/16",0.0392729207344652,0.107573652446579,0,0,27.1224489795918,87.8013353011642,"PIK3R3"
"PMC7920303 F3","1/16",0.0392729207344652,0.107573652446579,0,0,27.1224489795918,87.8013353011642,"GPT2"
"PMC5609887 F5","1/17",0.0416766547912335,0.109918237459562,0,0,25.4260204081633,80.799167280865,"ADAMTS6"
"PMC1869627 F2","1/17",0.0416766547912335,0.109918237459562,0,0,25.4260204081633,80.799167280865,"GFAP"
"PMC5291375 F7","1/18",0.0440744949316927,0.109918237459562,0,0,23.9291716686675,74.7038591145848,"GFAP"
"PMC3110626 F1","1/18",0.0440744949316927,0.109918237459562,0,0,23.9291716686675,74.7038591145848,"PIK3R3"
"PMC4846903 F5","1/19",0.0464664552952436,0.109918237459562,0,0,22.5986394557823,69.3557808280063,"GFAP"
"PMC7665057 F6","1/19",0.0464664552952436,0.109918237459562,0,0,22.5986394557823,69.3557808280063,"SLC25A20"
"PMC6851586 F1","1/19",0.0464664552952436,0.109918237459562,0,0,22.5986394557823,69.3557808280063,"DEFA1"
"PMC3879068 F3","1/19",0.0464664552952436,0.109918237459562,0,0,22.5986394557823,69.3557808280063,"B3GAT1"
"PMC4979452 F8","1/20",0.0488525499820278,0.109918237459562,0,0,21.4081632653061,64.6301466936404,"GFAP"
"PMC3012148 F2","1/20",0.0488525499820278,0.109918237459562,0,0,21.4081632653061,64.6301466936404,"GFAP"
"PMC7869012 F6","1/20",0.0488525499820278,0.109918237459562,0,0,21.4081632653061,64.6301466936404,"GFAP"
"PMC2719801 F3","1/20",0.0488525499820278,0.109918237459562,0,0,21.4081632653061,64.6301466936404,"PIK3R3"
"PMC5997167 F5","1/20",0.0488525499820278,0.109918237459562,0,0,21.4081632653061,64.6301466936404,"GRAMD4"
