"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"SRC","3/513",0.136506442836969,0.687241028743667,0,0,2.43304130162703,4.84511821820921,"PIK3R3;KCNQ5;GFAP"
"PRKG1","1/121",0.261985313392121,0.687241028743667,0,0,3.37244897959184,4.51728355262187,"GFAP"
"ERG11","1/121",0.261985313392121,0.687241028743667,0,0,3.37244897959184,4.51728355262187,"GPT2"
"HGS","1/122",0.263841577763516,0.687241028743667,0,0,3.34440883791533,4.45611187425848,"GFAP"
"RTN1","1/123",0.265693266376988,0.687241028743667,0,0,3.31682837069254,4.39616667672928,"GPT2"
"GNAI2","1/124",0.267540390273413,0.687241028743667,0,0,3.28969636635142,4.33741443316037,"PIK3R3"
"GNAI3","1/125",0.269382960523102,0.687241028743667,0,0,3.26300197498354,4.2798227837863,"PIK3R3"
"PIK3CA","1/125",0.269382960523102,0.687241028743667,0,0,3.26300197498354,4.2798227837863,"PIK3R3"
"SEC27","1/126",0.271220988057227,0.687241028743667,0,0,3.23673469387755,4.22336048857463,"GPT2"
"OST1","1/132",0.282154369399051,0.687241028743667,0,0,3.08755257828322,3.90668320615816,"GPT2"
"SGK1","1/135",0.287560616697061,0.687241028743667,0,0,3.01797136765154,3.76136290453997,"GFAP"
"SYK","1/136",0.289353816496661,0.687241028743667,0,0,2.99546485260771,3.71469112422295,"PIK3R3"
"JAK1","1/136",0.289353816496661,0.687241028743667,0,0,2.99546485260771,3.71469112422295,"PIK3R3"
"STAT1","1/139",0.294706918226376,0.687241028743667,0,0,2.92990239574091,3.57967831775799,"GFAP"
"PDGFRB","1/140",0.296482488408479,0.687241028743667,0,0,2.90867713992072,3.53627403902577,"PIK3R3"
"RPL27A","1/147",0.308789408252086,0.687241028743667,0,0,2.76824154319262,3.25294890316625,"GPT2"
"KAP123","1/153",0.319170076285828,0.687241028743667,0,0,2.65816326530612,3.0357052873752,"GPT2"
"LSM1","1/154",0.320885269622271,0.687241028743667,0,0,2.640656262505,3.00155907202735,"GPT2"
"SPF1","1/155",0.322596228121901,0.687241028743667,0,0,2.62337662337662,2.96796712606432,"GPT2"
"RPS4A","1/155",0.322596228121901,0.687241028743667,0,0,2.62337662337662,2.96796712606432,"GPT2"
"PMP3","1/156",0.324302961975654,0.687241028743667,0,0,2.60631994733377,2.93491729206467,"GPT2"
"IRS1","1/157",0.326005481520818,0.687241028743667,0,0,2.5894819466248,2.90239775017796,"PIK3R3"
"JAK2","1/159",0.329397918202972,0.687241028743667,0,0,2.55644536295531,2.83890389537721,"PIK3R3"
"CAMK2A","1/160",0.33108785567924,0.687241028743667,0,0,2.54023873700424,2.80790753816435,"GFAP"
"PTK2","1/163",0.336132666087276,0.687241028743667,0,0,2.49281934996221,2.71779469441579,"PIK3R3"
"ALB","1/164",0.337805969121272,0.687241028743667,0,0,2.47740077626142,2.68868244347541,"GFAP"
"GCN1","1/165",0.33947513864042,0.687241028743667,0,0,2.46217023394724,2.66001684959183,"GPT2"
"RPL3","1/166",0.341140184727148,0.687241028743667,0,0,2.44712430426716,2.6317886779391,"GPT2"
"GAP1","1/169",0.346110681646573,0.687241028743667,0,0,2.4030612244898,2.54963994719995,"GPT2"
"CALM3","1/172",0.351044425036804,0.687241028743667,0,0,2.36054421768708,2.47111800186849,"KCNQ5"
"FOS","1/173",0.352680884785436,0.687241028743667,0,0,2.34670147128619,2.44571265499221,"SLC4A10"
"ERBB2","1/175",0.355941681166819,0.687241028743667,0,0,2.31949331456721,2.39600963794873,"PIK3R3"
"TAF2","1/180",0.364023409135543,0.687241028743667,0,0,2.25413293809144,2.27788496813712,"GPT2"
"MAPK10","1/182",0.367228198764465,0.687241028743667,0,0,2.22899988724772,2.23294929425324,"GFAP"
